word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks,master_status,master_levels,master_pos,master_meaning_ja,match_count,mismatch_reason
brain,junior_high,頭脳,頭脳,junior_word_list;high_word_list,1313;188,existing,high_school,noun,脳・頭脳,2,school=junior_high; master=high_school
burn,junior_high,を燃やす,,junior_word_list,792;1321,existing,high_school,noun,やけど・燃焼,2,school=junior_high; master=high_school
cheap,junior_high,安い,,junior_word_list,1333,existing,high_school,adjective,安い・安っぽい,2,school=junior_high; master=high_school
clearly,junior_high,はっきりと,,junior_word_list,824,existing,high_school,adverb,はっきりと・明らかに,2,school=junior_high; master=high_school
coal,junior_high,石炭,石炭,junior_word_list;high_word_list,1346;684,existing,high_school,noun,石炭,2,school=junior_high; master=high_school
communicate,junior_high,連絡する,,junior_word_list,836,existing,high_school,verb,伝える・意思疎通する,2,school=junior_high; master=high_school
condition,junior_high,状況,状態,junior_word_list;high_word_list,1350;527,existing,high_school,noun,状態・条件,2,school=junior_high; master=high_school
content,junior_high,中身,中身,junior_word_list;high_word_list,841;211,existing,high_school,noun,内容・中身,2,school=junior_high; master=high_school
continue,junior_high,を続ける,続ける,junior_word_list;high_word_list,842;1354;234,existing,high_school,verb,続く・続ける,2,school=junior_high; master=high_school
control,junior_high,を管理する,,junior_word_list,1355,existing,high_school,noun,支配・管理・制御,2,school=junior_high; master=high_school
convenience,junior_high,便利,,junior_word_list,843,existing,high_school,noun,便利さ・都合,2,school=junior_high; master=high_school
convenient,junior_high,便利な,都合がよい,junior_word_list;high_word_list,1356;1133;1636,existing,high_school,adjective,便利な・都合のよい,2,school=junior_high; master=high_school
create,junior_high,を創造する,,junior_word_list,847,existing,high_school,verb,創造する・作り出す,2,school=junior_high; master=high_school
customer,junior_high,顧客,顧客,junior_word_list;high_word_list,851;362,existing,high_school,noun,顧客・客,2,school=junior_high; master=high_school
dangerous,junior_high,危険な,,junior_word_list,1374,existing,high_school,adjective,危険な,2,school=junior_high; master=high_school
decision,junior_high,決定,決定,junior_word_list;high_word_list,1380;641,existing,high_school,noun,決定・判断,2,school=junior_high; master=high_school
decrease,junior_high,減少する,減少する,junior_word_list;high_word_list,855;968;1471,existing,high_school,noun,減少,2,school=junior_high; master=high_school
depend,junior_high,頼る,依存する,junior_word_list;high_word_list,1382;464,existing,high_school,verb,頼る・依存する・左右される,2,school=junior_high; master=high_school
design,junior_high,を設計する,,junior_word_list,1385,existing,high_school,noun,設計・デザイン・意図,2,school=junior_high; master=high_school
develop,junior_high,を発達させる,発達させる,junior_word_list;high_word_list,858;174,existing,high_school,verb,発達する・発展させる・開発する,2,school=junior_high; master=high_school
development,junior_high,開発,発展,junior_word_list;high_word_list,1387;173,existing,high_school,noun,発達・発展・開発,2,school=junior_high; master=high_school
device,junior_high,装置,装置,junior_word_list;high_word_list,1388;550,existing,high_school,noun,装置・工夫・手段,2,school=junior_high; master=high_school
difference,junior_high,ちがい,違い,junior_word_list;high_word_list,1391;459,existing,high_school,noun,違い・差,2,school=junior_high; master=high_school
directly,junior_high,直接に,直接（的）に,junior_word_list;high_word_list,862;1192;1695,existing,high_school,adverb,直接に・すぐに,2,school=junior_high; master=high_school
dot,junior_high,点,,junior_word_list,1401,existing,high_school,noun,点・ドット,2,school=junior_high; master=high_school
earn,junior_high,をかせぐ,稼ぐ,junior_word_list;high_word_list,871;443,existing,high_school,verb,稼ぐ・得る,2,school=junior_high; master=high_school
effort,junior_high,努力,,junior_word_list,876,existing,high_school,noun,努力・取り組み,2,school=junior_high; master=high_school
elderly,junior_high,年配の,年配の,junior_word_list;high_word_list,877;824;1327,existing,high_school,adjective,年配の・高齢の,2,school=junior_high; master=high_school
encourage,junior_high,を勇気づける,励ます,junior_word_list;high_word_list,1417;114,existing,high_school,verb,励ます・促す,2,school=junior_high; master=high_school
environment,junior_high,環境，状況,環境，状況,junior_word_list;high_word_list,1423;422,existing,high_school,noun,環境,2,school=junior_high; master=high_school
exchange,junior_high,交換,,junior_word_list,1435,existing,high_school,noun,交換・交流・両替,2,school=junior_high; master=high_school
experience,junior_high,を経験する,,junior_word_list,890;891,existing,high_school,noun,経験,4,school=junior_high; master=high_school
focus,junior_high,集中する,焦点,junior_word_list;high_word_list,1461;565,existing,high_school,noun,焦点・中心,2,school=junior_high; master=high_school
follow,junior_high,に従う,,junior_word_list,911,existing,high_school,verb,続く・従う・理解する,2,school=junior_high; master=high_school
foreign,junior_high,外国の,外国の,junior_word_list;high_word_list,194;99,existing,high_school,adjective,外国の・異質な,2,school=junior_high; master=high_school
forward,junior_high,前方へ,前方へ,junior_word_list;high_word_list,197;83,existing,high_school,adverb,前へ・先へ,2,school=junior_high; master=high_school
general,junior_high,一般的な,,junior_word_list,928,existing,high_school,adjective,一般的な・全体的な,2,school=junior_high; master=high_school
government,junior_high,政府,政府,junior_word_list;high_word_list,1490;255,existing,high_school,noun,政府,2,school=junior_high; master=high_school
graph,junior_high,図表,,junior_word_list,936,existing,high_school,noun,グラフ・図表,2,school=junior_high; master=high_school
handle,junior_high,を処理する,手で扱う,junior_word_list;high_word_list,1501;985;1488,existing,high_school,verb,扱う・処理する,2,school=junior_high; master=high_school
heat,junior_high,熱,,junior_word_list,1507,existing,high_school,noun,熱・暑さ,2,school=junior_high; master=high_school
however,junior_high,しかしながら、けれども,しかしながら,junior_word_list;high_word_list,971;1894;491,existing,high_school,adverb,しかしながら・けれども,4,school=junior_high; master=high_school
image,junior_high,画像，印象,,junior_word_list,1527,existing,high_school,noun,印象・画像・イメージ,2,school=junior_high; master=high_school
import,junior_high,を輸入する,輸入する,junior_word_list;high_word_list,1529;989;1492,existing,high_school,noun,輸入・輸入品,2,school=junior_high; master=high_school
improve,junior_high,を改善する,改善する,junior_word_list;high_word_list,981;982;435,existing,high_school,verb,改善する・上達する,2,school=junior_high; master=high_school
include,junior_high,を含む,含む,junior_word_list;high_word_list,1534;415,existing,high_school,preposition,〜を含めて,1,school=junior_high; master=high_school
increase,junior_high,を増やす，増大させる,増やす,junior_word_list;high_word_list,1535;238,existing,high_school,noun,増加,4,school=junior_high; master=high_school
influence,junior_high,に影響を及ぼす,影響を及ぼす,junior_word_list;high_word_list,983;452,existing,high_school,noun,影響,2,school=junior_high; master=high_school
instead,junior_high,そのかわりに,,junior_word_list,1540,existing,high_school,adverb,代わりに・そうではなく,2,school=junior_high; master=high_school
knowledge,junior_high,知識,知識,junior_word_list;high_word_list,999;215,existing,high_school,noun,知識,2,school=junior_high; master=high_school
lead,junior_high,を導く,,junior_word_list,1562,existing,high_school,noun,先導・手がかり,2,school=junior_high; master=high_school
local,junior_high,地方の、地元の,,junior_word_list,312,existing,high_school,adjective,地元の・地域の,2,school=junior_high; master=high_school
note,junior_high,紙幣,,junior_word_list,1617,existing,high_school,noun,メモ・注・紙幣・音符,2,school=junior_high; master=high_school
opinion,junior_high,意見，考え,意見,junior_word_list;high_word_list,1625;463,existing,high_school,noun,意見,2,school=junior_high; master=high_school
ordinary,junior_high,ふつうの,普通の,junior_word_list;high_word_list,1629;69,existing,high_school,adjective,普通の・通常の,2,school=junior_high; master=high_school
out,junior_high,外に,,junior_word_list,389;1630,existing,high_school,adverb,外へ・外に・外で,4,school=junior_high; master=high_school
overseas,junior_high,海外の,,junior_word_list,1077;1633,existing,high_school,adverb,海外へ・海外で,2,school=junior_high; master=high_school
perform,junior_high,演じる,,junior_word_list,399,existing,high_school,verb,行う・演じる・遂行する,2,school=junior_high; master=high_school
period,junior_high,期間、時間,期間,junior_word_list;high_word_list,400;1647;409,existing,high_school,noun,期間・時代・終止符,2,school=junior_high; master=high_school
photograph,junior_high,写真,,junior_word_list,1089,existing,high_school,noun,写真,2,school=junior_high; master=high_school
possible,junior_high,可能な,可能な,junior_word_list;high_word_list,1662;446,existing,high_school,adjective,可能な・ありうる,2,school=junior_high; master=high_school
produce,junior_high,を生産する,,junior_word_list,1101,existing,high_school,verb,生産する・生み出す,2,school=junior_high; master=high_school
product,junior_high,製品,,junior_word_list,1102,existing,high_school,noun,製品・産物,2,school=junior_high; master=high_school
progress,junior_high,進歩,進歩,junior_word_list;high_word_list,1104;1669;263,existing,high_school,noun,進歩・進展,2,school=junior_high; master=high_school
protect,junior_high,を守る，保護する,守る,junior_word_list;high_word_list,1671;27,existing,high_school,verb,守る・保護する,2,school=junior_high; master=high_school
pull,junior_high,を引く,,junior_word_list,1105,existing,high_school,verb,引く・引っぱる,2,school=junior_high; master=high_school
recognize,junior_high,だと分かる,,junior_word_list,1114,existing,high_school,verb,認識する・認める,2,school=junior_high; master=high_school
relate,junior_high,を～に関係させる,,junior_word_list,1691,existing,high_school,verb,関係づける・関連する,2,school=junior_high; master=high_school
research,junior_high,を研究する,研究,junior_word_list;high_word_list,1120;1121;377,existing,high_school,noun,研究・調査,2,school=junior_high; master=high_school
researcher,junior_high,研究者,,junior_word_list,1698,existing,high_school,noun,研究者,2,school=junior_high; master=high_school
respect,junior_high,を尊敬する,尊敬,junior_word_list;high_word_list,1701;232,existing,high_school,noun,尊敬・点・配慮,2,school=junior_high; master=high_school
result,junior_high,結果,結果,junior_word_list;high_word_list,1124;380,existing,high_school,noun,結果,2,school=junior_high; master=high_school
role,junior_high,役、役割,役割,junior_word_list;high_word_list,435;127,existing,high_school,noun,役割,2,school=junior_high; master=high_school
satisfy,junior_high,を満足させる,,junior_word_list,1720,existing,high_school,verb,満足させる・条件を満たす,2,school=junior_high; master=high_school
serious,junior_high,重大な,,junior_word_list,1153,existing,high_school,adjective,深刻な・真剣な,2,school=junior_high; master=high_school
shape,junior_high,形,,junior_word_list,1156,existing,high_school,noun,形・形状,2,school=junior_high; master=high_school
similar,junior_high,同じような,,junior_word_list,1164,existing,high_school,adjective,似ている・同様の,2,school=junior_high; master=high_school
site,junior_high,場所,場所,junior_word_list;high_word_list,1744;1785;2125,existing,high_school,noun,場所・用地・サイト,2,school=junior_high; master=high_school
skill,junior_high,技術,,junior_word_list,1166,existing,high_school,noun,技能・能力,2,school=junior_high; master=high_school
society,junior_high,社会,社会,junior_word_list;high_word_list,1172;311,existing,high_school,noun,社会,2,school=junior_high; master=high_school
successful,junior_high,成功した,,junior_word_list,1777,existing,high_school,adjective,成功した・うまくいった,2,school=junior_high; master=high_school
support,junior_high,を支援する，応援する,,junior_word_list,1782,existing,high_school,noun,支援・支持,2,school=junior_high; master=high_school
surprise,junior_high,驚くべきこと,,junior_word_list,517,existing,high_school,noun,驚き・意外な出来事,2,school=junior_high; master=high_school
survey,junior_high,調査,調査,junior_word_list;high_word_list,1786;625,existing,high_school,noun,調査,2,school=junior_high; master=high_school
survive,junior_high,生き残る,,junior_word_list,1788,existing,high_school,verb,生き残る・切り抜ける,2,school=junior_high; master=high_school
swimming,junior_high,水泳,,junior_word_list,520;1791,existing,high_school,noun,水泳,2,school=junior_high; master=high_school
technology,junior_high,科学技術,,junior_word_list,1196,existing,high_school,noun,技術・科学技術,2,school=junior_high; master=high_school
though,junior_high,だけれども,,junior_word_list,1805,existing,high_school,conjunction,〜だけれども,2,school=junior_high; master=high_school
tourist,junior_high,観光客,,junior_word_list,1201,existing,high_school,noun,旅行者・観光客,2,school=junior_high; master=high_school
traditional,junior_high,伝統的な,伝統的な,junior_word_list;high_word_list,571;198,existing,high_school,adjective,伝統的な,2,school=junior_high; master=high_school
university,junior_high,大学,大学,junior_word_list;high_word_list,1210;229,existing,high_school,noun,大学,2,school=junior_high; master=high_school
various,junior_high,いろいろな,様々な,junior_word_list;high_word_list,1212;493,existing,high_school,adjective,さまざまな,2,school=junior_high; master=high_school
weight,junior_high,重さ,重さ,junior_word_list;high_word_list,1223;293,existing,high_school,noun,重さ・体重・重要性,2,school=junior_high; master=high_school
worth,junior_high,の価値がある,価値ある,junior_word_list;high_word_list,1850;447,existing,high_school,adjective,〜の価値がある,2,school=junior_high; master=high_school
dozen,high_school,,12の,high_word_list,503,existing,junior_high,numeral,12個・1ダース,2,school=high_school; master=junior_high
forever,high_school,,永遠に,high_word_list,870;1373,existing,junior_high,adverb,永遠に,2,school=high_school; master=junior_high
goal,high_school,,目標,high_word_list,568,existing,junior_high,noun,目標・得点・ゴール,2,school=high_school; master=junior_high
instrument,high_school,,道具,high_word_list,1755;2095,existing,junior_high,noun,楽器・器具,2,school=high_school; master=junior_high
party,high_school,,政党,high_word_list,256,existing,junior_high,noun,パーティー・政党,2,school=high_school; master=junior_high
present,high_school,,現在の,high_word_list,292,existing,junior_high,noun,プレゼント,2,school=high_school; master=junior_high
seat,high_school,,着席させる,high_word_list,212,existing,junior_high,noun,座席,2,school=high_school; master=junior_high
social,high_school,,社会の,high_word_list,86,existing,junior_high,adjective,社会の・社交の,2,school=high_school; master=junior_high
suit,high_school,,適合する,high_word_list,1017;1520,existing,junior_high,noun,スーツ,2,school=high_school; master=junior_high
till,high_school,,まで,high_word_list,470,existing,junior_high,preposition,〜まで,2,school=high_school; master=junior_high
toward,high_school,,向かって,high_word_list,356,existing,junior_high,preposition,〜の方へ・〜に向かって,2,school=high_school; master=junior_high
welcome,high_school,,歓迎される,high_word_list,1146;1649,existing,junior_high,adjective,歓迎される,2,school=high_school; master=junior_high
whereas,high_school,,である一方で,high_word_list,2062;2402,existing,exam,conjunction,〜である一方,2,school=high_school; master=exam
win,high_school,,勝つ,high_word_list,288,existing,junior_high,verb,勝つ / 勝つ（過去形） / 勝つ（過去分詞）,4,school=high_school; master=junior_high
