word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks
beside,junior_high,の側に,横に,junior_word_list;high_word_list,780;55
besides,junior_high,そのうえ，さらに,,junior_word_list,1301
best,junior_high,最も良い,,junior_word_list,57;781
better,junior_high,より良い,,junior_word_list,782
between,junior_high,と～の間で,,junior_word_list,783;1884
beyond,junior_high,をこえたところに,を超えて,junior_word_list;high_word_list,1302;465
bicycle,junior_high,自転車,,junior_word_list,59
big,junior_high,大きい,,junior_word_list,60
bike,junior_high,自転車,,junior_word_list,61
bill,junior_high,請求書,請求書,junior_word_list;high_word_list,784;250
billion,junior_high,10億,,junior_word_list,1303
bird,junior_high,鳥,,junior_word_list,62
birthday,junior_high,誕生日,,junior_word_list,63
bit,junior_high,少し,,junior_word_list,1304
black,junior_high,黒い,,junior_word_list,64
blind,junior_high,目の見えない,,junior_word_list,1921
blood,junior_high,血,血,junior_word_list;high_word_list,1305;379
blow,junior_high,吹く,吹く,junior_word_list;high_word_list,1306;640
blue,junior_high,青い,,junior_word_list,65
body,junior_high,身体,,junior_word_list,66
boil,junior_high,ゆでる，煮る,,junior_word_list,1307
bomb,junior_high,爆弾,,junior_word_list,1308
book,junior_high,本,,junior_word_list,67
bookstore,junior_high,本屋,,junior_word_list,68
border,junior_high,国境,,junior_word_list,1309
bored,junior_high,退屈した,退屈した,junior_word_list;high_word_list,785;1027;1530
born,junior_high,生まれる,,junior_word_list,1310
borrow,junior_high,を借りる,借りる,junior_word_list;high_word_list,69;690;795;1298
both,junior_high,両方,,junior_word_list,786
bother,junior_high,面倒,悩ます,junior_word_list;high_word_list,1311;74
bought,junior_high,買った（過去形）,,junior_word_list,70
bowl,junior_high,鉢,,junior_word_list,1312
box,junior_high,箱,,junior_word_list,71
boy,junior_high,少年,,junior_word_list,72
brain,junior_high,頭脳,頭脳,junior_word_list;high_word_list,1313;188
branch,junior_high,枝,,junior_word_list,1314
brave,junior_high,勇敢な,,junior_word_list,1922
bread,junior_high,パン,,junior_word_list,73
break,junior_high,壊れる，破る,,junior_word_list,1315
breakfast,junior_high,朝食,,junior_word_list,74
breed,junior_high,を飼育する，繁殖する,,junior_word_list,1316
bridge,junior_high,橋,,junior_word_list,787
bright,junior_high,明るい,,junior_word_list,788;1317
bring,junior_high,持って来る,,junior_word_list,691
brother,junior_high,兄弟,,junior_word_list,75
brown,junior_high,茶色,,junior_word_list,76;714
brush,junior_high,をみがく,,junior_word_list,77;1318
build,junior_high,を建てる,,junior_word_list,78;789
building,junior_high,建物,,junior_word_list,790;1319
built,junior_high,を建てた,,junior_word_list,791
burden,junior_high,負担，重荷,重荷,junior_word_list;high_word_list,1320;1791;2131
burn,junior_high,を燃やす,,junior_word_list,792;1321
business,junior_high,商売,,junior_word_list,793
busy,junior_high,忙しい,,junior_word_list,79;718
but,junior_high,しかし、けれども,,junior_word_list,80;1863
buy,junior_high,を買う,,junior_word_list,81
by,junior_high,【手段・方法・原因】によって,,junior_word_list,82;83;794;795;796
bye for now,junior_high,さようなら,,junior_word_list,798
cake,junior_high,ケーキ,,junior_word_list,84
call,junior_high,に電話をかける,,junior_word_list,799;800
call back,junior_high,折り返し電話する,,junior_word_list,801
calligraphy,junior_high,書道,,junior_word_list,1322
calm,junior_high,落ちついた,穏やかな,junior_word_list;high_word_list,1323;2009;2349
came,junior_high,来た（過去形）,,junior_word_list,85
can,junior_high,【能力・可能】することができる,,junior_word_list,86;802;1861
cancer,junior_high,がん,,junior_word_list,1324
candle,junior_high,ろうそく,,junior_word_list,803
cannot,junior_high,できない,,junior_word_list,87
cap,junior_high,帽子,,junior_word_list,88
capital,junior_high,首都,資本,junior_word_list;high_word_list,804;520
capture,junior_high,を捕まえる,捕える,junior_word_list;high_word_list,1325;1873;2213
car,junior_high,自動車,,junior_word_list,89
carbon dioxide,junior_high,二酸化炭素,,junior_word_list,1326
care,junior_high,世話,,junior_word_list,90;805
career,junior_high,職業,,junior_word_list,806
careful,junior_high,注意深い,,junior_word_list,92
carefully,junior_high,注意深く,,junior_word_list,807;1877
carpet,junior_high,じゅうたん,,junior_word_list,808
carry,junior_high,を運ぶ,,junior_word_list,809
case,junior_high,場合,,junior_word_list,810;1327;1328
cat,junior_high,猫,,junior_word_list,93
catch,junior_high,を捕まえる,,junior_word_list,811
central,junior_high,中心の,,junior_word_list,1329
century,junior_high,世紀,,junior_word_list,812;1911
certain,junior_high,確かな,確かな,junior_word_list;high_word_list,1330;502
certainly,junior_high,承知しました,,junior_word_list,813;1927
chain,junior_high,くさり,,junior_word_list,814
chair,junior_high,いす,,junior_word_list,94
change,junior_high,変わる,,junior_word_list,815;816;1331
change trains,junior_high,電車を乗りかえる,,junior_word_list,817
charge,junior_high,を充電する,非難,junior_word_list;high_word_list,1332;522
cheap,junior_high,安い,,junior_word_list,1333
check,junior_high,を調べる,,junior_word_list,818;819
check out,junior_high,を調査する,,junior_word_list,1334
chemical,junior_high,化学物質,化学の,junior_word_list;high_word_list,1335;816;1319
chicken,junior_high,鶏肉,,junior_word_list,95
child,junior_high,子供,,junior_word_list,96;661
childhood,junior_high,子供のころ,子供時代,junior_word_list;high_word_list,820;1061;1564
children,junior_high,子供たち,,junior_word_list,97
china,junior_high,中国,,junior_word_list,1336
chinese,junior_high,中国語,,junior_word_list,821;1337
choose,junior_high,を選ぶ,,junior_word_list,98;1338
church,junior_high,教会,,junior_word_list,615
circle,junior_high,円,,junior_word_list,822;1339
citizen,junior_high,市民,市民,junior_word_list;high_word_list,823;524
city,junior_high,市、都会、都会,,junior_word_list,99
class,junior_high,授業,,junior_word_list,1340
classmate,junior_high,同級生,,junior_word_list,100
classroom,junior_high,教室,,junior_word_list,101
clean,junior_high,きれいな、清潔な,,junior_word_list,102;103;1341
clearly,junior_high,はっきりと,,junior_word_list,824
clerk,junior_high,店員,事務員,junior_word_list;high_word_list,614;825;321
clever,junior_high,利口な,,junior_word_list,826
climate,junior_high,気候,気候,junior_word_list;high_word_list,1342;525
climb,junior_high,を登る,,junior_word_list,104;672
close,junior_high,閉じる,,junior_word_list,827;1343
cloth,junior_high,布,,junior_word_list,828;1344
clothes,junior_high,服,,junior_word_list,105;1345
cloud,junior_high,雲,,junior_word_list,829
cloudy,junior_high,曇った,,junior_word_list,106;717
coal,junior_high,石炭,石炭,junior_word_list;high_word_list,1346;684
coin,junior_high,硬貨,,junior_word_list,830
cold,junior_high,冷たい、寒い,,junior_word_list,107
collect,junior_high,を集める,集める,junior_word_list;high_word_list,108;796;1299
college,junior_high,大学,,junior_word_list,831;1347
colony,junior_high,植民地,植民地,junior_word_list;high_word_list,1348;1902;2242
colorful,junior_high,色彩に富んだ,,junior_word_list,1349
come,junior_high,来る,,junior_word_list,109;832
come from,junior_high,出身である,,junior_word_list,833
comedy,junior_high,喜劇,喜劇,junior_word_list;high_word_list,834;722;1225
common,junior_high,共通の,一般的な,junior_word_list;high_word_list,835;1925;458
communicate,junior_high,連絡する,,junior_word_list,836
company,junior_high,会社,,junior_word_list,837
condition,junior_high,状況,状態,junior_word_list;high_word_list,1350;527
conference,junior_high,会議,会議,junior_word_list;high_word_list,838;529
connect,junior_high,を結びつける,つなげる,junior_word_list;high_word_list,839;1351;961;1464
consumer,junior_high,消費者,消費者,junior_word_list;high_word_list,1352;286
contact,junior_high,接触,,junior_word_list,840;1353
content,junior_high,中身,中身,junior_word_list;high_word_list,841;211
continue,junior_high,を続ける,続ける,junior_word_list;high_word_list,842;1354;234
control,junior_high,を管理する,,junior_word_list,1355
convenience,junior_high,便利,,junior_word_list,843
convenient,junior_high,便利な,都合がよい,junior_word_list;high_word_list,1356;1133;1636
cook,junior_high,料理する,,junior_word_list,110
cool,junior_high,かっこいい,,junior_word_list,111
corner,junior_high,かど,,junior_word_list,844;1357
could,junior_high,できた,,junior_word_list,112;1358
could you?,junior_high,してくださいませんか？,,junior_word_list,845
country,junior_high,国,,junior_word_list,113
countryside,junior_high,田舎,,junior_word_list,1359
couple,junior_high,夫婦,,junior_word_list,846
courage,junior_high,勇気,勇気,junior_word_list;high_word_list,1360;1731;2071
course,junior_high,進路,,junior_word_list,1361
cousin,junior_high,いとこ,,junior_word_list,115;1896
cover,junior_high,覆う,覆う,junior_word_list;high_word_list,1362;6
cow,junior_high,ウシ,,junior_word_list,116
crazy,junior_high,気の狂った,,junior_word_list,1363
create,junior_high,を創造する,,junior_word_list,847
creative,junior_high,創造力のある,創造的な,junior_word_list;high_word_list,1364;1029;1532
cross,junior_high,を横切る，渡る,,junior_word_list,1365
crowd,junior_high,群衆,群衆,junior_word_list;high_word_list,1912;388
cry,junior_high,泣く,,junior_word_list,848;1366
cultural,junior_high,文化の,,junior_word_list,849
culture,junior_high,文化,文化,junior_word_list;high_word_list,850;146
cup,junior_high,カップ,,junior_word_list,117
curious,junior_high,好奇心の強い,好奇心が強い,junior_word_list;high_word_list,1367;1178;1681
custom,junior_high,習慣,習慣,junior_word_list;high_word_list,1368;543
custom-made,junior_high,注文で作った,,junior_word_list,1369
customer,junior_high,顧客,顧客,junior_word_list;high_word_list,851;362
cut,junior_high,切る,,junior_word_list,852;1370
cute,junior_high,かわいい,,junior_word_list,118
daily,junior_high,日常の,,junior_word_list,1371
dam,junior_high,ダム,,junior_word_list,1372
damage,junior_high,に損害を与える,,junior_word_list,853;1373
dangerous,junior_high,危険な,,junior_word_list,1374
date,junior_high,日、日付,,junior_word_list,119;670
daughter,junior_high,娘,,junior_word_list,1375
day,junior_high,日、１日,,junior_word_list,120
dead,junior_high,死んだ,,junior_word_list,1376
dear,junior_high,親愛なる,,junior_word_list,121
death,junior_high,死,,junior_word_list,1377
debate,junior_high,討論,討論,junior_word_list;high_word_list,1378;544
december,junior_high,12月,,junior_word_list,122
decide,junior_high,を決める,,junior_word_list,854
decide to,junior_high,しようと決心する,,junior_word_list,1379
decision,junior_high,決定,決定,junior_word_list;high_word_list,1380;641
decrease,junior_high,減少する,減少する,junior_word_list;high_word_list,855;968;1471
deep,junior_high,深い,,junior_word_list,856
definitely,junior_high,もちろん，確かに,絶対に,junior_word_list;high_word_list,1381;420
delicious,junior_high,おいしい,,junior_word_list,123;1901
delivery,junior_high,配達,郵送,junior_word_list;high_word_list,857;746;1249
depend,junior_high,頼る,依存する,junior_word_list;high_word_list,1382;464
depend on,junior_high,に頼る,,junior_word_list,1383
desert,junior_high,砂漠,砂漠,junior_word_list;high_word_list,1384;548
design,junior_high,を設計する,,junior_word_list,1385
desk,junior_high,机,,junior_word_list,124
destroy,junior_high,を破壊する,破壊する,junior_word_list;high_word_list,1386;178
develop,junior_high,を発達させる,発達させる,junior_word_list;high_word_list,858;174
development,junior_high,開発,発展,junior_word_list;high_word_list,1387;173
device,junior_high,装置,装置,junior_word_list;high_word_list,1388;550
diary,junior_high,日記,,junior_word_list,600
dictionary,junior_high,辞書,,junior_word_list,125;677
die,junior_high,死ぬ,死ぬ,junior_word_list;high_word_list,859;1389;328
die out,junior_high,絶滅する,,junior_word_list,1390
difference,junior_high,ちがい,違い,junior_word_list;high_word_list,1391;459
different,junior_high,色々な、違った,,junior_word_list,126;860
difficult,junior_high,難しい,,junior_word_list,127;645
dinner,junior_high,夕食,,junior_word_list,128
dinosaur,junior_high,恐竜,,junior_word_list,861
directly,junior_high,直接に,直接（的）に,junior_word_list;high_word_list,862;1192;1695
disabled,junior_high,体の不自由な,,junior_word_list,863
disagree,junior_high,意見が合わない,反対する,junior_word_list;high_word_list,1392;2046;2386
disappear,junior_high,姿を消す、消滅する,消える,junior_word_list;high_word_list,864;84
disaster,junior_high,災害,災害,junior_word_list;high_word_list,1393;552
discover,junior_high,発見する,発見する,junior_word_list;high_word_list,865;1394;176
discrimination,junior_high,差別,,junior_word_list,1395
discuss,junior_high,話し合う,ついて議論する,junior_word_list;high_word_list,1396;1206;1709
discussion,junior_high,討論,議論,junior_word_list;high_word_list,1397;553
disease,junior_high,病気,病気,junior_word_list;high_word_list,1398;157
dish,junior_high,皿、料理,,junior_word_list,129;679
dislike,junior_high,嫌う,嫌がる,junior_word_list;high_word_list,866;799;1302
do,junior_high,をする、行う,,junior_word_list,130;867
do one's best,junior_high,最善をつくす,,junior_word_list,58
do well,junior_high,元気になる,,junior_word_list,1224
doctor,junior_high,医者,,junior_word_list,131
dog,junior_high,イヌ,,junior_word_list,132
doll,junior_high,人形,,junior_word_list,611
domestic,junior_high,国内の,国内の,junior_word_list;high_word_list,1399;821;1324
don't have to,junior_high,しなくてよい,,junior_word_list,948
donate,junior_high,を寄付する,,junior_word_list,1400
door,junior_high,戸,,junior_word_list,133
dot,junior_high,点,,junior_word_list,1401
down,junior_high,下に,,junior_word_list,134;135
drama,junior_high,劇,,junior_word_list,136
draw,junior_high,描く、引く,引く,junior_word_list;high_word_list,137;687;454
dream,junior_high,夢,,junior_word_list,138
drink,junior_high,を飲む,,junior_word_list,139
drive,junior_high,運転する,,junior_word_list,868;1402
driver,junior_high,運転手,,junior_word_list,1403
drop,junior_high,を落とす,,junior_word_list,140;1404
drop out,junior_high,中退する,,junior_word_list,1405
drove,junior_high,運転した,,junior_word_list,1406
drum,junior_high,太鼓、ドラム,,junior_word_list,141
dry,junior_high,乾く,,junior_word_list,869
during,junior_high,～の間,,junior_word_list,142;1879
each,junior_high,それぞれの、各自の,,junior_word_list,143;628
each other,junior_high,お互いに,,junior_word_list,144
ear,junior_high,耳,,junior_word_list,145;622
early,junior_high,早く,,junior_word_list,146;147;870
earn,junior_high,をかせぐ,稼ぐ,junior_word_list;high_word_list,871;443
earth,junior_high,地球,,junior_word_list,872
earthquake,junior_high,地震,,junior_word_list,1407
easily,junior_high,簡単に,,junior_word_list,148
east,junior_high,東,,junior_word_list,618;873
easy,junior_high,簡単な,,junior_word_list,874
eat,junior_high,を食べる、食事をする,,junior_word_list,149
eat out,junior_high,外食する,,junior_word_list,1408
ecosystem,junior_high,生態系,,junior_word_list,1409
effective,junior_high,効果的な,効果的な,junior_word_list;high_word_list,1410;1030;1533
effectively,junior_high,効果的に,効果的に,junior_word_list;high_word_list,875;1999;2339
effort,junior_high,努力,,junior_word_list,876
egg,junior_high,卵,,junior_word_list,150
eight,junior_high,8,,junior_word_list,151
eighteen,junior_high,18,,junior_word_list,152
eighth,junior_high,8番目,,junior_word_list,153
eighty,junior_high,80,,junior_word_list,154
elderly,junior_high,年配の,年配の,junior_word_list;high_word_list,877;824;1327
electricity,junior_high,電力,,junior_word_list,1411
electronic,junior_high,電子の,電子,junior_word_list;high_word_list,1412;197
electronic device,junior_high,電子機器,,junior_word_list,1413
elementary school,junior_high,小学校,,junior_word_list,155
elephant,junior_high,ゾウ,,junior_word_list,1905
eleven,junior_high,11,,junior_word_list,156
eleventh,junior_high,11番目,,junior_word_list,157
else,junior_high,その他に,,junior_word_list,1414
emergency,junior_high,緊急事態,緊急の,junior_word_list;high_word_list,1415;92
employee,junior_high,従業員,従業員,junior_word_list;high_word_list,1416;773;1276
encourage,junior_high,を勇気づける,励ます,junior_word_list;high_word_list,1417;114
encourage to ～,junior_high,に～するように促す,,junior_word_list,1418
end,junior_high,最後,,junior_word_list,158;878
endangered,junior_high,絶滅の危機にさらされている,,junior_word_list,1419
ending,junior_high,終わり，結末,,junior_word_list,1420
enemy,junior_high,敵,,junior_word_list,1421
engineer,junior_high,開発者,,junior_word_list,1422
english,junior_high,英語,,junior_word_list,159
enjoy,junior_high,を楽しむ,,junior_word_list,160
enough,junior_high,十分な、必要なだけの,,junior_word_list,879
enter,junior_high,入る,入る,junior_word_list;high_word_list,880;180
entrance,junior_high,入口,,junior_word_list,1904
envelope,junior_high,封筒,,junior_word_list,881
environment,junior_high,環境，状況,環境，状況,junior_word_list;high_word_list,1423;422
era,junior_high,時代,時代,junior_word_list;high_word_list,1424;1799;2139
eraser,junior_high,消しゴム,,junior_word_list,685
especially,junior_high,特に、とりわけ,特に,junior_word_list;high_word_list,882;185
establish,junior_high,を設立する,設立する,junior_word_list;high_word_list,1425;247
evacuation,junior_high,避難,,junior_word_list,1426
evacuation drill,junior_high,避難訓練,,junior_word_list,1427
even,junior_high,でさえ,,junior_word_list,883;1869
even if,junior_high,たとえ～だとしても,,junior_word_list,1428
evening,junior_high,夕方,,junior_word_list,161
event,junior_high,行事,,junior_word_list,162;1429
eventually,junior_high,最後には,結局は,junior_word_list;high_word_list,884;343
ever,junior_high,今まで，かつて,,junior_word_list,1430
every,junior_high,毎、ごとに,,junior_word_list,163;1431
every year,junior_high,毎年,,junior_word_list,1432
everyone,junior_high,みんな,,junior_word_list,164
everything,junior_high,何でも,,junior_word_list,885
everywhere,junior_high,どこでも,,junior_word_list,886;1926
exam,junior_high,試験,,junior_word_list,1433
example,junior_high,例、実例,,junior_word_list,887
exception,junior_high,例外,例外,junior_word_list;high_word_list,1434;1728;2068
exchange,junior_high,交換,,junior_word_list,1435
excited,junior_high,わくわくした,,junior_word_list,165;1900
exciting,junior_high,興奮させる,,junior_word_list,166
excuse,junior_high,を許す,言い訳,junior_word_list;high_word_list,167;712;774;1277
exercise,junior_high,練習する,,junior_word_list,1436
exhibition,junior_high,展示,展示,junior_word_list;high_word_list,889;199
expensive,junior_high,高価な，費用のかかる,値段が高い,junior_word_list;high_word_list,1437;217
experience,junior_high,を経験する,,junior_word_list,890;891
explain,junior_high,を説明する,説明する,junior_word_list;high_word_list,892;1878;246
extend,junior_high,を広げる,延びる,junior_word_list;high_word_list,1438;801;1304
extinction,junior_high,絶滅,絶滅,junior_word_list;high_word_list,1439;1771;2111
extinguisher,junior_high,消火器,,junior_word_list,1440
eye,junior_high,目、視力,,junior_word_list,168;646
face,junior_high,顔,直面する,junior_word_list;high_word_list,169;893;205
facility,junior_high,施設、設備,施設,junior_word_list;high_word_list,894;1802;2142
fact,junior_high,事実，現実,事実,junior_word_list;high_word_list,1441;322
factory,junior_high,工場,,junior_word_list,895
fail,junior_high,失敗する,失敗する,junior_word_list;high_word_list,896;316
fall,junior_high,転ぶ、転倒する,,junior_word_list,170;171;675;1442
fall down,junior_high,倒れる,,junior_word_list,172
family,junior_high,家族,,junior_word_list,173
famous,junior_high,有名な,有名な,junior_word_list;high_word_list,174;124
fantastic,junior_high,すばらしい,,junior_word_list,1443
far,junior_high,遠くに,,junior_word_list,897
farm,junior_high,農場,,junior_word_list,692
farmer,junior_high,農場主,,junior_word_list,175;711;1444
fast,junior_high,速い,,junior_word_list,176;1445
fat,junior_high,太った,太った,junior_word_list;high_word_list,1446;832;1335
father,junior_high,父,,junior_word_list,177
favorite,junior_high,好きな、お気に入りの,一番好きな,junior_word_list;high_word_list,178;1136;1639
feather,junior_high,羽,,junior_word_list,1447
feature,junior_high,特色,特徴,junior_word_list;high_word_list,899;184
february,junior_high,2月,,junior_word_list,179
feedback,junior_high,意見,,junior_word_list,900
feel,junior_high,と感じる,,junior_word_list,180;673
feel free to,junior_high,遠慮なくする,,junior_word_list,1448
feel like ~ing,junior_high,したい気がする,,junior_word_list,901
felt,junior_high,感じた,,junior_word_list,181
fence,junior_high,塀,,junior_word_list,1449
festival,junior_high,祭り,,junior_word_list,182
fever,junior_high,熱,,junior_word_list,183
few,junior_high,少しの,,junior_word_list,902
fiction,junior_high,小説,,junior_word_list,904
fifteen,junior_high,15,,junior_word_list,184
fifth,junior_high,5番目,,junior_word_list,185
fifty,junior_high,50,,junior_word_list,186
fight,junior_high,たたかう,,junior_word_list,1450
fill,junior_high,いっぱいにする,,junior_word_list,1451
film,junior_high,映画,,junior_word_list,1452
final,junior_high,最後の,,junior_word_list,1453
finally,junior_high,ついに，やっと,,junior_word_list,1454
find,junior_high,を発見する,,junior_word_list,905
fine,junior_high,元気な,,junior_word_list,187;722
finger,junior_high,手の指,,junior_word_list,906
finish,junior_high,を終える,,junior_word_list,907
fire,junior_high,火,首にする,junior_word_list;high_word_list,908;1455;1456;301
first,junior_high,1番め、最初,,junior_word_list,188;1457
fish,junior_high,魚,,junior_word_list,189
five,junior_high,5,,junior_word_list,190
flat,junior_high,平らな,,junior_word_list,1458
flight,junior_high,飛行,,junior_word_list,1459
floor,junior_high,階,,junior_word_list,601
flour,junior_high,小麦粉,,junior_word_list,909
flower,junior_high,花,,junior_word_list,191
fly,junior_high,飛ぶ,,junior_word_list,910;1460
