exclude_reason,source_file,action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2,center_word_original,center_pos,center_pmw,review_reason
source_file_review,review,add,851,déjà(-vu),déjà(-vu),,,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=; center_pmw=100+,déjà(-vu),,100+,pos_review;multiword_or_symbol;unknown_pos
source_file_review,review,add,862,lower,lower,adjective,comparative,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJR; center_pmw=100+,lower,JJR,100+,pos_review
source_file_review,review,add,876,born,born,verb,past_participle,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVN; center_pmw=100+,born,VVN,100+,pos_review
source_file_review,review,add,881,indian,indian,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=100+,Indian,NP,100+,pos_review;proper_noun
source_file_review,review,add,915,new york,new york,,,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=; center_pmw=100+,New York,,100+,pos_review;multiword_or_symbol;proper_noun;unknown_pos
source_file_review,review,add,929,teenager,teenager,adjective,comparative,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJR; center_pmw=100+,teenager,JJR,100+,pos_review
source_file_review,review,add,938,data,data,noun,plural,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=100+,data,NNS,100+,pos_review
source_file_review,review,add,995,species,species,noun,plural,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=100+,species,NNS,100+,pos_review
source_file_review,review,add,1001,brazil,brazil,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=100+,Brazil,NP,100+,pos_review;proper_noun
source_file_review,review,add,1010,helping,helping,verb,present_participle,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=100+,helping,VVG,100+,pos_review
source_file_review,review,add,1016,moving,moving,verb,present_participle,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=100+,moving,VVG,100+,pos_review
source_file_review,review,add,1112,cox,cox,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=100+,Cox,NP,100+,pos_review;proper_noun
source_file_review,review,add,1138,surrounding,surrounding,verb,present_participle,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=100+,surrounding,VVG,100+,pos_review
source_file_review,review,add,1144,uk,uk,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=100+,UK,NP,100+,pos_review;acronym;proper_noun
