decision,action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2,center_word_original,center_pos,center_pmw
add,add,446,agree,agree,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVP; center_pmw=100+,agree,VVP,100+
add,add,449,difference,difference,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,difference,NN,100+
add,add,451,offer,offer,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,offer,NN,100+
add,add,459,period,period,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,period,NN,100+
add,add,462,attention,attention,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,attention,NN,100+
add,add,466,population,population,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,population,NN,100+
add,add,468,several,several,adjective,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+,several,JJ,100+
add,add,472,influence,influence,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,influence,NN,100+
add,add,474,notice,notice,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,notice,NN,100+
add,add,475,object,object,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,object,NN,100+
add,add,483,brain,brain,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,brain,NN,100+
add,add,485,control,control,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,control,NN,100+
add,add,487,foreign,foreign,adjective,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+,foreign,JJ,100+
add,add,490,product,product,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,product,NN,100+
add,add,491,research,research,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,research,NN,100+
add,add,492,role,role,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,role,NN,100+
add,add,494,speaker,speaker,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,speaker,NN,100+
add,add,496,survey,survey,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,survey,NN,100+
add,add,497,clear,clear,adjective,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+,clear,JJ,100+
add,add,509,concern,concern,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,concern,NN,100+
add,add,511,form,form,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,form,NN,100+
add,add,513,local,local,adjective,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+,local,JJ,100+
add,add,517,opinion,opinion,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,opinion,NN,100+
add,add,518,prefer,prefer,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVP; center_pmw=100+,prefer,VVP,100+
add,add,521,allow,allow,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+,allow,VV,100+
add,add,525,remain,remain,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+,remain,VV,100+
add,add,526,stress,stress,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,stress,NN,100+
add,add,527,system,system,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,system,NN,100+
add,add,529,bill,bill,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,bill,NN,100+
add,add,533,method,method,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,method,NN,100+
add,add,535,require,require,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+,require,VV,100+
add,add,541,statement,statement,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,statement,NN,100+
add,add,544,unite,unite,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+,unite,VV,100+
add,add,545,various,various,adjective,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+,various,JJ,100+
add,add,546,worker,worker,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,worker,NN,100+
add,add,549,condition,condition,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,condition,NN,100+
add,add,550,customer,customer,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,customer,NN,100+
add,add,551,depend,depend,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+,depend,VV,100+
add,add,553,graph,graph,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,graph,NN,100+
add,add,557,passage,passage,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,passage,NN,100+
add,add,565,trouble,trouble,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,trouble,NN,100+
add,add,566,value,value,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,value,NN,100+
add,add,568,design,design,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,design,NN,100+
add,add,571,experiment,experiment,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,experiment,NN,100+
add,add,574,instead,instead,adverb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=100+,instead,RB,100+
add,add,577,similar,similar,adjective,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+,similar,JJ,100+
add,add,580,base,base,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,base,NN,100+
add,add,581,below,below,adverb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=100+,below,RB,100+
add,add,592,accept,accept,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+,accept,VV,100+
add,add,594,average,average,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,average,NN,100+
add,add,595,avoid,avoid,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+,avoid,VV,100+
add,add,596,distance,distance,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,distance,NN,100+
add,add,598,environment,environment,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,environment,NN,100+
add,add,602,rate,rate,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,rate,NN,100+
add,add,607,describe,describe,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+,describe,VV,100+
add,add,609,follow,follow,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+,follow,VV,100+
add,add,619,skill,skill,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,skill,NN,100+
add,add,620,technology,technology,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,technology,NN,100+
add,add,623,attitude,attitude,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,attitude,NN,100+
add,add,624,behavior,behavior,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,behavior,NN,100+
add,add,630,major,major,adjective,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+,major,JJ,100+
add,add,631,mention,mention,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,mention,NN,100+
add,add,633,opportunity,opportunity,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+,opportunity,NN,100+
