action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,Note2
add,5772,amongst,amongst,preposition,base,1,〜の間に・〜の中で,exam,3,,amongの文語的・英国的形,
add,4,an,a,article,variant,1,ひとつの・ある,junior_high,1,,母音の前で使う不定冠詞,
add,3,and,and,conjunction,base,1,そして・〜と,junior_high,1,,語と語・文と文をつなぐ,
review,3010,and so on,and so on,adverb,base,1,などなど,junior_high,1,,複数語表現として登録するか要確認,元行が review または複数語表現
add,763,angry,angry,adjective,base,1,怒っている,junior_high,1,,,y→ier/iest の綴り規則で自動生成候補
add,56,animal,animal,noun,base,1,動物,junior_high,1,,,
add,1103,another,another,adjective,base,1,ほかの・もう一つの,junior_high,1,,,規則比較級・最上級として自動生成候補
add_pos_variant,922,answer,answer,noun,base,1,答え,junior_high,1,,動詞 answer とは別,
add_pos_variant,709,answer,answer,verb,base,1,答える,junior_high,1,,名詞 answer とは別,規則活用。自動生成候補
add,1583,anybody,anybody,pronoun,base,1,誰か・誰でも・誰も,junior_high,2,,anyone とほぼ同じ,
add,376,anyone,anyone,pronoun,base,1,誰か・誰でも・誰も,junior_high,2,,不定代名詞。否定文・疑問文でよく使う,
add,202,anything,anything,pronoun,base,1,何か・何でも・何も,junior_high,2,,不定代名詞。否定文・疑問文でよく使う,
add,1155,anyway,anyway,adverb,base,1,とにかく,junior_high,2,,,比較級・最上級を単語形として追加する必要性は低い
add,2023,apartment,apartment,noun,base,1,アパート,junior_high,1,,,
add,52,apple,apple,noun,base,1,りんご,junior_high,1,果物,,
add,158,April,April,noun,base,1,4月,junior_high,1,基本語,月名,
add,,are,be,auxiliary,variant,1,ある・いる・〜である,junior_high,1,基本語,be動詞の現在形,
add,916,area,area,noun,base,1,地域・区域,junior_high,2,,,
add,,aren't,be,auxiliary,contracted,1,〜ではない・〜にいない,junior_high,1,,are not の短縮形,
add,484,arm,arm,noun,base,1,腕,junior_high,1,,,
add,854,army,army,noun,base,1,陸軍・軍隊,junior_high,2,,,
add,220,around,around,preposition,base,1,〜の周りに・およそ,junior_high,2,,周囲・概略を表す,
add,222,arrive,arrive,verb,base,1,到着する,junior_high,1,,,規則活用だが e 脱落・y変化など綴り生成注意
add,856,arrow,arrow,noun,base,1,矢,junior_high,2,,,
add,632,art,art,noun,base,1,美術・芸術,junior_high,1,,,不可算用法あり。作品の意味では arts もありうる
add,837,artist,artist,noun,base,1,芸術家・アーティスト,junior_high,1,職業,,
add,28,as,as,conjunction,base,1,〜するとき・〜なので・〜のように,junior_high,2,,時・理由・様態・比較など用法が多い,
add,1063,ashamed,ashamed,adjective,base,1,恥じて,junior_high,2,,,規則比較級・最上級として自動生成候補
add,1009,Asia,Asia,noun,base,1,アジア,junior_high,1,地名,,
add,687,ask,ask,verb,base,1,尋ねる・頼む,junior_high,1,,,規則活用。自動生成候補
add,16,at,at,preposition,base,1,〜で・〜に,junior_high,1,,一点の場所・時刻・対象を表す,
add,,ate,eat,verb,past,1,食べる（過去形）,junior_high,1,,eat の過去形,
add,6246,atop,atop,preposition,base,1,〜の頂上に・〜の上に,exam,3,,文語的,
add,162,August,August,noun,base,1,8月,junior_high,1,基本語,月名,
add,83,aunt,aunt,noun,base,1,おば,junior_high,1,,,
add,1010,Australia,Australia,noun,base,1,オーストラリア,junior_high,1,国名,,
add,152,autumn,autumn,noun,base,1,秋,junior_high,1,基本語,季節,
add,1018,awake,awake,verb,base,1,目が覚める,junior_high,2,,,不規則活用。正本追加候補あり
add,1148,away,away,adverb,base,1,離れて・去って,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,,awoke,awake,verb,past,1,目が覚める（過去形）,junior_high,2,,awake の過去形,
add,,awoken,awake,verb,past_participle,1,目が覚める（過去分詞）,junior_high,2,,awake の過去分詞,
add,5742,aye,aye,interjection,base,1,はい・賛成,exam,2,,古風・方言的・投票時の賛成表現,
add,511,baby,baby,noun,base,1,赤ん坊,junior_high,1,,,子音+y → ies の規則複数
add,1088,back,back,adjective,base,1,後ろの・裏の,junior_high,1,,名詞・副詞 back とは別,規則比較級・最上級として自動生成候補
add,240,bad,bad,adjective,base,1,悪い,junior_high,1,,,
add,2034,badminton,badminton,noun,base,1,バドミントン,junior_high,1,,,
add,6,bag,bag,noun,base,1,かばん,junior_high,1,,,
add,1048,bake,bake,verb,base,1,焼く,junior_high,2,,主にオーブンで焼く,規則活用。自動生成候補
add,538,ball,ball,noun,base,1,ボール,junior_high,1,,,
add,520,band,band,noun,base,1,バンド,junior_high,1,,,
add,117,bank,bank,noun,base,1,銀行,junior_high,1,,,
add,657,bar,bar,noun,base,1,棒・バー,junior_high,2,,,
add,883,barber,barber,noun,base,1,床屋・理髪師,junior_high,2,,,
add,40,baseball,baseball,noun,base,1,野球,junior_high,1,,,
add,39,basketball,basketball,noun,base,1,バスケットボール,junior_high,1,,,
add,43,bat,bat,noun,base,1,バット・コウモリ,junior_high,1,,,
add,427,bath,bath,noun,base,1,風呂,junior_high,1,,,
add,862,bathroom,bathroom,noun,base,1,浴室・トイレ,junior_high,1,,,
add,3020,be,be,auxiliary,base,1,である,junior_high,1,基本語,be動詞。191基本語と重複,
review,338,be able to,be able to,auxiliary,base,1,〜できる,junior_high,1,,要確認。複数語表現として登録するか判断,
add,871,beach,beach,noun,base,1,砂浜・ビーチ,junior_high,1,,,
add,3022,bean,bean,noun,base,1,豆,junior_high,1,,,
add,443,bear,bear,noun,base,1,クマ,junior_high,1,動物,動詞 bear とは別,
add,276,beautiful,beautiful,adjective,base,1,美しい,junior_high,1,,,more/most 型で扱う候補。単語形としては追加しない
add,997,beauty,beauty,noun,base,1,美・美しさ,junior_high,2,,,
add,,became,become,verb,past,1,〜になる（過去形）,junior_high,1,,become の過去形,
add,80,because,because,conjunction,base,1,なぜなら・〜なので,junior_high,1,,理由を表す,
add,,become,become,verb,past_participle,1,〜になる（過去分詞）,junior_high,1,,become の過去分詞,
add,761,become,become,verb,base,1,〜になる,junior_high,1,,,不規則活用。正本追加候補あり
add,21,bed,bed,noun,base,1,ベッド,junior_high,1,,,
add,2044,bedroom,bedroom,noun,base,1,寝室,junior_high,1,,,
add,465,beef,beef,noun,base,1,牛肉,junior_high,1,,,不可算用法が中心
add,,been,be,auxiliary,past_participle,1,〜であった・いた,junior_high,1,基本語,be動詞の過去分詞,
add,472,beer,beer,noun,base,1,ビール,junior_high,2,,,不可算・可算両用。文脈により beers もあり
add,144,before,before,preposition,base,1,〜の前に,junior_high,1,,時間・順序で前を表す,
add,,began,begin,verb,past,1,始まる・始める（過去形）,junior_high,1,,begin の過去形,
add,727,begin,begin,verb,base,1,始まる・始める,junior_high,1,,,不規則活用。正本追加候補あり
add,,begun,begin,verb,past_participle,1,始まる・始める（過去分詞）,junior_high,1,,begin の過去分詞,
add,275,behind,behind,preposition,base,1,〜の後ろに,junior_high,1,,背後・遅れを表す,
add,,being,be,auxiliary,present_participle,1,〜であること・〜でいて,junior_high,1,基本語,be動詞の現在分詞・動名詞,
add,667,believe,believe,verb,base,1,信じる,junior_high,1,,,規則活用だが e 脱落・y変化など綴り生成注意
add,647,bell,bell,noun,base,1,ベル・鐘,junior_high,1,,,
add,1028,belong,belong,verb,base,1,所属する,junior_high,2,,,規則活用。自動生成候補
add,580,belt,belt,noun,base,1,ベルト,junior_high,1,,,
add,426,bench,bench,noun,base,1,ベンチ,junior_high,1,,,
add,2490,beneath,beneath,preposition,base,1,〜の下に・〜にふさわしくない,high_school,3,,underより文語的・比喩的,
add,1653,beside,beside,preposition,base,1,〜のそばに,junior_high,2,,近く・横を表す,
add,1135,besides,besides,adverb,base,1,その上・さらに,junior_high,2,,,比較級・最上級を単語形として追加する必要性は低い
add,,best,well,adverb,superlative,1,最もよく・最も上手に,junior_high,1,,well の最上級,
add,238,best,good,adjective,superlative,1,最もよい,junior_high,1,基本語,good の最上級,既に比較級・最上級として登録済み
add,,better,well,adverb,comparative,1,よりよく・より上手に,junior_high,1,,well の比較級,
add,2049,better,good,adjective,comparative,1,よりよい,junior_high,1,,good の比較級,既に比較級・最上級として登録済み
add,107,between,between,preposition,base,1,〜の間に,junior_high,1,,主に2者の間を表す,
add,1505,beyond,beyond,preposition,base,1,〜を越えて・〜の向こうに,high_school,3,,範囲・限界の外を表す,
add,64,bicycle,bicycle,noun,base,1,自転車,junior_high,1,,,
add,260,big,big,adjective,base,1,大きい,junior_high,1,,,短母音＋子音の重ね字規則で自動生成候補
add,2051,bike,bike,noun,base,1,自転車・バイク,junior_high,1,乗り物,,
add,1522,billion,billion,numeral,base,1,10億,junior_high,1,,大きな数。英米では通常10億,
add,59,bird,bird,noun,base,1,鳥,junior_high,1,動物,,
add,639,birthday,birthday,noun,base,1,誕生日,junior_high,1,,,
add,983,bit,bit,noun,base,1,少し,junior_high,1,,a bit の形でよく使う,
add,268,black,black,adjective,base,1,黒い,junior_high,1,,,規則比較級・最上級として自動生成候補
add,2052,blackboard,blackboard,noun,base,1,黒板,junior_high,1,,,
add,6831,blah,blah,interjection,base,1,などなど・つまらない話,junior_high,2,,くだけた表現。blah blah blahで「云々」,
add,,blew,blow,verb,past,1,吹く（過去形）,junior_high,2,,blow の過去形,
add,1064,blind,blind,adjective,base,1,目の見えない,junior_high,2,,,規則比較級・最上級として自動生成候補
add,878,blood,blood,noun,base,1,血,junior_high,2,,,不可算用法が中心
add,1055,blow,blow,verb,base,1,吹く,junior_high,2,,,不規則活用。正本追加候補あり
add,,blown,blow,verb,past_participle,1,吹く（過去分詞）,junior_high,2,,blow の過去分詞,
add,269,blue,blue,adjective,base,1,青い,junior_high,1,,,e終わり。r/st 付加で自動生成候補
add,45,boat,boat,noun,base,1,ボート・小舟,junior_high,1,,,
add,30,body,body,noun,base,1,体,junior_high,1,,,
add,1042,boil,boil,verb,base,1,ゆでる・沸く,junior_high,2,,,規則活用。自動生成候補
add,855,bomb,bomb,noun,base,1,爆弾,junior_high,2,,,
add,11,book,book,noun,base,1,本,junior_high,1,,,
add,3036,bookstore,bookstore,noun,base,1,本屋,junior_high,1,,,
add,750,borrow,borrow,verb,base,1,借りる,junior_high,1,,,規則活用。自動生成候補
add,353,both,both,adverb,base,1,両方とも,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,867,bottle,bottle,noun,base,1,びん,junior_high,1,,,
add,,bought,buy,verb,past,1,買う（過去形）,junior_high,1,,buy の過去形,
add,,bought,buy,verb,past_participle,1,買う（過去分詞）,junior_high,1,,buy の過去分詞,
add,952,bowl,bowl,noun,base,1,ボウル・鉢,junior_high,1,,,
add,125,box,box,noun,base,1,箱,junior_high,1,,,
add,71,boy,boy,noun,base,1,少年・男の子,junior_high,1,,,
add,958,branch,branch,noun,base,1,枝・支店,junior_high,2,,,
add,1094,brave,brave,adjective,base,1,勇敢な,junior_high,2,,,e終わり。r/st 付加で自動生成候補
add,47,bread,bread,noun,base,1,パン,junior_high,1,,,不可算用法が中心
add,1045,break,break,verb,base,1,壊れる・壊す,junior_high,1,,,不規則活用。正本追加候補あり
add,3040,breakfast,breakfast,noun,base,1,朝食,junior_high,1,,,
add,497,bridge,bridge,noun,base,1,橋,junior_high,1,,,
add,789,bright,bright,adjective,base,1,明るい,junior_high,2,,,規則比較級・最上級として自動生成候補
add,754,bring,bring,verb,base,1,持って来る,junior_high,1,,,不規則活用。正本追加候補あり
add,,broke,break,verb,past,1,壊れる・壊す（過去形）,junior_high,1,,break の過去形,
add,,broken,break,verb,past_participle,1,壊れる・壊す（過去分詞）,junior_high,1,,break の過去分詞,
add,75,brother,brother,noun,base,1,兄弟・兄・弟,junior_high,1,,,
add,,brought,bring,verb,past,1,持って来る（過去形）,junior_high,1,,bring の過去形,
add,,brought,bring,verb,past_participle,1,持って来る（過去分詞）,junior_high,1,,bring の過去分詞,
add,773,brown,brown,adjective,base,1,茶色の,junior_high,1,,,規則比較級・最上級として自動生成候補
add,960,brush,brush,noun,base,1,ブラシ・筆,junior_high,1,,,
add,738,build,build,verb,base,1,建てる・作る,junior_high,1,,,不規則活用。正本追加候補あり
add,493,building,building,noun,base,1,建物,junior_high,1,,,
add,,built,build,verb,past,1,建てる・作る（過去形）,junior_high,1,,build の過去形,
add,,built,build,verb,past_participle,1,建てる・作る（過去分詞）,junior_high,1,,build の過去分詞,
add,63,bus,bus,noun,base,1,バス,junior_high,1,,,
add,583,business,business,noun,base,1,商売・仕事,junior_high,2,,,
add,242,busy,busy,adjective,base,1,忙しい,junior_high,1,,,y→ier/iest の綴り規則で自動生成候補
add,19,but,but,conjunction,base,1,しかし・だが,junior_high,1,,逆接を表す,
add,649,butter,butter,noun,base,1,バター,junior_high,1,,,不可算用法が中心
add,209,buy,buy,verb,base,1,買う,junior_high,1,,,不規則活用。正本追加候補あり
add,26,by,by,preposition,base,1,〜によって・〜のそばに,junior_high,1,,手段・行為者・近接・期限を表す,
add,1017,bye,goodbye,interjection,variant,1,さようなら,junior_high,1,,くだけた別れのあいさつ,
add,2065,cafeteria,cafeteria,noun,base,1,カフェテリア・食堂,junior_high,1,,,
add,54,cake,cake,noun,base,1,ケーキ,junior_high,1,,,
add,917,calendar,calendar,noun,base,1,カレンダー,junior_high,1,,,
add,690,call,call,verb,base,1,呼ぶ・電話をかける,junior_high,1,,,規則活用。自動生成候補
add,1110,calm,calm,adjective,base,1,落ち着いた,junior_high,2,,,規則比較級・最上級として自動生成候補
add,,came,come,verb,past,1,来る（過去形）,junior_high,1,,come の過去形,
add,135,camera,camera,noun,base,1,カメラ,junior_high,1,,,
add,590,camp,camp,noun,base,1,キャンプ,junior_high,1,,,
add,2070,camping,camping,noun,present_participle,1,キャンプ,junior_high,1,,動詞 camp のing形由来の名詞,
add,39,can,can,auxiliary,base,1,〜できる・〜してもよい,junior_high,2,,能力・許可・可能性を表す,
add_pos_variant,991,can,can,noun,base,1,缶,junior_high,1,,助動詞 can とは別,
add,,can't,can,auxiliary,contracted,1,〜できない,junior_high,1,,cannot の短縮形,
add,1008,Canada,Canada,noun,base,1,カナダ,junior_high,1,国名,,
add,651,candle,candle,noun,base,1,ろうそく,junior_high,1,,,
add,460,candy,candy,noun,base,1,キャンディー,junior_high,1,,,不可算・可算両用。米語では candies もあり
add,129,cap,cap,noun,base,1,帽子・ふた,junior_high,1,,,
add,526,capital,capital,noun,base,1,首都・大文字・資本,junior_high,2,,,
add,846,captain,captain,noun,base,1,船長・キャプテン,junior_high,1,,,
add,65,car,car,noun,base,1,自動車,junior_high,1,,,
add,418,card,card,noun,base,1,カード,junior_high,1,,,
add,678,care,care,verb,base,1,気にする・世話をする,junior_high,1,,,規則活用。自動生成候補
add_pos_variant,940,care,care,noun,base,1,世話・管理,junior_high,1,,動詞 care とは別,
add,263,careful,careful,adjective,base,1,注意深い,junior_high,1,,,more/most 型で扱う候補。単語形としては追加しない
add,1173,carefully,carefully,adverb,base,1,注意深く,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,421,carpet,carpet,noun,base,1,じゅうたん,junior_high,1,,,
add,747,carry,carry,verb,base,1,運ぶ,junior_high,1,,,規則活用。自動生成候補
add,1000,case,case,noun,base,1,場合・容器,junior_high,2,,,
add,58,cat,cat,noun,base,1,猫,junior_high,1,,,
add,205,catch,catch,verb,base,1,捕まえる・受け取る,junior_high,1,,,不規則活用。正本追加候補あり
add,,caught,catch,verb,past,1,捕まえる・受け取る（過去形）,junior_high,1,,catch の過去形,
add,,caught,catch,verb,past_participle,1,捕まえる・受け取る（過去分詞）,junior_high,1,,catch の過去分詞,
add,964,cent,cent,noun,base,1,セント,junior_high,1,,,
add,527,center,center,noun,base,1,中央・中心,junior_high,1,,,
add,972,centimeter,centimeter,noun,base,1,センチメートル,junior_high,1,,,
add,1113,central,central,adjective,base,1,中心の,junior_high,2,,,more/most 型で扱う候補。単語形としては追加しない
add,884,century,century,noun,base,1,世紀,junior_high,2,,,
add,1119,certain,certain,adjective,base,1,ある・確かな,junior_high,2,,,more/most 型で扱う候補。単語形としては追加しない
add,1138,certainly,certainly,adverb,base,1,確かに,junior_high,2,,,比較級・最上級を単語形として追加する必要性は低い
add,650,chain,chain,noun,base,1,くさり,junior_high,2,,,
add,12,chair,chair,noun,base,1,いす,junior_high,1,,,
add,645,chalk,chalk,noun,base,1,チョーク,junior_high,1,,,
add,137,chance,chance,noun,base,1,機会・チャンス,junior_high,1,,,
add,758,change,change,verb,base,1,変わる・変える,junior_high,1,,,規則活用だが e 脱落・y変化など綴り生成注意
add,2078,check,check,noun,base,1,小切手・確認,junior_high,1,,動詞 check とは別,
add,990,cheese,cheese,noun,base,1,チーズ,junior_high,1,,,不可算・可算両用
add,2079,cherry,cherry,noun,base,1,さくらんぼ,junior_high,1,,,
add,2080,Chicago,Chicago,noun,base,1,シカゴ,junior_high,1,,,
add,437,chicken,chicken,noun,base,1,ニワトリ・鶏肉,junior_high,1,,,
add,510,child,child,noun,base,1,子供,junior_high,1,,,child の不規則複数形
add,,children,child,noun,plural,1,子どもたち,junior_high,1,,child の不規則複数形,
add,105,China,China,noun,base,1,中国,junior_high,1,国名,,
add,1102,Chinese,Chinese,adjective,base,1,中国の・中国人の,junior_high,1,,,e終わり。r/st 付加で自動生成候補
add,2084,chocolate,chocolate,noun,base,1,チョコレート,junior_high,1,,,
add,1039,choose,choose,verb,base,1,選ぶ,junior_high,1,,,不規則活用。正本追加候補あり
add,2085,chopstick,chopstick,noun,base,1,箸,junior_high,1,,通常は chopsticks の複数形で使う,
add,,chose,choose,verb,past,1,選ぶ（過去形）,junior_high,1,,choose の過去形,
add,,chosen,choose,verb,past_participle,1,選ぶ（過去分詞）,junior_high,1,,choose の過去分詞,
add,618,Christmas,Christmas,noun,base,1,クリスマス,junior_high,1,,,
add,108,church,church,noun,base,1,教会,junior_high,1,,,
add,622,circle,circle,noun,base,1,円・輪,junior_high,1,,,
add,85,citizen,citizen,noun,base,1,市民,junior_high,2,,,
add,107,city,city,noun,base,1,市・都会,junior_high,1,,,子音+y → ies の規則複数
add,2086,clarinet,clarinet,noun,base,1,クラリネット,junior_high,1,,,
add,2,class,class,noun,base,1,学級・授業,junior_high,1,,,
add,2088,classmate,classmate,noun,base,1,同級生,junior_high,1,,,
add,498,classroom,classroom,noun,base,1,教室,junior_high,1,,,
add_pos_variant,241,clean,clean,adjective,base,1,きれいな,junior_high,1,,動詞 clean とは別,規則比較級・最上級として自動生成候補
add_pos_variant,688,clean,clean,verb,base,1,掃除する,junior_high,1,,形容詞 clean とは別,規則活用。自動生成候補
add,91,clerk,clerk,noun,base,1,店員・事務員,junior_high,1,,,
add,762,clever,clever,adjective,base,1,利口な,junior_high,2,,,規則比較級・最上級として自動生成候補
add,944,climate,climate,noun,base,1,気候,junior_high,2,,,
add,689,climb,climb,verb,base,1,登る,junior_high,1,,,規則活用。自動生成候補
add,422,clock,clock,noun,base,1,時計,junior_high,1,,,
add_pos_variant,1117,close,close,adjective,base,1,近い・接近した,junior_high,1,,動詞 close とは別,e終わり。r/st 付加で自動生成候補
add_pos_variant,733,close,close,verb,base,1,閉じる,junior_high,1,,形容詞 close とは別,規則活用だが e 脱落・y変化など綴り生成注意
add,447,cloth,cloth,noun,base,1,布,junior_high,2,,clothes との混同注意,
add,448,clothes,clothes,noun,plural,1,服,junior_high,1,,常に複数形で使うことが多い,常に複数形で使うことが多い
add,551,cloud,cloud,noun,base,1,雲,junior_high,1,,,
add,804,cloudy,cloudy,adjective,base,1,曇った,junior_high,1,,,y→ier/iest の綴り規則で自動生成候補
add,539,club,club,noun,base,1,クラブ・部活動,junior_high,1,,,
add,451,coat,coat,noun,base,1,コート,junior_high,1,,,
add,469,coffee,coffee,noun,base,1,コーヒー,junior_high,1,,,不可算・可算両用。coffees もあり
add,523,coin,coin,noun,base,1,硬貨,junior_high,1,,,
add,254,cold,cold,adjective,base,1,冷たい・寒い,junior_high,1,,,規則比較級・最上級として自動生成候補
add,190,collect,collect,verb,base,1,集める,junior_high,1,,,規則活用。自動生成候補
add,495,college,college,noun,base,1,大学,junior_high,1,,,
add,2098,color,color,noun,base,1,色,junior_high,1,,,
add,,come,come,verb,past_participle,1,来る（過去分詞）,junior_high,1,,come の過去分詞,
add,192,come,come,verb,base,1,来る,junior_high,1,,,不規則活用。正本追加候補あり
add,2100,comic,comic,noun,base,1,漫画・コミック,junior_high,1,,,
add,1115,common,common,adjective,base,1,共通の・よくある,junior_high,2,,,more/most 型で扱う候補。単語形としては追加しない
add,2101,company,company,noun,base,1,会社,junior_high,1,,,
add,424,computer,computer,noun,base,1,コンピュータ,junior_high,1,,,
add,896,concert,concert,noun,base,1,コンサート,junior_high,1,,,
add,608,contest,contest,noun,base,1,コンテスト,junior_high,1,,,
add,202,cook,cook,verb,base,1,料理する,junior_high,1,,,規則活用。自動生成候補
add_pos_variant,89,cook,cook,noun,base,1,料理人,junior_high,1,,動詞 cook とは別,
add,2106,cookie,cookie,noun,base,1,クッキー,junior_high,1,,,
add,2107,cooking,cooking,noun,present_participle,1,料理・調理,junior_high,1,,動詞 cook のing形由来の名詞,
add,253,cool,cool,adjective,base,1,涼しい・かっこいい,junior_high,1,,,規則比較級・最上級として自動生成候補
add_pos_variant,1041,copy,copy,verb,base,1,写す・コピーする,junior_high,1,,名詞 copy とは別,規則活用。自動生成候補
add,528,corner,corner,noun,base,1,角・すみ,junior_high,1,,,
add,2109,costume,costume,noun,base,1,衣装・コスチューム,junior_high,1,,,
add,54,could,can,auxiliary,past,1,〜できた・〜かもしれない・〜していただけますか,junior_high,2,,canの過去形由来。可能・推量・丁寧表現,
add,,couldn't,can,auxiliary,contracted,1,〜できなかった・〜できないだろう,junior_high,1,,could not の短縮形,
add,102,country,country,noun,base,1,国・田舎,junior_high,1,,,子音+y → ies の規則複数
add,915,couple,couple,noun,base,1,カップル・二人組,junior_high,1,,,
add,924,courage,courage,noun,base,1,勇気,junior_high,2,,,不可算名詞
add,931,course,course,noun,base,1,進路・講座・コース,junior_high,1,,,
add,839,cousin,cousin,noun,base,1,いとこ,junior_high,1,,,
add,1044,cover,cover,verb,base,1,おおう,junior_high,1,,,規則活用。自動生成候補
add,61,cow,cow,noun,base,1,牛,junior_high,1,,,
add,1124,crazy,crazy,adjective,base,1,気が変な・夢中の,junior_high,2,,,y→ier/iest の綴り規則で自動生成候補
add,1016,cross,cross,verb,base,1,横切る,junior_high,1,,名詞 cross とは別,規則活用。自動生成候補
add,841,crowd,crowd,noun,base,1,群衆・人混み,junior_high,2,,,
add,693,cry,cry,verb,base,1,泣く,junior_high,1,,,規則活用。自動生成候補
add,609,culture,culture,noun,base,1,文化,junior_high,2,,,
add,19,cup,cup,noun,base,1,カップ,junior_high,1,,,
add,975,curtain,curtain,noun,base,1,カーテン,junior_high,1,,,
add,903,custom,custom,noun,base,1,習慣・慣習,junior_high,2,,,
add,,cut,cut,verb,past,1,切る（過去形）,junior_high,1,,cut の過去形,
add,,cut,cut,verb,past_participle,1,切る（過去分詞）,junior_high,1,,cut の過去分詞,
add,749,cut,cut,verb,base,1,切る,junior_high,1,,,不規則活用。正本追加候補あり
add,1107,cute,cute,adjective,base,1,かわいい,junior_high,1,,,e終わり。r/st 付加で自動生成候補
