expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
"Come in, please.","come in, please.",conversation,どうぞ おはいりください。,どうぞ おはいりください。,junior_high,1,5,5,,5:491,1
Congratulations.,congratulations.,conversation,おめでとう。,おめでとう。,junior_high,1,5,5;3,会話表現,5:449;3:515,2
Cool!,cool!,conversation,かっこいい！,かっこいい！,junior_high,1,5,5,,5:6,1
Did you sleep well?,did you sleep well?,conversation,よく ねむれた？,よく ねむれた？,junior_high,1,5,5,,5:580,1
Dinner is ready.,dinner is ready.,conversation,ばんごはん できたよ。,ばんごはん できたよ。 / ごはんができたよ。,junior_high,1,5,5;3,会話表現,5:478;3:531,2
Do you understand?,do you understand?,conversation,わかりますか？,わかりますか？,junior_high,1,5,5,,5:551,1
Do your best.,do your best.,conversation,ぜんりょくで がんばって。,ぜんりょくで がんばって。,junior_high,1,5,5,,5:350,1
Don't be late.,don't be late.,conversation,おくれないでね。,おくれないでね。,junior_high,1,5,5,,5:373,1
Don't give up.,don't give up.,conversation,あきらめないで。,あきらめないで。,junior_high,1,5,5;4,,5:377;4:860,2
Don't touch it.,don't touch it.,conversation,さわらないで。,さわらないで。,junior_high,1,5,5,,5:429,1
Don't worry.,don't worry.,conversation,しんぱいしないで。,しんぱいしないで。 / 心配しんぱいしないで。,junior_high,1,5,5;4,,5:275;4:736,2
Excuse me.,excuse me.,conversation,すみません。,すみません。,junior_high,1,5,5;4,,5:134;4:813,2
Follow me.,follow me.,conversation,ついてきて。,ついてきて。,junior_high,1,5,5,,5:180,1
Get well soon.,get well soon.,conversation,はやく よくなってね。,はやく よくなってね。 / 早はやくよくなってね。,junior_high,1,5,5;4;3,会話表現,5:380;4:863;3:377,3
Go straight.,go straight.,conversation,まっすぐ いって。,まっすぐ いって。 / まっすぐ行いってください。,junior_high,1,5,5;4,,5:295;4:784,2
Good afternoon.,good afternoon.,conversation,こんにちは。,こんにちは。,junior_high,1,5,5,ひるすぎ,5:393,1
Good evening.,good evening.,conversation,こんばんは。,こんばんは。,junior_high,1,5,5,,5:321,1
Good idea.,good idea.,conversation,いいね。,いいね。,junior_high,1,5,5,,5:147,1
Good job.,good job.,conversation,よくできました。,よくできました。,junior_high,1,5,5,,5:91,1
Good luck.,good luck.,conversation,がんばってね。,がんばってね。,junior_high,1,5,5,,5:167,1
"Good morning, everyone.","good morning, everyone.",conversation,みなさん おはよう。,みなさん おはよう。,junior_high,1,5,5,,5:619,1
Good morning.,good morning.,conversation,おはよう。,おはよう。,junior_high,1,5,5,,5:318,1
Good night.,good night.,conversation,おやすみ。,おやすみ。,junior_high,1,5,5,,5:209,1
Goodbye.,goodbye.,conversation,さようなら。,さようなら。,junior_high,1,5,5,,5:45,1
Great!,great!,conversation,すごい！,すごい！,junior_high,1,5,5,,5:19,1
Guess what!,guess what!,conversation,ねえ きいて！,ねえ きいて！,junior_high,1,5,5,,5:249,1
Happy birthday.,happy birthday.,conversation,おたんじょうび おめでとう。,おたんじょうび おめでとう。,junior_high,1,5,5,,5:406,1
Have a good day.,have a good day.,conversation,よい いちにちを。,よい いちにちを。,junior_high,1,5,5,,5:511,1
Have a nice day.,have a nice day.,conversation,よいいちにちを。,よいいちにちを。,junior_high,1,5,5,,5:495,1
Have a nice trip.,have a nice trip.,conversation,よい たびを。,よい たびを。 / よい旅たびを。,junior_high,1,5,5;4,,5:541;4:831,2
Hello? (on the phone),hello? (on the phone),conversation,もしもし？,もしもし？,junior_high,1,5,5,,5:632,1
Help!,help!,conversation,たすけて！,たすけて！,junior_high,1,5,5,,5:13,1
Here you are.,here you are.,conversation,はい、どうぞ。,はい、どうぞ。,junior_high,1,5,5;3,会話表現,5:347;3:11,2
"Here, take this.","here, take this.",conversation,はい、これ どうぞ。,はい、これ どうぞ。,junior_high,1,5,5,,5:488,1
"Hold on, please.","hold on, please.",conversation,すこし まってください。,すこし まってください。 / 少すこしお待まちください。 / 少々しょうしょうお待まちください。,junior_high,1,5,5;4;3,会話表現,5:469;4:780;3:440,3
How are you?,how are you?,conversation,げんき？,げんき？,junior_high,1,5,5,,5:308,1
How do you say this?,how do you say this?,conversation,これ なんて いうの？,これ なんて いうの？,junior_high,1,5,5,,5:600,1
How much is it?,how much is it?,conversation,いくらですか？,いくらですか？,junior_high,1,5,5,,5:436,1
How old are you?,how old are you?,conversation,なんさいですか？,なんさいですか？,junior_high,1,5,5,,5:498,1
How's the weather?,how's the weather?,conversation,てんきは どう？,てんきは どう？,junior_high,1,5,5,,5:554,1
Hurry up.,hurry up.,conversation,いそいで。,いそいで。,junior_high,1,5,5,,5:108,1
I agree.,i agree.,conversation,さんせい。,さんせい。,junior_high,1,5,5,,5:62,1
I can't.,i can't.,conversation,できないんだ。,できないんだ。,junior_high,1,5,5,,5:65,1
I did it!,i did it!,conversation,できた！,できた！,junior_high,1,5,5,,5:114,1
I don't know.,i don't know.,conversation,わからない。,わからない。,junior_high,1,5,5,,5:337,1
I don't like it.,i don't like it.,conversation,すきじゃ ないな。,すきじゃ ないな。,junior_high,1,5,5,,5:505,1
I don't understand.,i don't understand.,conversation,わかりません。,わかりません。,junior_high,1,5,5,,5:564,1
I have a question.,i have a question.,conversation,しつもんが あります。,しつもんが あります。,junior_high,1,5,5,,5:560,1
I like it.,i like it.,conversation,すきだよ。,すきだよ。,junior_high,1,5,5,,5:203,1
I lost.,i lost.,conversation,まけちゃった。,まけちゃった。,junior_high,1,5,5,,5:42,1
I love it.,i love it.,conversation,だいすき。,だいすき。,junior_high,1,5,5,,5:206,1
I think so.,i think so.,conversation,そうおもうよ。,そうおもうよ。,junior_high,1,5,5,,5:259,1
I understand.,i understand.,conversation,わかります。,わかります。 / わかりました。,junior_high,1,5,5;4,,5:331;4:856,2
I won!,i won!,conversation,かった！,かった！,junior_high,1,5,5,,5:22,1
I'll call you back.,i'll call you back.,conversation,あとで かけなおすね。,あとで かけなおすね。 / あとでかけ直なおすね。 / 折おり返かえし電話でんわするよ。,junior_high,1,5,5;4;3,会話表現,5:577;4:782;3:88,3
I'll take it.,i'll take it.,conversation,それを ください。,それを ください。 / これにします。,junior_high,1,5,5;3,会話表現,5:344;3:225,2
I'm coming.,i'm coming.,conversation,いま いくよ。,いま いくよ。 / 今いま行いくよ。,junior_high,1,5,5;4,,5:255;4:797,2
I'm fine.,i'm fine.,conversation,げんきだよ。,げんきだよ。,junior_high,1,5,5,,5:75,1
I'm from Japan.,i'm from japan.,conversation,にほん しゅっしんです。,にほん しゅっしんです。,junior_high,1,5,5,,5:409,1
I'm full.,i'm full.,conversation,おなかいっぱい。,おなかいっぱい。 / おなかいっぱいです。,junior_high,1,5,5;4;3,会話表現,5:98;4:793;3:278,3
I'm good.,i'm good.,conversation,ちょうしいいよ。,ちょうしいいよ。,junior_high,1,5,5,,5:78,1
I'm happy.,i'm happy.,conversation,うれしいよ。,うれしいよ。,junior_high,1,5,5,,5:154,1
I'm home.,i'm home.,conversation,ただいま。,ただいま。,junior_high,1,5,5;3,会話表現,5:104;3:528,2
I'm hungry.,i'm hungry.,conversation,おなかが すいたよ。,おなかが すいたよ。,junior_high,1,5,5,,5:216,1
I'm just looking.,i'm just looking.,conversation,みているだけです。,みているだけです。 / 見みているだけです。,junior_high,1,5,5;3,会話表現,5:524;3:218,2
I'm leaving.,i'm leaving.,conversation,いってきます。,いってきます。,junior_high,1,5,5,,5:291,1
I'm not sure.,i'm not sure.,conversation,よく わからないな。,よく わからないな。 / よく分わからないな。,junior_high,1,5,5;4,,5:341;4:804,2
I'm proud of you.,i'm proud of you.,conversation,きみを ほこりに おもうよ。,きみを ほこりに おもうよ。 / きみを誇ほこりに思おもうよ。 / あなたを誇ほこりに思おもうよ。,junior_high,1,5,5;4;3,会話表現,5:544;4:827;3:495,3
I'm sleepy.,i'm sleepy.,conversation,ねむいよ。,ねむいよ。,junior_high,1,5,5,,5:213,1
I'm sorry.,i'm sorry.,conversation,ごめんなさい。,ごめんなさい。,junior_high,1,5,5,,5:131,1
I'm thirsty.,i'm thirsty.,conversation,のどが かわいたよ。,のどが かわいたよ。,junior_high,1,5,5,,5:272,1
I'm tired.,i'm tired.,conversation,つかれたよ。,つかれたよ。,junior_high,1,5,5,,5:124,1
It's cloudy.,it's cloudy.,conversation,くもりだよ。,くもりだよ。,junior_high,1,5,5,,5:288,1
It's cold today.,it's cold today.,conversation,きょうは さむいね。,きょうは さむいね。,junior_high,1,5,5,,5:465,1
It's cute.,it's cute.,conversation,かわいいね。,かわいいね。,junior_high,1,5,5,,5:150,1
It's delicious.,it's delicious.,conversation,おいしいよ。,おいしいよ。,junior_high,1,5,5,,5:403,1
It's fun.,it's fun.,conversation,たのしいよ。,たのしいよ。,junior_high,1,5,5,,5:95,1
It's hot today.,it's hot today.,conversation,きょうは あついね。,きょうは あついね。,junior_high,1,5,5,,5:416,1
It's mine.,it's mine.,conversation,わたしのだよ。,わたしのだよ。,junior_high,1,5,5,,5:193,1
It's Monday today.,it's monday today.,conversation,きょうは げつようびだよ。,きょうは げつようびだよ。,junior_high,1,5,5,,5:557,1
It's my turn.,it's my turn.,conversation,わたしの ばん。,わたしの ばん。 / 私わたしの番ばんだよ。,junior_high,1,5,5;4,,5:357;4:823,2
It's near here.,it's near here.,conversation,この ちかくだよ。,この ちかくだよ。 / この近ちかくだよ。,junior_high,1,5,5;4,,5:419;4:758,2
It's over there.,it's over there.,conversation,あそこだよ。,あそこだよ。,junior_high,1,5,5,,5:482,1
It's rainy.,it's rainy.,conversation,あめだよ。,あめだよ。,junior_high,1,5,5,,5:236,1
It's snowy.,it's snowy.,conversation,ゆきだよ。,ゆきだよ。,junior_high,1,5,5,,5:239,1
It's sunny.,it's sunny.,conversation,はれだよ。,はれだよ。,junior_high,1,5,5,,5:232,1
It's three o'clock.,it's three o'clock.,conversation,3じだよ。,3じだよ。,junior_high,1,5,5,,5:570,1
It's too expensive.,it's too expensive.,conversation,たかすぎるよ。,たかすぎるよ。 / 高たかすぎるよ。 / 高たかすぎます。,junior_high,1,5,5;4;3,会話表現,5:567;4:735;3:236,3
It's windy.,it's windy.,conversation,かぜが つよいね。,かぜが つよいね。,junior_high,1,5,5,,5:242,1
It's your turn.,it's your turn.,conversation,きみの ばんだよ。,きみの ばんだよ。,junior_high,1,5,5,,5:426,1
It's yours.,it's yours.,conversation,きみのだよ。,きみのだよ。,junior_high,1,5,5,,5:252,1
Just a minute.,just a minute.,conversation,ちょっと まってね。,ちょっと まってね。,junior_high,1,5,5,,5:370,1
Let me see.,let me see.,conversation,ちょっと みせて。,ちょっと みせて。,junior_high,1,5,5,,5:268,1
Let's begin.,let's begin.,conversation,はじめよう。,はじめよう。,junior_high,1,5,5,,5:282,1
Let's eat.,let's eat.,conversation,たべよう。,たべよう。,junior_high,1,5,5,,5:157,1
Let's go to bed.,let's go to bed.,conversation,もう ねよう。,もう ねよう。,junior_high,1,5,5,,5:514,1
Let's go.,let's go.,conversation,いこう。,いこう。,junior_high,1,5,5,,5:101,1
Let's play.,let's play.,conversation,あそぼう。,あそぼう。,junior_high,1,5,5,,5:229,1
Let's share.,let's share.,conversation,わけっこ しよう。,わけっこ しよう。,junior_high,1,5,5,,5:298,1
Let's start.,let's start.,conversation,はじめよう。,はじめよう。,junior_high,1,5,5,,5:305,1
Let's take the bus.,let's take the bus.,conversation,バスに のろう。,バスに のろう。,junior_high,1,5,5,,5:583,1
Listen!,listen!,conversation,きいて！,きいて！,junior_high,1,5,5,,5:36,1
"Listen, please.","listen, please.",conversation,きいてね。,きいてね。,junior_high,1,5,5,,5:400,1
Long time no see.,long time no see.,conversation,ひさしぶり。,ひさしぶり。 / 久ひさしぶり。 / 久しぶりひさしぶり。,junior_high,1,5,5;4;3,会話表現,5:534;4:757;3:9,3
Look at me.,look at me.,conversation,こっちを みて。,こっちを みて。,junior_high,1,5,5,,5:262,1
Look!,look!,conversation,みて！,みて！,junior_high,1,5,5,,5:9,1
May I come in?,may i come in?,conversation,はいっても いいですか？,はいっても いいですか？ / 入はいってもいいですか？ / 入はいってもいいですか。,junior_high,1,5,5;4;3,会話表現,5:387;4:815;3:49,3
May I go to the bathroom?,may i go to the bathroom?,conversation,トイレに いっても いいですか？,トイレに いっても いいですか？,junior_high,1,5,5,,5:629,1
May I speak to Tom?,may i speak to tom?,conversation,トムさんを おねがいします。,トムさんを おねがいします。,junior_high,1,5,5,,5:587,1
May I try it?,may i try it?,conversation,ためしても いい？,ためしても いい？,junior_high,1,5,5,,5:360,1
Maybe next time.,maybe next time.,conversation,また こんど。,また こんど。 / また今度こんど。,junior_high,1,5,5;4,,5:462;4:743,2
"Me, too.","me, too.",conversation,わたしも。,わたしも。,junior_high,1,5,5,,5:59,1
My name is Ken.,my name is ken.,conversation,ぼくの なまえは ケンです。,ぼくの なまえは ケンです。,junior_high,1,5,5,,5:432,1
Never mind.,never mind.,conversation,きにしないで。,きにしないで。 / 気きにしないで。,junior_high,1,5,5;3,会話表現,5:223;3:25,2
"Nice to meet you, too.","nice to meet you, too.",conversation,こちらこそ はじめまして。,こちらこそ はじめまして。,junior_high,1,5,5,,5:616,1
Nice to meet you.,nice to meet you.,conversation,はじめまして。,はじめまして。,junior_high,1,5,5,,5:537,1
No problem.,no problem.,conversation,だいじょうぶだよ。,だいじょうぶだよ。 / 問題もんだいないよ。,junior_high,1,5,5;4;3,会話表現,5:219;4:776;3:16,3
"No, thank you.","no, thank you.",conversation,いいえ、けっこうです。,いいえ、けっこうです。,junior_high,1,5,5;4,,5:367;4:896,2
Not bad.,not bad.,conversation,まあまあだよ。,まあまあだよ。,junior_high,1,5,5,,5:55,1
Of course.,of course.,conversation,もちろん。,もちろん。,junior_high,1,5,5;4,,5:141;4:817,2
"One more time, please.","one more time, please.",conversation,もういちど おねがいします。,もういちど おねがいします。,junior_high,1,5,5,,5:613,1
Open your book.,open your book.,conversation,ほんを ひらいて。,ほんを ひらいて。,junior_high,1,5,5,,5:413,1
Pass me the ball.,pass me the ball.,conversation,ボールを パスして。,ボールを パスして。,junior_high,1,5,5,,5:547,1
Please call me back.,please call me back.,conversation,あとで かけなおしてね。,あとで かけなおしてね。 / 折おり返かえし電話でんわしてください。,junior_high,1,5,5;3,会話表現,5:596;3:467,2
Please say it again.,please say it again.,conversation,もういちど いってください。,もういちど いってください。,junior_high,1,5,5,,5:593,1
Raise your hand.,raise your hand.,conversation,てを あげて。,てを あげて。,junior_high,1,5,5,,5:459,1
Really?,really?,conversation,ほんとう？,ほんとう？,junior_high,1,5,5,,5:29,1
Repeat after me.,repeat after me.,conversation,あとに ついて いって。,あとに ついて いって。,junior_high,1,5,5,,5:455,1
See you later.,see you later.,conversation,またあとでね。,またあとでね。,junior_high,1,5,5,,5:364,1
See you tomorrow.,see you tomorrow.,conversation,またあした。,またあした。,junior_high,1,5,5,,5:521,1
See you.,see you.,conversation,またね。,またね。,junior_high,1,5,5,,5:52,1
Sit down.,sit down.,conversation,すわって。,すわって。,junior_high,1,5,5,,5:85,1
Sounds good.,sounds good.,conversation,いいね。,いいね。,junior_high,1,5,5,,5:285,1
Speaking.,speaking.,conversation,わたしです。,わたしです。,junior_high,1,5,5,,5:72,1
Stand up.,stand up.,conversation,たって。,たって。,junior_high,1,5,5,,5:81,1
Stop!,stop!,conversation,とまって！,とまって！,junior_high,1,5,5,,5:16,1
Sure.,sure.,conversation,いいよ。,いいよ。,junior_high,1,5,5,,5:3,1
Take care.,take care.,conversation,きをつけてね。,きをつけてね。 / 気きをつけてね。,junior_high,1,5,5;4;3,会話表現,5:121;4:754;3:3,3
Take it easy.,take it easy.,conversation,むりしないでね。,むりしないでね。,junior_high,1,5,5;4,,5:354;4:741,2
Thank you very much.,thank you very much.,conversation,どうも ありがとう。,どうも ありがとう。,junior_high,1,5,5,,5:590,1
Thank you.,thank you.,conversation,ありがとう。,ありがとう。,junior_high,1,5,5,,5:127,1
Thanks.,thanks.,conversation,ありがと。,ありがと。,junior_high,1,5,5,,5:26,1
That's all for today.,that's all for today.,conversation,きょうは ここまで。,きょうは ここまで。,junior_high,1,5,5,,5:603,1
That's all.,that's all.,conversation,それで ぜんぶです。,それで ぜんぶです。,junior_high,1,5,5,,5:226,1
That's OK.,that's ok.,conversation,だいじょうぶだよ。,だいじょうぶだよ。,junior_high,1,5,5,,5:137,1
That's right.,that's right.,conversation,そのとおり。,そのとおり。,junior_high,1,5,5,,5:327,1
That's too bad.,that's too bad.,conversation,それは ざんねん。,それは ざんねん。 / それは残念ざんねん。 / それは残念ざんねんだね。,junior_high,1,5,5;4;3,会話表現,5:423;4:765;3:511,3
This is Ken.,this is ken.,conversation,ケンです。,ケンです。,junior_high,1,5,5,,5:311,1
"This way, please.","this way, please.",conversation,こちらへ どうぞ。,こちらへ どうぞ。,junior_high,1,5,5,,5:531,1
Time's up.,time's up.,conversation,じかんだよ。,じかんだよ。,junior_high,1,5,5,,5:186,1
Try again.,try again.,conversation,もういちど やってみて。,もういちど やってみて。,junior_high,1,5,5,,5:183,1
Turn left.,turn left.,conversation,ひだりに まがって。,ひだりに まがって。,junior_high,1,5,5,,5:163,1
Turn off the TV.,turn off the tv.,conversation,テレビを けして。,テレビを けして。,junior_high,1,5,5,,5:518,1
Turn right.,turn right.,conversation,みぎに まがって。,みぎに まがって。,junior_high,1,5,5,,5:245,1
Wait for me.,wait for me.,conversation,まってよ。,まってよ。,junior_high,1,5,5,,5:314,1
Wake up!,wake up!,conversation,おきて！,おきて！,junior_high,1,5,5,,5:68,1
Wash your hands.,wash your hands.,conversation,てを あらってね。,てを あらってね。,junior_high,1,5,5,,5:472,1
Watch out!,watch out!,conversation,あぶない！,あぶない！,junior_high,1,5,5;4,,5:173;4:824,2
Watch your step.,watch your step.,conversation,あしもとに きをつけて。,あしもとに きをつけて。 / 足元あしもとに気きをつけて。,junior_high,1,5,5;4,,5:485;4:900,2
Welcome home.,welcome home.,conversation,おかえり。,おかえり。,junior_high,1,5,5,,5:324,1
Welcome.,welcome.,conversation,ようこそ。,ようこそ。,junior_high,1,5,5,,5:49,1
Well done.,well done.,conversation,よく やったね。,よく やったね。,junior_high,1,5,5,,5:170,1
What day is it?,what day is it?,conversation,きょうは なんようび？,きょうは なんようび？,junior_high,1,5,5,,5:442,1
What time is it?,what time is it?,conversation,いま なんじ？,いま なんじ？,junior_high,1,5,5,,5:508,1
What time?,what time?,conversation,なんじに？,なんじに？,junior_high,1,5,5,,5:160,1
What's this in English?,what's this in english?,conversation,これは えいごで なんていうの？,これは えいごで なんていうの？,junior_high,1,5,5,,5:623,1
What's this?,what's this?,conversation,これは なに？,これは なに？,junior_high,1,5,5,,5:301,1
What's wrong?,what's wrong?,conversation,どうしたの？,どうしたの？,junior_high,1,5,5;4,,5:334;4:738,2
Where is the station?,where is the station?,conversation,えきは どこ？,えきは どこ？,junior_high,1,5,5,,5:606,1
Whose is this?,whose is this?,conversation,これ だれの？,これ だれの？,junior_high,1,5,5,,5:383,1
Wonderful!,wonderful!,conversation,すばらしい！,すばらしい！,junior_high,1,5,5,,5:118,1
"Yes, please.","yes, please.",conversation,はい、おねがいします。,はい、おねがいします。 / はい、お願ねがいします。,junior_high,1,5,5;4,,5:278;4:919,2
You can do it.,you can do it.,conversation,きみなら できるよ。,きみなら できるよ。 / きみならできるよ。,junior_high,1,5,5;4,,5:390;4:861,2
You have the wrong number.,you have the wrong number.,conversation,ばんごうが ちがいます。,ばんごうが ちがいます。 / 番号ばんごうが違ちがいます。,junior_high,1,5,5;4,,5:633;4:781,2
You're welcome.,you're welcome.,conversation,どういたしまして。,どういたしまして。,junior_high,1,5,5;4;3,会話表現,5:396;4:810;3:20,3
Anything to drink?,anything to drink?,conversation,お飲のみ物ものは？,お飲のみ物ものは？,junior_high,1,4,4,,4:895,1
At nine o'clock.,at nine o'clock.,conversation,9時じだよ。,9時じだよ。,junior_high,1,4,4,,4:761,1
Be careful.,be careful.,conversation,気きをつけて。,気きをつけて。,junior_high,1,4,4,,4:774,1
Better luck next time.,better luck next time.,conversation,次つぎはうまくいくよ。,次つぎはうまくいくよ。,junior_high,1,4,4,,4:842,1
Can I ask you something?,can i ask you something?,conversation,ちょっと聞きいてもいい？,ちょっと聞きいてもいい？,junior_high,1,4,4,,4:906,1
Can I borrow yours?,can i borrow yours?,conversation,借かりてもいい？,借かりてもいい？,junior_high,1,4,4,,4:727,1
Can I leave a message?,can i leave a message?,conversation,伝言でんごんをお願ねがいできますか？,伝言でんごんをお願ねがいできますか？,junior_high,1,4,4,,4:783,1
Can I return this?,can i return this?,conversation,これ、返品へんぴんできますか？,これ、返品へんぴんできますか？,junior_high,1,4,4,,4:911,1
Can I take a photo?,can i take a photo?,conversation,写真しゃしんを撮とってもいい？,写真しゃしんを撮とってもいい？,junior_high,1,4,4,,4:888,1
Can you do me a favor?,can you do me a favor?,conversation,お願ねがいがあるんだけど。,お願ねがいがあるんだけど。,junior_high,1,4,4,,4:843,1
Congratulations!,congratulations!,conversation,おめでとう！,おめでとう！,junior_high,1,4,4,,4:766,1
Could I have a smaller size?,could i have a smaller size?,conversation,もっと小ちいさいサイズはありますか？,もっと小ちいさいサイズはありますか？,junior_high,1,4,4,,4:913,1
Could we have the bill?,could we have the bill?,conversation,お会計かいけいをお願ねがいします。,お会計かいけいをお願ねがいします。,junior_high,1,4,4;3,会話表現,4:791;3:269,2
Could you help me with this?,could you help me with this?,conversation,これを手伝てつだってくれる？,これを手伝てつだってくれる？,junior_high,1,4,4,,4:816,1
Could you say that again?,could you say that again?,conversation,もう一度いちど言いってくれる？,もう一度いちど言いってくれる？ / もう一度いちど言いってくれますか。,junior_high,1,4,4;3,会話表現,4:768;3:55,2
Could you speak slowly?,could you speak slowly?,conversation,ゆっくり話はなしてくれる？,ゆっくり話はなしてくれる？,junior_high,1,4,4,,4:769,1
Could you take our picture?,could you take our picture?,conversation,私わたしたちの写真しゃしんを撮とってくれますか？,私わたしたちの写真しゃしんを撮とってくれますか？,junior_high,1,4,4,,4:890,1
Could you tell me the way?,could you tell me the way?,conversation,道みちを教おしえてくれますか？,道みちを教おしえてくれますか？,junior_high,1,4,4,,4:788,1
Did you make this?,did you make this?,conversation,これ、作つくったの？,これ、作つくったの？,junior_high,1,4,4,,4:898,1
Dinner is almost ready.,dinner is almost ready.,conversation,ごはんはもうすぐできるよ。,ごはんはもうすぐできるよ。,junior_high,1,4,4,,4:801,1
Do you have it in blue?,do you have it in blue?,conversation,青あおいのはありますか？,青あおいのはありますか？ / 青あおはありますか。,junior_high,1,4,4;3,会話表現,4:731;3:240,2
Do you play any sports?,do you play any sports?,conversation,何なにかスポーツをする？,何なにかスポーツをする？,junior_high,1,4,4,,4:838,1
Do you take cards?,do you take cards?,conversation,カードは使つかえますか？,カードは使つかえますか？,junior_high,1,4,4,,4:910,1
Don't forget your umbrella.,don't forget your umbrella.,conversation,傘かさを忘わすれないでね。,傘かさを忘わすれないでね。,junior_high,1,4,4,,4:799,1
Don't mention it.,don't mention it.,conversation,気きにしないで。,気きにしないで。 / いえいえ。,junior_high,1,4,4;3,会話表現,4:927;3:44,2
Drive safely.,drive safely.,conversation,運転うんてん、気きをつけてね。,運転うんてん、気きをつけてね。,junior_high,1,4,4,,4:923,1
Everything will be fine.,everything will be fine.,conversation,きっと大丈夫だいじょうぶ。,きっと大丈夫だいじょうぶ。,junior_high,1,4,4,,4:855,1
Good luck on your test.,good luck on your test.,conversation,テスト、がんばってね。,テスト、がんばってね。,junior_high,1,4,4,,4:773,1
Happy birthday!,happy birthday!,conversation,お誕生日たんじょうびおめでとう！,お誕生日たんじょうびおめでとう！,junior_high,1,4,4,,4:874,1
Have a nice weekend.,have a nice weekend.,conversation,よい週末しゅうまつを。,よい週末しゅうまつを。,junior_high,1,4,4,,4:756,1
"Help me, please.","help me, please.",conversation,助たすけて。,助たすけて。,junior_high,1,4,4,,4:853,1
Help yourself.,help yourself.,conversation,自由じゆうにどうぞ。,自由じゆうにどうぞ。,junior_high,1,4,4,,4:775,1
Here's a present for you.,here's a present for you.,conversation,これ、プレゼントだよ。,これ、プレゼントだよ。,junior_high,1,4,4,,4:875,1
Here's your change.,here's your change.,conversation,おつりです。,おつりです。,junior_high,1,4,4,,4:733,1
How about Sunday?,how about sunday?,conversation,日曜日にちようびはどう？,日曜日にちようびはどう？,junior_high,1,4,4,,4:744,1
How do I get to the airport?,how do i get to the airport?,conversation,空港くうこうへはどう行いく？,空港くうこうへはどう行いく？,junior_high,1,4,4,,4:828,1
How do you spell it?,how do you spell it?,conversation,どう書かくの？,どう書かくの？,junior_high,1,4,4,,4:771,1
How much are they?,how much are they?,conversation,それらはいくら？,それらはいくら？,junior_high,1,4,4,,4:729,1
How was your trip?,how was your trip?,conversation,旅行りょこうはどうだった？,旅行りょこうはどうだった？,junior_high,1,4,4,,4:777,1
How was your weekend?,how was your weekend?,conversation,週末しゅうまつはどうだった？,週末しゅうまつはどうだった？,junior_high,1,4,4,,4:794,1
How's the weather there?,how's the weather there?,conversation,そっちの天気てんきはどう？,そっちの天気てんきはどう？,junior_high,1,4,4,,4:833,1
