expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count,hold_reason
administrative,administrative,word,運営の，管理の,運営の，管理の,exam,3,pre1,pre1;1,形容詞,pre1:1025;1:212,2,pre1_or_1_deferred
administrator,administrator,word,管理者，行政官,管理者，行政官,exam,3,pre1,pre1,名詞,pre1:1408,1,pre1_or_1_deferred
admirable,admirable,word,見事な，立派な,見事な，立派な / 見事な，素晴らしい,exam,3,pre1,pre1;1,形容詞,pre1:1411;1:1506,2,pre1_or_1_deferred
admiral,admiral,word,提督，司令官,提督，司令官,exam,3,pre1,pre1,名詞,pre1:1856,1,pre1_or_1_deferred
admiration,admiration,word,感心，賞賛,感心，賞賛,exam,3,pre1,pre1,名詞,pre1:369,1,pre1_or_1_deferred
admonish,admonish,word,訓戒する，警告する,訓戒する，警告する,exam,3,pre1,pre1;1,動詞,pre1:3090;1:653,2,pre1_or_1_deferred
adolescence,adolescence,word,青春期，思春期,青春期，思春期,exam,3,pre1,pre1,名詞,pre1:2216,1,pre1_or_1_deferred
adoption,adoption,word,採用，受け入れ,採用，受け入れ,exam,3,pre1,pre1;1,名詞,pre1:1598;1:160,2,pre1_or_1_deferred
adorable,adorable,word,愛らしい,愛らしい,exam,3,pre1,pre1,形容詞,pre1:3108,1,pre1_or_1_deferred
adore,adore,word,崇拝する，敬愛する,崇拝する，敬愛する,exam,3,pre1,pre1,動詞,pre1:1568,1,pre1_or_1_deferred
adorn,adorn,word,を飾る,を飾る,exam,3,pre1,pre1,動詞,pre1:1662,1,pre1_or_1_deferred
adornment,adornment,word,装飾品,装飾品,exam,3,pre1,pre1,名詞,pre1:2436,1,pre1_or_1_deferred
adventure,adventure,word,冒険,冒険,exam,3,pre1,pre1,名詞,pre1:82,1,pre1_or_1_deferred
adverb,adverb,word,副詞,副詞,exam,3,pre1,pre1,名詞,pre1:1267,1,pre1_or_1_deferred
adverse,adverse,word,反対の，逆の,反対の，逆の,exam,3,pre1,pre1;1,形容詞,pre1:2023;1:222,2,pre1_or_1_deferred
aerial,aerial,word,大気の，空気の,大気の，空気の,exam,3,pre1,pre1,形容詞,pre1:2337,1,pre1_or_1_deferred
aerospace,aerospace,word,航空宇宙,航空宇宙,exam,3,pre1,pre1,名詞,pre1:1961,1,pre1_or_1_deferred
aesthetic,aesthetic,word,美的な,美的な,exam,3,pre1,pre1,形容詞,pre1:2194,1,pre1_or_1_deferred
afar,afar,word,はるか遠くに,はるか遠くに,exam,3,pre1,pre1,副詞,pre1:2405,1,pre1_or_1_deferred
affectionate,affectionate,word,愛情深い，優しい,愛情深い，優しい,exam,3,pre1,pre1,形容詞,pre1:1950,1,pre1_or_1_deferred
affiliate,affiliate,word,連携させる，合併する,連携させる，合併する,exam,3,pre1,pre1,動詞,pre1:2917,1,pre1_or_1_deferred
affirm,affirm,word,を断言する，明言する,を断言する，明言する,exam,3,pre1,pre1,動詞,pre1:1938,1,pre1_or_1_deferred
affirmative,affirmative,word,断定的な，肯定的な,断定的な，肯定的な,exam,3,pre1,pre1,形容詞,pre1:2006,1,pre1_or_1_deferred
afflict,afflict,word,を苦しめる，悩ます,を苦しめる，悩ます,exam,3,pre1,pre1,動詞,pre1:2030,1,pre1_or_1_deferred
affluent,affluent,word,裕福な，富裕な,裕福な，富裕な,exam,3,pre1,pre1;1,形容詞,pre1:2770;1:376,2,pre1_or_1_deferred
afterward,afterward,word,その後,その後,exam,3,pre1,pre1,副詞,pre1:91,1,pre1_or_1_deferred
aggravate,aggravate,word,悪化させる，劣化させる,悪化させる，劣化させる,exam,3,pre1,pre1;1,動詞,pre1:2905;1:494,2,pre1_or_1_deferred
aging,aging,word,老化,老化,exam,3,pre1,pre1,名詞,pre1:2074,1,pre1_or_1_deferred
agitate,agitate,word,を扇動する，揺り動かす,を扇動する，揺り動かす / かき立てる,exam,3,pre1,pre1;1,動詞,pre1:2800;1:3277,2,pre1_or_1_deferred
agitation,agitation,word,動揺,動揺,exam,3,pre1,pre1,名詞,pre1:2168,1,pre1_or_1_deferred
agonize,agonize,word,苦しむ,苦しむ,exam,3,pre1,pre1,動詞,pre1:2232,1,pre1_or_1_deferred
agony,agony,word,激しい苦痛，苦悶,激しい苦痛，苦悶,exam,3,pre1,pre1,名詞,pre1:799,1,pre1_or_1_deferred
aide,aide,word,助力者,助力者,exam,3,pre1,pre1,名詞,pre1:1472,1,pre1_or_1_deferred
aimless,aimless,word,目的のない,目的のない,exam,3,pre1,pre1,形容詞,pre1:3333,1,pre1_or_1_deferred
akin,akin,word,同族の，血族の,同族の，血族の,exam,3,pre1,pre1,形容詞,pre1:2781,1,pre1_or_1_deferred
algebra,algebra,word,代数,代数,exam,3,pre1,pre1,名詞,pre1:1749,1,pre1_or_1_deferred
alienate,alienate,word,を遠ざける,を遠ざける,exam,3,pre1,pre1,動詞,pre1:2881,1,pre1_or_1_deferred
allegation,allegation,word,主張，申し立て,主張，申し立て,exam,3,pre1,pre1,名詞,pre1:2274,1,pre1_or_1_deferred
allege,allege,word,を申し立てる，主張する,を申し立てる，主張する,exam,3,pre1,pre1,動詞,pre1:1836,1,pre1_or_1_deferred
alleged,alleged,word,容疑のある,容疑のある,exam,3,pre1,pre1,形容詞,pre1:2144,1,pre1_or_1_deferred
allegedly,allegedly,word,申し立てによると，主張によると,申し立てによると，主張によると,exam,3,pre1,pre1;1,副詞,pre1:2170;1:421,2,pre1_or_1_deferred
alleviate,alleviate,word,和らげる，軽減する,和らげる，軽減する,exam,3,pre1,pre1;1,動詞,pre1:3030;1:670,2,pre1_or_1_deferred
alleviated,alleviated,word,軽減された,軽減された,exam,3,pre1,pre1,形容詞,pre1:3233,1,pre1_or_1_deferred
alley,alley,word,路地,路地,exam,3,pre1,pre1,名詞,pre1:1121,1,pre1_or_1_deferred
allied,allied,word,同盟を結んでいる，連携している,同盟を結んでいる，連携している,exam,3,pre1,pre1;1,形容詞,pre1:1943;1:520,2,pre1_or_1_deferred
allocate,allocate,word,割り当てる,割り当てる,exam,3,pre1,pre1,動詞,pre1:3309,1,pre1_or_1_deferred
allocation,allocation,word,割り当て，配置,割り当て，配置,exam,3,pre1,pre1,名詞,pre1:2636,1,pre1_or_1_deferred
allot,allot,word,を割り当てる，充当する,を割り当てる，充当する / 割り当てる,exam,3,pre1,pre1;1,動詞,pre1:2408;1:3409,2,pre1_or_1_deferred
almighty,almighty,word,全能の,全能の,exam,3,pre1,pre1,形容詞,pre1:1259,1,pre1_or_1_deferred
alongside,alongside,word,と一緒に，並行して,と一緒に，並行して,exam,3,pre1,pre1;1,副詞,pre1:1102;1:2,2,pre1_or_1_deferred
aloof,aloof,word,離れて，遠ざかって,離れて，遠ざかって,exam,3,pre1,pre1,副詞,pre1:2569,1,pre1_or_1_deferred
altar,altar,word,祭壇,祭壇,exam,3,pre1,pre1,名詞,pre1:1574,1,pre1_or_1_deferred
alteration,alteration,word,変更,変更,exam,3,pre1,pre1,名詞,pre1:3035,1,pre1_or_1_deferred
alternate,alternate,word,代わりの,代わりの,exam,3,pre1,pre1,形容詞,pre1:3121,1,pre1_or_1_deferred
ambassador,ambassador,word,大使,大使,exam,3,pre1,pre1,名詞,pre1:473,1,pre1_or_1_deferred
ambitious,ambitious,word,野心的な，大志を抱く,野心的な，大志を抱く,exam,3,pre1,pre1;1,形容詞,pre1:376;1:302,2,pre1_or_1_deferred
ameliorate,ameliorate,word,改善する,改善する,exam,3,pre1,pre1,動詞,pre1:3272,1,pre1_or_1_deferred
amend,amend,word,を修正する，改良する,を修正する，改良する,exam,3,pre1,pre1,動詞,pre1:1884,1,pre1_or_1_deferred
amiable,amiable,word,愛想が良い，感じが良い,愛想が良い，感じが良い,exam,3,pre1,pre1,形容詞,pre1:2477,1,pre1_or_1_deferred
amicable,amicable,word,友好的な,友好的な,exam,3,pre1,pre1,形容詞,pre1:3049,1,pre1_or_1_deferred
amid,amid,word,真ん中に，の中に,真ん中に，の中に,exam,3,pre1,pre1,前置詞,pre1:2052,1,pre1_or_1_deferred
ammunition,ammunition,word,弾薬,弾薬,exam,3,pre1,pre1,名詞,pre1:3101,1,pre1_or_1_deferred
amnesty,amnesty,word,恩赦,恩赦,exam,3,pre1,pre1,名詞,pre1:3319,1,pre1_or_1_deferred
ample,ample,word,広大な，広い,広大な，広い,exam,3,pre1,pre1,形容詞,pre1:1039,1,pre1_or_1_deferred
amplify,amplify,word,を拡大する，増大する,を拡大する，増大する,exam,3,pre1,pre1,動詞,pre1:2631,1,pre1_or_1_deferred
analogous,analogous,word,類似している,類似している / 類似の，似ている,exam,3,pre1,pre1;1,形容詞,pre1:2407;1:1275,2,pre1_or_1_deferred
analogy,analogy,word,類似,類似,exam,3,pre1,pre1,名詞,pre1:2259,1,pre1_or_1_deferred
anarchy,anarchy,word,無秩序，無政府状態,無秩序，無政府状態 / 無秩序，混沌,exam,3,pre1,pre1;1,名詞,pre1:2829;1:1829,2,pre1_or_1_deferred
anatomy,anatomy,word,解剖学,解剖学,exam,3,pre1,pre1,名詞,pre1:2110,1,pre1_or_1_deferred
anecdote,anecdote,word,逸話,逸話,exam,3,pre1,pre1,名詞,pre1:2476,1,pre1_or_1_deferred
anguish,anguish,word,苦悩，苦悶,苦悩，苦悶,exam,3,pre1,pre1,名詞,pre1:1962,1,pre1_or_1_deferred
annotation,annotation,word,注釈,注釈,exam,3,pre1,pre1;1,名詞,pre1:3391;1:3271,2,pre1_or_1_deferred
anonymous,anonymous,word,匿名の，不明の,匿名の，不明の,exam,3,pre1,pre1,形容詞,pre1:1676,1,pre1_or_1_deferred
anthem,anthem,word,賛歌，賛美歌,賛歌，賛美歌,exam,3,pre1,pre1;1,名詞,pre1:3069;1:1901,2,pre1_or_1_deferred
anticipate,anticipate,word,を期待する，予想する,を期待する，予想する,exam,3,pre1,pre1,動詞,pre1:602,1,pre1_or_1_deferred
anticipation,anticipation,word,期待，予想,期待，予想,exam,3,pre1,pre1,名詞,pre1:927,1,pre1_or_1_deferred
antique,antique,word,骨董の，古風な,骨董の，古風な,exam,3,pre1,pre1,形容詞,pre1:407,1,pre1_or_1_deferred
anyhow,anyhow,word,どうしても，なんとしても,どうしても，なんとしても,exam,3,pre1,pre1,副詞,pre1:234,1,pre1_or_1_deferred
apathy,apathy,word,無関心，無感動,無関心，無感動 / 無関心,exam,3,pre1,pre1;1,名詞,pre1:2423;1:3238,2,pre1_or_1_deferred
ape,ape,word,類人猿，大猿,類人猿，大猿,exam,3,pre1,pre1;1,名詞,pre1:1354;1:174,2,pre1_or_1_deferred
apiece,apiece,word,各自で,各自で / 一つに付き,exam,3,pre1,pre1;1,副詞,pre1:2888;1:2252,2,pre1_or_1_deferred
apparatus,apparatus,word,器具，装置,器具，装置,exam,3,pre1,pre1,名詞,pre1:853,1,pre1_or_1_deferred
appetizer,appetizer,word,前菜,前菜,exam,3,pre1,pre1,名詞,pre1:1706,1,pre1_or_1_deferred
applaud,applaud,word,拍手する,拍手する,exam,3,pre1,pre1,動詞,pre1:1176,1,pre1_or_1_deferred
appliance,appliance,word,家電，電化製品,家電，電化製品,exam,3,pre1,pre1,名詞,pre1:3243,1,pre1_or_1_deferred
applicable,applicable,word,該当する,該当する,exam,3,pre1,pre1,形容詞,pre1:1736,1,pre1_or_1_deferred
appreciation,appreciation,word,感謝，称賛,感謝，称賛,exam,3,pre1,pre1;1,名詞,pre1:558;1:112,2,pre1_or_1_deferred
apprehend,apprehend,word,を逮捕する,を逮捕する / 捕らえる，捕獲する,exam,3,pre1,pre1;1,動詞,pre1:2911;1:1344,2,pre1_or_1_deferred
apprehension,apprehension,word,気遣い、不安、配慮や心配,気遣い、不安、配慮や心配 / 気遣い，不安，配慮や心配,exam,3,pre1,pre1;1,名詞,pre1:3240;1:1691,2,pre1_or_1_deferred
apprentice,apprentice,word,見習い,見習い,exam,3,pre1,pre1,名詞,pre1:1756,1,pre1_or_1_deferred
approximate,approximate,word,およその,およその,exam,3,pre1,pre1,形容詞,pre1:1790,1,pre1_or_1_deferred
aptitude,aptitude,word,素質，才能,素質，才能 / 適性,exam,3,pre1,pre1;1,名詞,pre1:2398;1:3384,2,pre1_or_1_deferred
aquatic,aquatic,word,水生の，水の,水生の，水の / 水生の，水中の,exam,3,pre1,pre1;1,形容詞,pre1:2534;1:602,2,pre1_or_1_deferred
arc,arc,word,円弧，孤,円弧，孤,exam,3,pre1,pre1,名詞,pre1:460,1,pre1_or_1_deferred
archaeological,archaeological,word,考古学の，古典的な,考古学の，古典的な / 考古学の,exam,3,pre1,pre1;1,形容詞,pre1:186;1:11,2,pre1_or_1_deferred
archaic,archaic,word,古風な，すたれた,古風な，すたれた,exam,3,pre1,pre1,形容詞,pre1:2250,1,pre1_or_1_deferred
architectural,architectural,word,建築の,建築の,exam,3,pre1,pre1,形容詞,pre1:1140,1,pre1_or_1_deferred
archive,archive,word,書庫，保存場所,書庫，保存場所,exam,3,pre1,pre1,名詞,pre1:3335,1,pre1_or_1_deferred
arduous,arduous,word,骨の折れる，困難な,骨の折れる，困難な,exam,3,pre1,pre1;1,形容詞,pre1:3216;1:743,2,pre1_or_1_deferred
arena,arena,word,舞台，闘技場,舞台，闘技場,exam,3,pre1,pre1,名詞,pre1:505,1,pre1_or_1_deferred
aristocrat,aristocrat,word,貴族,貴族,exam,3,pre1,pre1,名詞,pre1:3166,1,pre1_or_1_deferred
aristocratic,aristocratic,word,貴族の,貴族の,exam,3,pre1,pre1,形容詞,pre1:2145,1,pre1_or_1_deferred
arithmetic,arithmetic,word,算数,算数 / 算数，算術，計算,exam,3,pre1,pre1;1,名詞,pre1:716;1:1932,2,pre1_or_1_deferred
armament,armament,word,武装,武装,exam,3,pre1,pre1,名詞,pre1:3179,1,pre1_or_1_deferred
arouse,arouse,word,を起こす，喚起する,を起こす，喚起する,exam,3,pre1,pre1,動詞,pre1:1656,1,pre1_or_1_deferred
array,array,word,整列させる，並べる,整列させる，並べる,exam,3,pre1,pre1;1,動詞,pre1:2111;1:252,2,pre1_or_1_deferred
arrogance,arrogance,word,傲慢,傲慢,exam,3,pre1,pre1,名詞,pre1:2330,1,pre1_or_1_deferred
articulate,articulate,word,明確にする,明確にする,exam,3,pre1,pre1,動詞,pre1:2955,1,pre1_or_1_deferred
artifact,artifact,word,遺物，工芸品,遺物，工芸品,exam,3,pre1,pre1,名詞,pre1:3344,1,pre1_or_1_deferred
artisan,artisan,word,職人,職人,exam,3,pre1,pre1,名詞,pre1:2175,1,pre1_or_1_deferred
ascent,ascent,word,上昇,上昇 / 上昇，昇格,exam,3,pre1,pre1;1,名詞,pre1:1325;1:1817,2,pre1_or_1_deferred
ascertain,ascertain,word,を確かめる,を確かめる,exam,3,pre1,pre1,動詞,pre1:2289,1,pre1_or_1_deferred
ascribe,ascribe,word,のせいにする，責任を転嫁する,のせいにする，責任を転嫁する,exam,3,pre1,pre1;1,動詞,pre1:3091;1:1291,2,pre1_or_1_deferred
ashtray,ashtray,word,灰皿,灰皿,exam,3,pre1,pre1,名詞,pre1:361,1,pre1_or_1_deferred
aspire,aspire,word,熱望する，憧れる,熱望する，憧れる,exam,3,pre1,pre1,動詞,pre1:2047,1,pre1_or_1_deferred
assassin,assassin,word,暗殺者，刺客,暗殺者，刺客,exam,3,pre1,pre1,名詞,pre1:2682,1,pre1_or_1_deferred
assassinate,assassinate,word,を暗殺する,を暗殺する,exam,3,pre1,pre1,動詞,pre1:2240,1,pre1_or_1_deferred
assert,assert,word,主張する，主意を表す,主張する，主意を表す,exam,3,pre1,pre1;1,動詞,pre1:289;1:426,2,pre1_or_1_deferred
assertive,assertive,word,断定的な,断定的な,exam,3,pre1,pre1;1,形容詞,pre1:2588;1:3077,2,pre1_or_1_deferred
assimilate,assimilate,word,吸収する，同化する，取り込む,吸収する，同化する，取り込む,exam,3,pre1,pre1;1,動詞,pre1:2454;1:537,2,pre1_or_1_deferred
assorted,assorted,word,盛り合わせの,盛り合わせの,exam,3,pre1,pre1,形容詞,pre1:2260,1,pre1_or_1_deferred
assurance,assurance,word,保証，請け合い,保証，請け合い,exam,3,pre1,pre1,名詞,pre1:894,1,pre1_or_1_deferred
asteroid,asteroid,word,小惑星,小惑星 / 小惑星，アステロイド,exam,3,pre1,pre1;1,名詞,pre1:3262;1:1034,2,pre1_or_1_deferred
astray,astray,word,道に迷って,道に迷って,exam,3,pre1,pre1,副詞,pre1:2554,1,pre1_or_1_deferred
astronomer,astronomer,word,天文学者,天文学者,exam,3,pre1,pre1,名詞,pre1:1019,1,pre1_or_1_deferred
astronomy,astronomy,word,天文学,天文学,exam,3,pre1,pre1,名詞,pre1:1382,1,pre1_or_1_deferred
athletic,athletic,word,競技の，運動家の,競技の，運動家の,exam,3,pre1,pre1,形容詞,pre1:445,1,pre1_or_1_deferred
atlas,atlas,word,地図帳,地図帳,exam,3,pre1,pre1,名詞,pre1:165,1,pre1_or_1_deferred
atom,atom,word,原子，微小分子,原子，微小分子,exam,3,pre1,pre1,名詞,pre1:156,1,pre1_or_1_deferred
atop,atop,word,頂上に，の上に,頂上に，の上に,exam,3,pre1,pre1,副詞,pre1:2983,1,pre1_or_1_deferred
attain,attain,word,を達成する，獲得する,を達成する，獲得する,exam,3,pre1,pre1,動詞,pre1:508,1,pre1_or_1_deferred
attainment,attainment,word,達成，到達,達成，到達,exam,3,pre1,pre1,名詞,pre1:2266,1,pre1_or_1_deferred
attendance,attendance,word,出席，参列,出席，参列,exam,3,pre1,pre1,名詞,pre1:976,1,pre1_or_1_deferred
attendant,attendant,word,付き添い，付随,付き添い，付随,exam,3,pre1,pre1,名詞,pre1:679,1,pre1_or_1_deferred
attentive,attentive,word,注意深い,注意深い,exam,3,pre1,pre1;1,形容詞,pre1:1002;1:2070,2,pre1_or_1_deferred
attest,attest,word,を証明する,を証明する,exam,3,pre1,pre1,動詞,pre1:2900,1,pre1_or_1_deferred
attic,attic,word,屋根裏,屋根裏,exam,3,pre1,pre1,名詞,pre1:2010,1,pre1_or_1_deferred
audacity,audacity,word,大胆さ,大胆さ,exam,3,pre1,pre1;1,名詞,pre1:3280;1:3258,2,pre1_or_1_deferred
audible,audible,word,聞くことのできる,聞くことのできる,exam,3,pre1,pre1,形容詞,pre1:3185,1,pre1_or_1_deferred
audit,audit,word,監査，会計検査,監査，会計検査,exam,3,pre1,pre1,名詞,pre1:2092,1,pre1_or_1_deferred
auditor,auditor,word,監査人,監査人,exam,3,pre1,pre1,名詞,pre1:3114,1,pre1_or_1_deferred
auditorium,auditorium,word,講堂,講堂,exam,3,pre1,pre1,名詞,pre1:3373,1,pre1_or_1_deferred
austere,austere,word,厳格な、厳重な,厳格な、厳重な / 厳格な，厳重な,exam,3,pre1,pre1;1,形容詞,pre1:3223;1:1391,2,pre1_or_1_deferred
authentic,authentic,word,本物の，信頼できる,本物の，信頼できる,exam,3,pre1,pre1,形容詞,pre1:2082,1,pre1_or_1_deferred
authorize,authorize,word,許可する,許可する,exam,3,pre1,pre1,動詞,pre1:1215,1,pre1_or_1_deferred
autograph,autograph,word,署名，サイン,署名，サイン,exam,3,pre1,pre1,名詞,pre1:3213,1,pre1_or_1_deferred
autonomy,autonomy,word,自治，自主性,自治，自主性,exam,3,pre1,pre1,名詞,pre1:2135,1,pre1_or_1_deferred
avail,avail,word,利用する,利用する,exam,3,pre1,pre1,動詞,pre1:1765,1,pre1_or_1_deferred
availability,availability,word,可用性，利用可能性,可用性，利用可能性,exam,3,pre1,pre1;1,名詞,pre1:2993;1:316,2,pre1_or_1_deferred
avalanche,avalanche,word,雪崩,雪崩,exam,3,pre1,pre1,名詞,pre1:2834,1,pre1_or_1_deferred
avert,avert,word,を逸らす，避ける,を逸らす，避ける,exam,3,pre1,pre1,動詞,pre1:2745,1,pre1_or_1_deferred
aviation,aviation,word,航空，飛行,航空，飛行,exam,3,pre1,pre1,名詞,pre1:2304,1,pre1_or_1_deferred
await,await,word,を待つ,を待つ,exam,3,pre1,pre1,動詞,pre1:327,1,pre1_or_1_deferred
awfully,awfully,word,ひどく，恐ろしく,ひどく，恐ろしく,exam,3,pre1,pre1,副詞,pre1:387,1,pre1_or_1_deferred
axis,axis,word,軸,軸,exam,3,pre1,pre1,名詞,pre1:3065,1,pre1_or_1_deferred
bachelor,bachelor,word,独身男性，未婚男性,独身男性，未婚男性,exam,3,pre1,pre1,名詞,pre1:1944,1,pre1_or_1_deferred
backyard,backyard,word,裏庭,裏庭,exam,3,pre1,pre1,名詞,pre1:132,1,pre1_or_1_deferred
bacteria,bacteria,word,細菌,細菌,exam,3,pre1,pre1,名詞,pre1:1351,1,pre1_or_1_deferred
baggage,baggage,word,荷物，手荷物,荷物，手荷物,exam,3,pre1,pre1,名詞,pre1:210,1,pre1_or_1_deferred
bail,bail,word,保釈，保釈金,保釈，保釈金,exam,3,pre1,pre1,名詞,pre1:2212,1,pre1_or_1_deferred
bait,bait,word,えさ,えさ,exam,3,pre1,pre1,名詞,pre1:1745,1,pre1_or_1_deferred
bald,bald,word,禿げた,禿げた,exam,3,pre1,pre1,形容詞,pre1:1197,1,pre1_or_1_deferred
ballot,ballot,word,投票用紙，選挙票,投票用紙，選挙票,exam,3,pre1,pre1;1,名詞,pre1:1699;1:491,2,pre1_or_1_deferred
bandage,bandage,word,包帯，絆創膏，ガーゼ,包帯，絆創膏，ガーゼ,exam,3,pre1,pre1;1,名詞,pre1:90;1:370,2,pre1_or_1_deferred
banish,banish,word,を流刑にする，追放する,を流刑にする，追放する,exam,3,pre1,pre1,動詞,pre1:1228,1,pre1_or_1_deferred
bankrupt,bankrupt,word,破産,破産,exam,3,pre1,pre1,形容詞,pre1:3352,1,pre1_or_1_deferred
barbarian,barbarian,word,野蛮人，未開の人々,野蛮人，未開の人々,exam,3,pre1,pre1,名詞,pre1:1809,1,pre1_or_1_deferred
bark,bark,word,吠える/木の皮,吠える/木の皮,exam,3,pre1,pre1,動詞/名詞,pre1:13,1,pre1_or_1_deferred
barn,barn,word,物置，納屋,物置，納屋,exam,3,pre1,pre1,名詞,pre1:774,1,pre1_or_1_deferred
baron,baron,word,男爵,男爵,exam,3,pre1,pre1,名詞,pre1:1999,1,pre1_or_1_deferred
barrel,barrel,word,樽,樽,exam,3,pre1,pre1,名詞,pre1:3093,1,pre1_or_1_deferred
barren,barren,word,実を結ばない，結果を出さない,実を結ばない，結果を出さない,exam,3,pre1,pre1;1,形容詞,pre1:2027;1:322,2,pre1_or_1_deferred
barter,barter,word,物々交換する,物々交換する,exam,3,pre1,pre1,動詞,pre1:2568,1,pre1_or_1_deferred
