action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2,center_word_original,center_pos,center_pmw,review_reason
add,1427,taipei,taipei,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,Taipei,NP,50+,pos_review;proper_noun
add,1437,africa,africa,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,Africa,NP,50+,pos_review;proper_noun
add,1446,camper,camper,adjective,comparative,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJR; center_pmw=50+,camper,JJR,50+,pos_review
add,1461,gnp,gnp,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,GNP,NP,50+,pos_review;acronym;proper_noun
add,1474,lohas,lohas,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,LOHAS,NP,50+,pos_review;acronym;proper_noun
add,1505,whenever,whenever,pronoun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=WRB; center_pmw=50+,whenever,WRB,50+,pos_review
add,1518,bore,bore,verb,past,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVD; center_pmw=50+,bore,VVD,50+,pos_review
add,1533,denmark,denmark,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,Denmark,NP,50+,pos_review;proper_noun
add,1601,asian,asian,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=50+,Asian,JJ,50+,proper_noun
add,1610,beat,beat,verb,past,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVD; center_pmw=50+,beat,VVD,50+,pos_review
add,1615,cd,cd,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=50+,CD,NN,50+,acronym
add,1703,california,california,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,California,NP,50+,pos_review;proper_noun
add,1718,dried,dried,verb,past,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVD; center_pmw=50+,dried,VVD,50+,pos_review
add,1733,hanging,hanging,verb,present_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=50+,hanging,VVG,50+,pos_review
add,1773,russia,russia,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,Russia,NP,50+,pos_review;proper_noun
add,1780,spanish,spanish,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=50+,Spanish,JJ,50+,proper_noun
add,1813,brazilian,brazilian,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=50+,Brazilian,JJ,50+,proper_noun
add,1876,mexico,mexico,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,Mexico,NP,50+,pos_review;proper_noun
add,1898,roman,roman,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,Roman,NP,50+,pos_review;proper_noun
add,1927,van,van,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=50+,van,NP,50+,pos_review;proper_noun
add,1939,african,african,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,African,JJ,10+,proper_noun
add,1954,canadian,canadian,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Canadian,JJ,10+,proper_noun
add,1983,greek,greek,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Greek,JJ,10+,proper_noun
add,1999,korea,korea,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Korea,NP,10+,pos_review;proper_noun
add,2011,norway,norway,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Norway,NP,10+,pos_review;proper_noun
add,2016,pe,pe,,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=; center_pmw=10+,PE,,10+,pos_review;acronym;unknown_pos
add,2049,sydney,sydney,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Sydney,NP,10+,pos_review;proper_noun
add,2079,bacteria,bacteria,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,bacteria,NNS,10+,pos_review
add,2091,café,café,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=10+,café,NN,10+,multiword_or_symbol
add,2108,costa (rica),costa (rica),,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=; center_pmw=10+,Costa (Rica),,10+,pos_review;multiword_or_symbol;proper_noun;unknown_pos
add,2143,italian,italian,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Italian,JJ,10+,proper_noun
add,2144,jay,jay,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Jay,NP,10+,pos_review;proper_noun
add,2153,los (angels),los (angels),,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=; center_pmw=10+,Los (Angels),,10+,pos_review;multiword_or_symbol;proper_noun;unknown_pos
add,2154,los angeles,los angeles,,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=; center_pmw=10+,Los Angeles,,10+,pos_review;multiword_or_symbol;proper_noun;unknown_pos
add,2161,new zealand,new zealand,,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=; center_pmw=10+,New Zealand,,10+,pos_review;multiword_or_symbol;proper_noun;unknown_pos
add,2198,rome,rome,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Rome,NP,10+,pos_review;proper_noun
add,2271,cleaner,cleaner,adjective,comparative,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJR; center_pmw=10+,cleaner,JJR,10+,pos_review
add,2299,eu,eu,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,EU,NP,10+,pos_review;acronym;proper_noun
add,2323,jordan,jordan,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Jordan,NP,10+,pos_review;proper_noun
add,2334,media,media,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,media,NNS,10+,pos_review
add,2336,mexican,mexican,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Mexican,JJ,10+,proper_noun
add,2339,mp3,mp3,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,MP3,NP,10+,pos_review;acronym;proper_noun
add,2362,pro,pro,,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=FW; center_pmw=10+,pro,FW,10+,pos_review;unknown_pos
add,2368,quit,quit,verb,past,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVD; center_pmw=10+,quit,VVD,10+,pos_review
add,2384,russian,russian,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Russian,NP,10+,pos_review;proper_noun
add,2447,belonging,belonging,verb,present_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=10+,belonging,VVG,10+,pos_review
add,2456,carbonated,carbonated,verb,past,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVD; center_pmw=10+,carbonated,VVD,10+,pos_review
add,2503,false,false,,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=; center_pmw=10+,false,,10+,pos_review;unknown_pos
add,2529,indonesian,indonesian,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Indonesian,JJ,10+,proper_noun
add,2602,scotland,scotland,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Scotland,NP,10+,pos_review;proper_noun
add,2611,shut,shut,verb,past,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVD; center_pmw=10+,shut,VVD,10+,pos_review
add,2628,sweden,sweden,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Sweden,NP,10+,pos_review;proper_noun
add,2658,atlantic,atlantic,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Atlantic,NP,10+,pos_review;proper_noun
add,2694,com（アドレス）,com（アドレス）,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=10+,com（アドレス）,NN,10+,multiword_or_symbol
add,2723,dove,dove,verb,past,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVD; center_pmw=10+,dove,VVD,10+,pos_review
add,2729,elder,elder,adjective,comparative,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJR; center_pmw=10+,elder,JJR,10+,pos_review
add,2731,electronics,electronics,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,electronics,NNS,10+,pos_review
add,2755,foreigner,foreigner,adjective,comparative,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJR; center_pmw=10+,foreigner,JJR,10+,pos_review
add,2768,gps,gps,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,GPS,NP,10+,pos_review;acronym;proper_noun
add,2807,kimchi,kimchi,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,kimchi,NNS,10+,pos_review
add,2810,latin,latin,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Latin,NP,10+,pos_review;proper_noun
add,2820,mathematics,mathematics,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,mathematics,NNS,10+,pos_review
add,2822,nasa,nasa,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,NASA,NP,10+,pos_review;acronym;proper_noun
add,2830,norwegian,norwegian,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Norwegian,JJ,10+,proper_noun
add,2838,partícular,partícular,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,partícular,JJ,10+,multiword_or_symbol
add,2849,polítical,polítical,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,polítical,JJ,10+,multiword_or_symbol
add,2851,portuguese,portuguese,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Portuguese,JJ,10+,proper_noun
add,2896,striped,striped,verb,past_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVN; center_pmw=10+,striped,VVN,10+,pos_review
add,2898,sudanese,sudanese,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,Sudanese,NNS,10+,pos_review;proper_noun
add,2918,trinidad,trinidad,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Trinidad,NP,10+,pos_review;proper_noun
add,2923,un,un,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,UN,NP,10+,pos_review;acronym;proper_noun
add,2937,ｗashington,ｗashington,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=10+,Ｗashington,NN,10+,multiword_or_symbol
add,3002,cattle,cattle,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,cattle,NNS,10+,pos_review
add,3025,congratulations,congratulations,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,congratulations,NNS,10+,pos_review
add,3031,cooler,cooler,adjective,comparative,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJR; center_pmw=10+,cooler,JJR,10+,pos_review
add,3039,crossing,crossing,verb,present_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=10+,crossing,VVG,10+,pos_review
add,3092,gdp,gdp,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,GDP,NP,10+,pos_review;acronym;proper_noun
add,3096,goldfish,goldfish,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,goldfish,NNS,10+,pos_review
add,3133,interpol,interpol,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Interpol,NP,10+,pos_review;proper_noun
add,3142,lebanese,lebanese,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Lebanese,JJ,10+,proper_noun
add,3169,mt,mt,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Mt,NP,10+,pos_review;proper_noun
add,3170,multi,multi,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,multi,NP,10+,pos_review;proper_noun
add,3175,netherlands,netherlands,,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NPS; center_pmw=10+,Netherlands,NPS,10+,pos_review;proper_noun;unknown_pos
add,3203,physics,physics,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,physics,NNS,10+,pos_review
add,3211,poland,poland,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Poland,NP,10+,pos_review;proper_noun
add,3260,savings,savings,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,savings,NNS,10+,pos_review
add,3264,scottish,scottish,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Scottish,NP,10+,pos_review;proper_noun
add,3287,somalia,somalia,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Somalia,NP,10+,pos_review;proper_noun
add,3296,squirrel,squirrel,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,squirrel,NNS,10+,pos_review
add,3368,wound,wound,verb,past,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVD; center_pmw=10+,wound,VVD,10+,pos_review
add,3384,afghanistan,afghanistan,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Afghanistan,NP,10+,pos_review;proper_noun
add,3392,apache,apache,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Apache,NP,10+,pos_review;proper_noun
add,3402,australian,australian,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Australian,JJ,10+,proper_noun
add,3416,beijing,beijing,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,beijing,NP,10+,pos_review;proper_noun
add,3509,dropping,dropping,verb,present_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=10+,dropping,VVG,10+,pos_review
add,3512,dying,dying,verb,present_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=10+,dying,VVG,10+,pos_review
add,3514,economics,economics,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,economics,NNS,10+,pos_review
add,3519,egyptian,egyptian,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Egyptian,JJ,10+,proper_noun
add,3561,filling,filling,verb,present_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=10+,filling,VVG,10+,pos_review
add,3605,greece,greece,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Greece,NP,10+,pos_review;proper_noun
add,3624,hong (kong),hong (kong),,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=; center_pmw=10+,Hong (Kong),,10+,pos_review;multiword_or_symbol;proper_noun;unknown_pos
add,3633,id,id,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=10+,ID,NN,10+,acronym
add,3644,indonesia,indonesia,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Indonesia,NP,10+,pos_review;proper_noun
add,3665,ireland,ireland,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Ireland,NP,10+,pos_review;proper_noun
add,3669,jupiter,jupiter,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Jupiter,NP,10+,pos_review;proper_noun
add,3685,lebanon,lebanon,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Lebanon,NP,10+,pos_review;proper_noun
add,3686,lee,lee,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Lee,NP,10+,pos_review;proper_noun
add,3709,mediterranean,mediterranean,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Mediterranean,NP,10+,pos_review;proper_noun
add,3750,oecd,oecd,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,oecd,NNS,10+,pos_review
add,3752,okonomiyaki,okonomiyaki,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,okonomiyaki,NP,10+,pos_review;proper_noun
add,3783,persia,persia,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Persia,NP,10+,pos_review;proper_noun
add,3794,politics,politics,noun,plural,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=10+,politics,NNS,10+,pos_review
add,3800,precivilized,precivilized,verb,past_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVN; center_pmw=10+,precivilized,VVN,10+,pos_review
add,3872,senegal,senegal,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Senegal,NP,10+,pos_review;proper_noun
add,3879,setting,setting,verb,present_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=10+,setting,VVG,10+,pos_review
add,3916,status,status,,,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=FW; center_pmw=10+,status,FW,10+,pos_review;unknown_pos
add,3927,sudan,sudan,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Sudan,NP,10+,pos_review;proper_noun
add,3937,swiss,swiss,adjective,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=10+,Swiss,JJ,10+,proper_noun
add,3941,teddy (bear),teddy (bear),noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=10+,teddy (bear),NN,10+,multiword_or_symbol
add,3947,thai,thai,noun,base,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NP; center_pmw=10+,Thai,NP,10+,pos_review;proper_noun
add,4003,webbed,webbed,verb,past_participle,1,,exam,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVN; center_pmw=10+,webbed,VVN,10+,pos_review
