word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks,master_status
comedy,junior_high,喜劇,喜劇,junior_word_list;high_word_list,834;722;1225,missing
conference,junior_high,会議,会議,junior_word_list;high_word_list,838;529,missing
connect,junior_high,を結びつける,つなげる,junior_word_list;high_word_list,839;1351;961;1464,missing
consumer,junior_high,消費者,消費者,junior_word_list;high_word_list,1352;286,missing
contact,junior_high,接触,,junior_word_list,840;1353,missing
could you?,junior_high,してくださいませんか？,,junior_word_list,845,missing
countryside,junior_high,田舎,,junior_word_list,1359,missing
creative,junior_high,創造力のある,創造的な,junior_word_list;high_word_list,1364;1029;1532,missing
cultural,junior_high,文化の,,junior_word_list,849,missing
curious,junior_high,好奇心の強い,好奇心が強い,junior_word_list;high_word_list,1367;1178;1681,missing
custom-made,junior_high,注文で作った,,junior_word_list,1369,missing
dam,junior_high,ダム,,junior_word_list,1372,missing
dead,junior_high,死んだ,,junior_word_list,1376,missing
debate,junior_high,討論,討論,junior_word_list;high_word_list,1378;544,missing
decide to,junior_high,しようと決心する,,junior_word_list,1379,missing
definitely,junior_high,もちろん，確かに,絶対に,junior_word_list;high_word_list,1381;420,missing
delivery,junior_high,配達,郵送,junior_word_list;high_word_list,857;746;1249,missing
depend on,junior_high,に頼る,,junior_word_list,1383,missing
die out,junior_high,絶滅する,,junior_word_list,1390,missing
dinosaur,junior_high,恐竜,,junior_word_list,861,missing
disabled,junior_high,体の不自由な,,junior_word_list,863,missing
disagree,junior_high,意見が合わない,反対する,junior_word_list;high_word_list,1392;2046;2386,missing
disappear,junior_high,姿を消す、消滅する,消える,junior_word_list;high_word_list,864;84,missing
disaster,junior_high,災害,災害,junior_word_list;high_word_list,1393;552,missing
discrimination,junior_high,差別,,junior_word_list,1395,missing
do one's best,junior_high,最善をつくす,,junior_word_list,58,missing
do well,junior_high,元気になる,,junior_word_list,1224,missing
domestic,junior_high,国内の,国内の,junior_word_list;high_word_list,1399;821;1324,missing
don't have to,junior_high,しなくてよい,,junior_word_list,948,missing
donate,junior_high,を寄付する,,junior_word_list,1400,missing
drop out,junior_high,中退する,,junior_word_list,1405,missing
each other,junior_high,お互いに,,junior_word_list,144,missing
earthquake,junior_high,地震,,junior_word_list,1407,missing
eat out,junior_high,外食する,,junior_word_list,1408,missing
ecosystem,junior_high,生態系,,junior_word_list,1409,missing
effective,junior_high,効果的な,効果的な,junior_word_list;high_word_list,1410;1030;1533,missing
effectively,junior_high,効果的に,効果的に,junior_word_list;high_word_list,875;1999;2339,missing
electricity,junior_high,電力,,junior_word_list,1411,missing
electronic,junior_high,電子の,電子,junior_word_list;high_word_list,1412;197,missing
electronic device,junior_high,電子機器,,junior_word_list,1413,missing
elementary school,junior_high,小学校,,junior_word_list,155,missing
emergency,junior_high,緊急事態,緊急の,junior_word_list;high_word_list,1415;92,missing
employee,junior_high,従業員,従業員,junior_word_list;high_word_list,1416;773;1276,missing
encourage to ～,junior_high,に～するように促す,,junior_word_list,1418,missing
endangered,junior_high,絶滅の危機にさらされている,,junior_word_list,1419,missing
ending,junior_high,終わり，結末,,junior_word_list,1420,missing
envelope,junior_high,封筒,,junior_word_list,881,missing
era,junior_high,時代,時代,junior_word_list;high_word_list,1424;1799;2139,missing
establish,junior_high,を設立する,設立する,junior_word_list;high_word_list,1425;247,missing
evacuation,junior_high,避難,,junior_word_list,1426,missing
evacuation drill,junior_high,避難訓練,,junior_word_list,1427,missing
even if,junior_high,たとえ～だとしても,,junior_word_list,1428,missing
eventually,junior_high,最後には,結局は,junior_word_list;high_word_list,884;343,missing
every year,junior_high,毎年,,junior_word_list,1432,missing
exception,junior_high,例外,例外,junior_word_list;high_word_list,1434;1728;2068,missing
exhibition,junior_high,展示,展示,junior_word_list;high_word_list,889;199,missing
extend,junior_high,を広げる,延びる,junior_word_list;high_word_list,1438;801;1304,missing
extinction,junior_high,絶滅,絶滅,junior_word_list;high_word_list,1439;1771;2111,missing
extinguisher,junior_high,消火器,,junior_word_list,1440,missing
facility,junior_high,施設、設備,施設,junior_word_list;high_word_list,894;1802;2142,missing
fall down,junior_high,倒れる,,junior_word_list,172,missing
fantastic,junior_high,すばらしい,,junior_word_list,1443,missing
feather,junior_high,羽,,junior_word_list,1447,missing
feature,junior_high,特色,特徴,junior_word_list;high_word_list,899;184,missing
feedback,junior_high,意見,,junior_word_list,900,missing
feel free to,junior_high,遠慮なくする,,junior_word_list,1448,missing
feel like ~ing,junior_high,したい気がする,,junior_word_list,901,missing
fever,junior_high,熱,,junior_word_list,183,missing
fiction,junior_high,小説,,junior_word_list,904,missing
flour,junior_high,小麦粉,,junior_word_list,909,missing
fold,junior_high,を折る，折りたたむ,折りたたむ,junior_word_list;high_word_list,1462;2052;2392,missing
follower,junior_high,支持者,,junior_word_list,1463,missing
for example,junior_high,例えば,,junior_word_list,888,missing
for now,junior_high,今のところは,,junior_word_list,1061,missing
for one thing,junior_high,1つには,,junior_word_list,1068,missing
for sale,junior_high,売り物の,,junior_word_list,1139,missing
forth,junior_high,前へ,,junior_word_list,1466,missing
fortunately,junior_high,幸運にも,,junior_word_list,1467,missing
fossil,junior_high,化石,,junior_word_list,916,missing
fossil fuel,junior_high,化石燃料,,junior_word_list,1468,missing
freedom,junior_high,自由,,junior_word_list,920,missing
freely,junior_high,自由に,,junior_word_list,1471,missing
from abroad,junior_high,外国から,,junior_word_list,728,missing
functional,junior_high,実用的な,,junior_word_list,1475,missing
garage,junior_high,車庫,,junior_word_list,1476,missing
gather,junior_high,を集める,集める,junior_word_list;high_word_list,927;294,missing
get fired,junior_high,解雇される,,junior_word_list,1480,missing
get out,junior_high,外へ出る,,junior_word_list,1481,missing
get over,junior_high,を乗りこえる,,junior_word_list,1482,missing
glacier,junior_high,氷河,,junior_word_list,930,missing
go back,junior_high,帰る，戻る,,junior_word_list,1485,missing
go by,junior_high,通り過ぎる,,junior_word_list,934,missing
go on,junior_high,する，始める,,junior_word_list,1486;1487,missing
go out,junior_high,外出する,,junior_word_list,933,missing
go through,junior_high,人生を送る,,junior_word_list,1488,missing
graduate,junior_high,卒業する,卒業する,junior_word_list;high_word_list,1492;984;1487,missing
graduation,junior_high,卒業,,junior_word_list,1493,missing
grand,junior_high,壮大な,壮大な,junior_word_list;high_word_list,935;1893;2233,missing
growth,junior_high,増加,,junior_word_list,1496,missing
hand out,junior_high,を配る,,junior_word_list,1500,missing
has to,junior_high,しなければならない,,junior_word_list,946,missing
have to,junior_high,しなければならない,,junior_word_list,947,missing
headache,junior_high,頭痛,,junior_word_list,244,missing
hear of,junior_high,について聞く,,junior_word_list,951,missing
helpful,junior_high,役に立つ,,junior_word_list,955,missing
heritage,junior_high,遺産,遺産,junior_word_list;high_word_list,956;718,missing
high school,junior_high,高校,,junior_word_list,1511,missing
hope to,junior_high,したいと願う,,junior_word_list,1516,missing
hopeful,junior_high,希望を持っている,,junior_word_list,1517,missing
horizon,junior_high,地平線，水平線,,junior_word_list,1518,missing
horror,junior_high,恐怖,恐怖,junior_word_list;high_word_list,965;764;1267,missing
how about ~?,junior_high,はどうですか？,,junior_word_list,968,missing
how long ?,junior_high,どれくらいの長さ？,,junior_word_list,1519,missing
how much ?,junior_high,どれくらいの量？,,junior_word_list,1520,missing
how much ~?,junior_high,はいくらですか？,,junior_word_list,970,missing
how to,junior_high,する方法,,junior_word_list,969,missing
human being,junior_high,人間,,junior_word_list,1522,missing
human rights,junior_high,人権,,junior_word_list,1523,missing
hunting,junior_high,狩り,,junior_word_list,974,missing
illegal,junior_high,違法な,違法の,junior_word_list;high_word_list,1525;931;1434,missing
illiterate,junior_high,読み書きのできない,,junior_word_list,1526,missing
in case of,junior_high,の場合には,,junior_word_list,1530,missing
in front of,junior_high,の前に,,junior_word_list,922,missing
in full,junior_high,全部,,junior_word_list,924,missing
in season,junior_high,旬で,,junior_word_list,1531,missing
in the future,junior_high,将来に,,junior_word_list,926,missing
in the middle of,junior_high,の真ん中に,,junior_word_list,1035,missing
in the open air,junior_high,屋外で,,junior_word_list,1532,missing
in those days,junior_high,当時は,,junior_word_list,1533,missing
independence,junior_high,独立,独立,junior_word_list;high_word_list,1537;579,missing
injure,junior_high,を傷つける,,junior_word_list,1538,missing
inner,junior_high,内部の，内側の,,junior_word_list,1539,missing
instead of,junior_high,のかわりに,,junior_word_list,1541,missing
instruction,junior_high,指示,指示,junior_word_list;high_word_list,1542;580,missing
interdependent,junior_high,相互に依存している,,junior_word_list,1543,missing
interested in,junior_high,興味をもっている,,junior_word_list,269,missing
invention,junior_high,発明,,junior_word_list,988,missing
inventor,junior_high,発明家,,junior_word_list,1547,missing
judge,junior_high,審判員,判断する,junior_word_list;high_word_list,1551;993;1496,missing
junior high school,junior_high,中学校,,junior_word_list,287,missing
kind(s) of ～,junior_high,種類の～,,junior_word_list,995,missing
kindliness,junior_high,親切さ,,junior_word_list,996,missing
kit,junior_high,道具一式,,junior_word_list,1554,missing
lamp,junior_high,明かり,,junior_word_list,1555,missing
lawyer,junior_high,弁護士,,junior_word_list,1560,missing
legacy,junior_high,遺産,,junior_word_list,1564,missing
limited,junior_high,限られた,,junior_word_list,1567,missing
link,junior_high,接続,,junior_word_list,1569,missing
little by little,junior_high,少しずつ,,junior_word_list,797,missing
long ago,junior_high,ずっと前に,,junior_word_list,1018,missing
look forward to ...,junior_high,を楽しみに待つ,,junior_word_list,198,missing
loss,junior_high,失うこと，喪失,,junior_word_list,1575,missing
luggage,junior_high,手荷物,,junior_word_list,1023,missing
lullaby,junior_high,子守歌,,junior_word_list,1580,missing
make all the difference,junior_high,大きなちがいを生む,,junior_word_list,1584,missing
mayor,junior_high,市長,市長,junior_word_list;high_word_list,1028;330,missing
measure,junior_high,をはかる,,junior_word_list,1030,missing
metal,junior_high,金属,,junior_word_list,1592,missing
mini,junior_high,小型の,,junior_word_list,1594,missing
mining,junior_high,採鉱，採掘,,junior_word_list,1595,missing
mist,junior_high,霧,,junior_word_list,1039,missing
misunderstand,junior_high,を誤解する,,junior_word_list,1041,missing
more and more,junior_high,ますます多くの,,junior_word_list,1601,missing
more than,junior_high,より多くの,,junior_word_list,1044;1602,missing
moreover,junior_high,さらに,さらに,junior_word_list;high_word_list,1045;927;1430,missing
movement,junior_high,運動,,junior_word_list,1605,missing
must not,junior_high,してはいけない,,junior_word_list,1050,missing
negative,junior_high,否定的な，良くない,否定の,junior_word_list;high_word_list,1607;845;1348,missing
next-door,junior_high,隣の家、隣の,,junior_word_list,363,missing
not always,junior_high,いつもとは限らない,,junior_word_list,1615,missing
not at all,junior_high,少しもない,,junior_word_list,1614,missing
not only but also ～,junior_high,だけでなく～もまた,,junior_word_list,1616,missing
nuclear,junior_high,核の，原子力の,核の,junior_word_list;high_word_list,1618;655,missing
nuclear power,junior_high,原子力,,junior_word_list,1619,missing
of course,junior_high,もちろん,,junior_word_list,114,missing
on the way,junior_high,帰る途中で,,junior_word_list,1623,missing
one by one,junior_high,1つずつ,,junior_word_list,1624,missing
operation,junior_high,手術,操作,junior_word_list;high_word_list,1069;599,missing
originally,junior_high,はじめは,,junior_word_list,1070,missing
over here,junior_high,こちらに,,junior_word_list,1075,missing
paper crane,junior_high,折り鶴,,junior_word_list,1640,missing
parking lot,junior_high,駐車場,,junior_word_list,1641,missing
pass by,junior_high,通り過ぎる,,junior_word_list,1642,missing
perfect,junior_high,完全な,,junior_word_list,1087,missing
plastic bag,junior_high,ビニールぶくろ,,junior_word_list,1650,missing
playful,junior_high,楽しげな,,junior_word_list,1095,missing
pleasure,junior_high,喜び,楽しみ,junior_word_list;high_word_list,409;428,missing
pm,junior_high,午後,,junior_word_list,392,missing
poet,junior_high,詩人,詩人,junior_word_list;high_word_list,1654;705,missing
police officer,junior_high,警察官,,junior_word_list,1657,missing
populous,junior_high,人口の多い,,junior_word_list,1659,missing
positive,junior_high,前向きな,自信のある,junior_word_list;high_word_list,1661;1139;1642,missing
precious,junior_high,貴重な,貴重な,junior_word_list;high_word_list,1098;1931;2271,missing
prepared,junior_high,用意ができている,,junior_word_list,1663,missing
preserve,junior_high,を保存する,保存,junior_word_list;high_word_list,1099;645,missing
professor,junior_high,教授,,junior_word_list,1103,missing
protest,junior_high,抗議する,抗議する,junior_word_list;high_word_list,1672;1673;1998;2338,missing
pursue,junior_high,を追い求める,追い求める,junior_word_list;high_word_list,1674;1126;1629,missing
quarter,junior_high,4分の1,四半期,junior_word_list;high_word_list,1675;332,missing
radiation,junior_high,放射線,,junior_word_list,1680,missing
rainwater,junior_high,雨水,,junior_word_list,1683,missing
rapidly,junior_high,速く，急速に,素早く,junior_word_list;high_word_list,1686;875;1378,missing
relate to ～,junior_high,を～に関係させる,,junior_word_list,1692,missing
relation,junior_high,関係,関係性,junior_word_list;high_word_list,1693;418,missing
relationship,junior_high,関係,,junior_word_list,1115,missing
relatively,junior_high,比較的,,junior_word_list,1694,missing
release,junior_high,を放出する,解き放つ,junior_word_list;high_word_list,1695;1009;1512,missing
remind,junior_high,を気づかせる,思い出させる,junior_word_list;high_word_list,1117;1174;1677,missing
remove,junior_high,を取り除く,取り除く,junior_word_list;high_word_list,1118;1010;1513,missing
renewable,junior_high,再生可能な,,junior_word_list,1696,missing
reservation,junior_high,予約,,junior_word_list,1122,missing
resident,junior_high,住民，居住者,居住者,junior_word_list;high_word_list,1699;1929;2269,missing
resource,junior_high,資源,資源,junior_word_list;high_word_list,1700;323,missing
rhyme,junior_high,韻をふむ,,junior_word_list,1703,missing
rhythm,junior_high,リズム，調子,,junior_word_list,1704,missing
right away,junior_high,すぐに,,junior_word_list,1129,missing
rule,junior_high,規則,,junior_word_list,1136;1711,missing
run away,junior_high,逃げる,,junior_word_list,1713,missing
run out of,junior_high,を使い果たす,,junior_word_list,1714,missing
sacred,junior_high,神聖な,,junior_word_list,1137,missing
safely,junior_high,安全に,,junior_word_list,1716,missing
scared,junior_high,こわがって,,junior_word_list,1722,missing
scary,junior_high,恐ろしい,,junior_word_list,1144,missing
seasonal,junior_high,季節の,,junior_word_list,1723,missing
selection,junior_high,選択,,junior_word_list,1148,missing
severe,junior_high,厳しい,厳しい,junior_word_list;high_word_list,1154;853;1356,missing
shadow,junior_high,影,,junior_word_list,1155,missing
shaking,junior_high,揺れ,,junior_word_list,1731,missing
shelter,junior_high,避難所,,junior_word_list,1732,missing
shy,junior_high,恥ずかしがりの,,junior_word_list,469,missing
sidewalk,junior_high,歩道,,junior_word_list,1736,missing
sight,junior_high,視界,見ること,junior_word_list;high_word_list,1163;950;1453,missing
sink,junior_high,沈む,沈む,junior_word_list;high_word_list,1165;647,missing
so far,junior_high,これまでは,,junior_word_list,1751,missing
so that ～,junior_high,とてもなので～だ,,junior_word_list,1750,missing
somehow,junior_high,何らかの形で,どうにか,junior_word_list;high_word_list,1755;1051;1554,missing
somewhere,junior_high,どこかに,,junior_word_list,1757,missing
species,junior_high,種,種,junior_word_list;high_word_list,1760;303,missing
specific,junior_high,特定の,具体的な,junior_word_list;high_word_list,1176;1043;1546,missing
spice,junior_high,香辛料,,junior_word_list,1177,missing
spread,junior_high,を広げる,広がる,junior_word_list;high_word_list,1179;1180;1762;355,missing
stand up,junior_high,立ち上がる,,junior_word_list,1765,missing
standard,junior_high,基準,,junior_word_list,1182,missing
stationery,junior_high,文房具,,junior_word_list,1766,missing
steam,junior_high,蒸気,蒸気,junior_word_list;high_word_list,1768;1783;2123,missing
stick,junior_high,棒,,junior_word_list,1184,missing
strict,junior_high,厳しい,厳しい,junior_word_list;high_word_list,1773;1919;2259,missing
stylish,junior_high,おしゃれな,,junior_word_list,1775,missing
sunshine,junior_high,日光,,junior_word_list,1779,missing
super,junior_high,とても，すごく,,junior_word_list,1780,missing
supply,junior_high,供給,供給,junior_word_list;high_word_list,1781;397,missing
surprised,junior_high,驚いた,,junior_word_list,1193,missing
surprisingly,junior_high,驚いたことには,驚いたことに,junior_word_list;high_word_list,1784;1198;1701,missing
surround,junior_high,を囲む,取り囲む,junior_word_list;high_word_list,1785;1018;1521,missing
survival,junior_high,存続，生き残ること,生存,junior_word_list;high_word_list,1787;626,missing
sustainable,junior_high,存続可能な,,junior_word_list,1789,missing
syllable,junior_high,音節,,junior_word_list,1792,missing
take a look,junior_high,ちらりと見る,,junior_word_list,1019,missing
take care of,junior_high,を大事にする,,junior_word_list,91,missing
tax,junior_high,税，税金,税金,junior_word_list;high_word_list,1793;249,missing
tell to ～,junior_high,に～するように言う,,junior_word_list,1795,missing
terrible,junior_high,ひどい,ひどい,junior_word_list;high_word_list,1796;859;1362,missing
that's too bad,junior_high,それはいけませんね。,,junior_word_list,44,missing
that's very kind of you,junior_high,親切にありがとうございます,,junior_word_list,1797,missing
the globe,junior_high,地球,,junior_word_list,1484,missing
thick,junior_high,厚い,厚い,junior_word_list;high_word_list,1199;35,missing
this way,junior_high,このように,,junior_word_list,1803,missing
thousands of,junior_high,何千もの,,junior_word_list,1807,missing
tightly,junior_high,しっかりと,,junior_word_list,1810,missing
too to ～,junior_high,～するにはすぎる,,junior_word_list,1813,missing
tough,junior_high,困難な，難しい,頑強な,junior_word_list;high_word_list,1814;860;1363,missing
towel,junior_high,タオル,,junior_word_list,568,missing
tradition,junior_high,伝統,伝統,junior_word_list;high_word_list,1202;630,missing
translate,junior_high,翻訳する,翻訳する,junior_word_list;high_word_list,1203;1020;1523,missing
translation,junior_high,翻訳,,junior_word_list,1204,missing
transport,junior_high,を輸送する,輸送する,junior_word_list;high_word_list,1817;1021;1524,missing
trash,junior_high,ごみ、くず,,junior_word_list,573,missing
traveler,junior_high,旅行者,,junior_word_list,1818,missing
trust,junior_high,を信用する,信頼,junior_word_list;high_word_list,1820;633,missing
turn into,junior_high,に変わる,,junior_word_list,1205,missing
uncomfortable,junior_high,心地の悪い,心地の悪い,junior_word_list;high_word_list,1821;2035;2375,missing
unfair,junior_high,不公平な，不当な,,junior_word_list,1822,missing
unique,junior_high,独特な,他に類のない,junior_word_list;high_word_list,1209;1188;1691,missing
unused,junior_high,未使用の,,junior_word_list,1827,missing
up until,junior_high,まで,,junior_word_list,1828,missing
violence,junior_high,暴力,暴力,junior_word_list;high_word_list,1612;1831;635,missing
wake up,junior_high,目を覚ます,,junior_word_list,1214,missing
weapon,junior_high,武器,,junior_word_list,1836,missing
weigh,junior_high,重さがある,重さがある,junior_word_list;high_word_list,1222;2036;2376,missing
well-known,junior_high,有名な,よく知られた,junior_word_list;high_word_list,1839;1191;1694,missing
well-off,junior_high,裕福な,,junior_word_list,1225,missing
what to,junior_high,何をすべきか,,junior_word_list,1841,missing
wind power,junior_high,風力,,junior_word_list,1846,missing
winner,junior_high,勝者，受賞者,,junior_word_list,1847,missing
wisdom,junior_high,知恵,知恵,junior_word_list;high_word_list,1234;636,missing
with a smile,junior_high,笑って,,junior_word_list,1170,missing
work out,junior_high,運動する,,junior_word_list,1072,missing
would like to ～,junior_high,に～してほしい,,junior_word_list,1852,missing
wrap,junior_high,を包む,,junior_word_list,1853,missing
abandon,high_school,,捨て去る,high_word_list,952;1455,missing
abortion,high_school,,中絶,high_word_list,17,missing
absence,high_school,,不在,high_word_list,1744;2084,missing
absolute,high_school,,絶対的な,high_word_list,1977;2317,missing
absolutely,high_school,,絶対に,high_word_list,865;1368,missing
absorb,high_school,,吸収する,high_word_list,953;1456,missing
abstract,high_school,,抽象的な,high_word_list,1971;2311,missing
academic,high_school,,学術の,high_word_list,98,missing
accompany,high_school,,付き添う,high_word_list,954;1457,missing
accomplish,high_school,,成し遂げる,high_word_list,1107;1610,missing
according,high_school,,による,high_word_list,105,missing
account,high_school,,口座,high_word_list,504,missing
accurate,high_school,,正確な,high_word_list,813;1316,missing
accuse,high_school,,非難,high_word_list,637,missing
accustomed,high_school,,慣れている,high_word_list,2043;2383,missing
achieve,high_school,,達成する,high_word_list,225,missing
achievement,high_school,,達成,high_word_list,226,missing
acknowledge,high_school,,認める,high_word_list,1882;2222,missing
acquaintance,high_school,,知人,high_word_list,1847;2187,missing
activist,high_school,,行動主義者,high_word_list,350,missing
actual,high_school,,現実の,high_word_list,814;1317,missing
ad,high_school,,広告,high_word_list,33,missing
adapt,high_school,,適合,high_word_list,638,missing
adequate,high_school,,十分な,high_word_list,1906;2246,missing
administration,high_school,,機関,high_word_list,407,missing
admire,high_school,,賞賛する,high_word_list,955;1458,missing
admission,high_school,,入場,high_word_list,702,missing
admit,high_school,,認める,high_word_list,790;1293,missing
adopt,high_school,,自分のものにする,high_word_list,1214;1717,missing
advertise,high_school,,宣伝,high_word_list,639,missing
advertising,high_school,,広告,high_word_list,734;1237,missing
advocate,high_school,,提唱する,high_word_list,1076;1579,missing
affair,high_school,,事柄,high_word_list,508,missing
affection,high_school,,愛情，好意,high_word_list,1842;2182,missing
afford,high_school,,余裕がある,high_word_list,1108;1611,missing
agenda,high_school,,議題,high_word_list,738;1241,missing
agent,high_school,,代理人,high_word_list,767;1270,missing
aggression,high_school,,攻撃性,high_word_list,1914;2254,missing
aggressive,high_school,,攻撃的な,high_word_list,1997;2337,missing
agreement,high_school,,同意,high_word_list,509,missing
agriculture,high_school,,農業,high_word_list,510,missing
aid,high_school,,援助,high_word_list,451,missing
aim,high_school,,ねらいをつける,high_word_list,1204;1707,missing
aircraft,high_school,,航空機,high_word_list,926;1429,missing
airline,high_school,,航空会社,high_word_list,1086;1589,missing
alike,high_school,,よく似た,high_word_list,1024;1527,missing
alliance,high_school,,同盟,high_word_list,685,missing
ally,high_school,,同盟する,high_word_list,1064;1567,missing
aloud,high_school,,声に出して,high_word_list,2034;2374,missing
alter,high_school,,変える,high_word_list,791;1294,missing
alternative,high_school,,代替物,high_word_list,768;1271,missing
altogether,high_school,,完全に,high_word_list,1934;2274,missing
ambition,high_school,,野望,high_word_list,1844;2184,missing
amendment,high_school,,修正,high_word_list,679,missing
amuse,high_school,,楽しませる,high_word_list,2044;2384,missing
analysis,high_school,,分析,high_word_list,148,missing
analyst,high_school,,分析者,high_word_list,68,missing
analyze,high_school,,分析する,high_word_list,1964;2304,missing
ancestor,high_school,,祖先,high_word_list,511,missing
anger,high_school,,怒り,high_word_list,512,missing
anniversary,high_school,,～周年,high_word_list,943;1446,missing
annoy,high_school,,いらだたせる,high_word_list,1168;1671,missing
annual,high_school,,毎年の,high_word_list,1868;2208,missing
anxiety,high_school,,心配,high_word_list,513,missing
anxious,high_school,,心配して,high_word_list,1025;1528,missing
apart,high_school,,離れて,high_word_list,866;1369,missing
apparent,high_school,,外見上の,high_word_list,2007;2347,missing
apparently,high_school,,一見すると,high_word_list,133,missing
appeal,high_school,,訴える,high_word_list,792;1295,missing
appearance,high_school,,出現,high_word_list,514,missing
appetite,high_school,,食欲,high_word_list,1781;2121,missing
application,high_school,,適用,high_word_list,1836;2176,missing
appoint,high_school,,任命する,high_word_list,1060;1563,missing
appointment,high_school,,約束,high_word_list,1732;2072,missing
approval,high_school,,承認,high_word_list,751;1254,missing
argument,high_school,,議論,high_word_list,496,missing
arise,high_school,,起こる,high_word_list,793;1296,missing
armed,high_school,,武装した,high_word_list,1066;1569,missing
arms,high_school,,武器,high_word_list,153,missing
arrival,high_school,,到着,high_word_list,190,missing
artificial,high_school,,人工的な,high_word_list,1982;2322,missing
asleep,high_school,,眠っている,high_word_list,1129;1632,missing
assault,high_school,,暴行,high_word_list,670,missing
assembly,high_school,,集合,high_word_list,1793;2133,missing
assess,high_school,,評価する,high_word_list,158,missing
assessment,high_school,,評価,high_word_list,159,missing
asset,high_school,,資産,high_word_list,661,missing
assist,high_school,,手伝う,high_word_list,932;1435,missing
assistance,high_school,,支援,high_word_list,730;1233,missing
associate,high_school,,結びつけて考える,high_word_list,1215;1718,missing
association,high_school,,協会,high_word_list,516,missing
assumption,high_school,,想定,high_word_list,515,missing
