No,音,英語,日本語,☑
284,,introduce,紹介する,
285,,chapter,章,
286,,consumer,消費者,
287,,path,小道,
288,,win,勝つ,
289,,hurt,傷つける,
290,,except,除いて,
291,,moment,瞬間,
292,,present,現在の,
293,,weight,重さ,
294,,gather,集める,
295,,habit,習慣,
296,,province,州,
297,,county,州,
298,,revenue,収益,
299,,accept,受け入れる,
300,,receive,受け取る,
301,,fire,首にする,
302,,sort,種類,
303,,species,種,
304,,procedure,手続き,
305,,commission,手数料,
306,,palm,手のひら,
307,,deal,取引する,
308,,rid,取り除く,
309,,initiative,主導権,
310,,president,社長,
311,,society,社会,
312,,practical,実用的な,
313,,demonstrate,実証する,
314,,experiment,実験,
315,,quality,質,
316,,fail,失敗する,
317,,failure,失敗,
318,,lose,失う,
319,,nature,自然,
320,,own,自身の,
321,,clerk,事務員,
322,,fact,事実,
323,,resource,資源,
324,,funding,資金調達,
325,,examination,試験,
326,,attempt,試み,
327,,throughout,至るところに,
328,,die,死ぬ,
329,,indicate,指し示す,
330,,mayor,市長,
331,,market,市場,
332,,quarter,四半期,
333,,task,仕事,
334,,remaining,残り,
335,,industrial,産業の,
336,,industry,産業,
337,,reduction,削減,
338,,finance,財政,
339,,estate,財産,
340,,material,材料,
341,,ingredient,材料,
342,,court,裁判所,
343,,eventually,結局は,
344,,recent,最近の,
345,,recently,最近,
346,,international,国際的な,
347,,nation,国家,
348,,national,国の,
349,,steel,鋼鉄,
350,,activist,行動主義者,
351,,due,期限の,
352,,flood,洪水,
353,,structure,構造,
354,,bond,拘束,
355,,spread,広がる,
356,,toward,向かって,
357,,effect,効果,
358,,public,公共の,
359,,traffic,交通,
360,,regret,後悔する,
361,,later,後に,
362,,customer,顧客,
363,,client,顧客,
364,,employer,雇用者,
365,,recall,呼び戻す,
366,,ancient,古代の,
367,,individual,個人の,
368,,refer,言及する,
369,,modern,現代の,
370,,appear,現れる,
371,,source,源,
372,,reduce,減らす,
373,,principle,原理,
374,,cause,原因,
375,,stranger,他人,
376,,headline,見出し,
377,,research,研究,
378,,concern,懸案する,
379,,blood,血,
380,,result,結果,
381,,outcome,結果,
382,,determine,決める,
383,,scheme,計画,
384,,joint,継目,
385,,economy,経済,
386,,formal,形式の,
387,,prison,刑務所,
388,,crowd,群衆,
389,,troop,群れ,
390,,approach,近づく,
391,,ban,禁止する,
392,,extremely,極端に,
393,,aspect,局面,
394,,education,教育,
395,,community,共同社会,
396,,competition,競争,
397,,supply,供給,
398,,provision,供給,
399,,distance,距離,
400,,allow,許可する,
401,,council,議会,
402,,doubt,疑い,
403,,likely,起こりそうな,
404,,article,記事,
405,,weather,気候,
406,,aware,気づいている,
407,,administration,機関,
408,,opportunity,機会,
409,,period,期間,
410,,term,期間,
411,,terms,期間,
412,,strange,奇妙な,
413,,desire,願望,
414,,contain,含有する,
415,,include,含む,
416,,involve,巻き込む,
417,,relevant,関連のある,
418,,relation,関係性,
419,,wrong,間違い,
420,,definitely,絶対に,
421,,observe,観察する,
422,,environment,環境，状況,
423,,appreciate,感謝する,
424,,completely,完全に,
425,,complete,完全な,
426,,activity,活動,
427,,multiple,掛け算する,
428,,pleasure,楽しみ,
429,,remember,覚えている,
430,,sure,確信して,
431,,indeed,確かに,
432,,concept,概念,
433,,abroad,外国で,
434,,coast,海岸,
435,,improve,改善する,
436,,improvement,改善,
437,,mass,塊,
438,,solve,解く,
439,,chairman,会長,
440,,congress,会議,
441,,bear,我慢する,
442,,past,過去の,
443,,earn,稼ぐ,
444,,science,科学,
445,,possibility,可能性,
446,,possible,可能な,
447,,worth,価値ある,
448,,whatever,なんでも,
449,,temperature,温度,
450,,lie,横たわる,
451,,aid,援助,
452,,influence,影響を及ぼす,
453,,universe,宇宙,
454,,draw,引く,
455,,impressive,印象的な,
456,,glance,一目見る,
457,,meanwhile,一方で,
458,,common,一般的な,
459,,difference,違い,
460,,maintain,維持する,
461,,settlement,移住,
462,,mean,意味する,
463,,opinion,意見,
464,,depend,依存する,
465,,beyond,を超えて,
466,,prefer,より好む,
467,,Jewish,ユダヤ人,
468,,commitment,約束,
469,,remain,残る,
470,,till,まで,
471,,hardly,ほとんどない,
472,,pan,フライパン,
473,,string,紐,
474,,seem,に見える,
475,,whether,どちらか,
476,,unless,でない限り,
477,,unable,できない,
478,,while,一方で,
479,,describe,述べる,
480,,consider,考慮する,
481,,mention,言及する,
482,,chest,たんす,
483,,maybe,たぶん,
484,,suppose,だと思う,
485,,consider,と見なす,
486,,realize,だとわかる,
487,,although,だけれども,
488,,therefore,それゆえ,
489,,manufacturer,製造元,
490,,guess,推測する,
491,,however,しかしながら,
492,,otherwise,さもなければ,
493,,various,様々な,
494,,vary,多様化する,
495,,language,言語,
496,,argument,議論,
497,,pretty,かなり,
498,,quite,かなり,
499,,wonder,かなと思う,
500,,probably,おそらく,
501,,several,幾つかの,
502,,certain,確かな,
503,,dozen,12の,
504,,account,口座,
505,,addition,追加,
506,,address,住所,
507,,advice,助言,
508,,affair,事柄,
509,,agreement,同意,
510,,agriculture,農業,
511,,ancestor,祖先,
512,,anger,怒り,
513,,anxiety,心配,
514,,appearance,出現,
515,,assumption,想定,
516,,association,協会,
517,,author,著者,
518,,authority,権威,
519,,background,背景,
520,,capital,資本,
521,,characteristic,特徴,
522,,charge,非難,
523,,circumstance,状況,
524,,citizen,市民,
525,,climate,気候,
526,,conclusion,結論,
527,,condition,状態,
528,,conduct,行為,
529,,conference,会議,
530,,confidence,自信,
531,,conflict,対立,
532,,consequence,結果,
533,,consumption,消費,
534,,continent,大陸,
535,,contrast,対照,
536,,contribution,寄付,
537,,conversation,会話,
538,,cooperation,協力,
539,,creation,創造,
540,,crime,犯罪,
541,,crisis,危機,
542,,criticism,批判,
543,,custom,習慣,
544,,debate,討論,
545,,debt,借金,
546,,definition,定義,
547,,delight,喜び,
548,,desert,砂漠,
549,,destruction,破壊,
550,,device,装置,
551,,diet,食事,
552,,disaster,災害,
553,,discussion,議論,
554,,distinction,区別,
555,,district,地域,
556,,drug,麻薬,
557,,element,要素,
558,,entertainment,娯楽,
559,,evolution,進化,
560,,explanation,説明,
561,,extent,程度,
562,,faith,信頼,
563,,fate,運命,
564,,fault,欠点,
565,,focus,焦点,
566,,fuel,燃料,
567,,genius,天才,
568,,goal,目標,
569,,grammar,文法,
570,,height,高さ,
571,,household,家族,
572,,humanity,人間,
573,,ideal,理想,
574,,imagination,想像,
575,,immigrant,移民,
576,,impact,影響,
577,,impression,印象,
578,,income,所得,
579,,independence,独立,
580,,instruction,指示,
581,,intelligence,知能,
582,,item,項目,
583,,joy,喜び,
584,,judgement,判断,
585,,landscape,風景,
586,,laughter,笑い,
587,,leisure,余暇,
588,,manager,部長,
589,,master,主人,
590,,match,試合,
591,,matter,事柄,
592,,merchant,商人,
593,,murder,殺人,
594,,necessity,必要,
595,,neighborhood,近所,
596,,notion,考え,
597,,observation,観察,
598,,occupation,職業,
599,,operation,操作,
600,,organization,組織,
601,,origin,起源,
602,,pain,痛み,
603,,passage,一節,
604,,passenger,乗客,
605,,personality,人格,
606,,phenomenon,現象,
607,,philosophy,哲学,
608,,politics,政治,
609,,popularity,人気,
610,,presence,存在,
611,,profit,利益,
612,,proof,証拠,
613,,property,財産,
614,,proportion,比率,
615,,reaction,反応,
616,,region,地域,
617,,religion,宗教,
618,,reputation,評判,
619,,revolution,革命,
620,,reward,褒美,
621,,shortage,不足,
622,,status,状態,
623,,substance,物質,
624,,sum,合計,
625,,survey,調査,
626,,survival,生存,
627,,talent,才能,
628,,threat,脅威,
629,,tongue,言葉,
630,,tradition,伝統,
631,,treatment,扱い,
632,,tribe,部族,
633,,trust,信頼,
634,,union,統合,
635,,violence,暴力,
636,,wisdom,知恵,
637,,accuse,非難,
638,,adapt,適合,
639,,advertise,宣伝,
640,,blow,吹く,
641,,decision,決定,
642,,employ,雇う,
643,,explore,探索,
644,,hire,雇う,
645,,preserve,保存,
646,,rely,頼る,
647,,sink,沈む,
648,,smell,臭う,
649,,suspect,疑う,
650,,transfer,移す,
651,,brief,短い,
652,,efficient,効率,
653,,female,雌の，女性の,
654,,former,前の,
655,,nuclear,核の,
656,,previous,前の,
657,,solid,固い,
658,,constantly,常に,
659,,occasionally,時折,
660,,mixture,混合,
661,,asset,資産,
662,,strain,張る,
663,,stroke,打撃,
664,,pose,姿勢,
665,,throat,のど,
666,,variation,変化,
667,,stake,くい,
668,,representation,表現,
669,,symptom,症状,
670,,assault,暴行,
671,,recovery,回復,
672,,pension,年金,
673,,involvement,関与,
674,,opponent,相手,
675,,recession,不況,
676,,deputy,代理,
677,,treaty,条約,
678,,mortgage,抵当,
679,,amendment,修正,
680,,exposure,暴露,
681,,deficit,赤字,
682,,infection,感染,
683,,partnership,共同,
684,,coal,石炭,
685,,alliance,同盟,
686,,lover,恋人,
687,,tissue,組織,
688,,fabric,織物,
689,,suicide,自殺,
690,,prayer,祈り,
691,,inflation,膨張,
692,,shooting,撮影,
693,,drift,漂流,
694,,shit,大便,
695,,compromise,妥協,
696,,cop,警官,
697,,curve,曲線,
698,,bare,裸の,
699,,etc,等々,
700,,coalition,連立,
701,,bishop,司教,
702,,admission,入場,
703,,fiber,繊維,
704,,squeeze,絞る,
705,,poet,詩人,
706,,teenager,十代,
707,,conviction,信念,
708,,corridor,廊下,
709,,prosecution,起訴,
710,,physician,医師,
711,,headquarters,本部,
712,,enforcement,執行,
713,,vessel,容器,
714,,lap,ひざ,
715,,earnings,収益,
716,,terror,恐怖,
717,,bitter,苦い,
718,,heritage,遺産,
719,,combat,戦闘,
720,,naked,裸の,
721,,swear,誓う,
722,,comedy,喜劇,
723,,summit,頂上,
724,,log,丸太,
725,,lawn,芝生,
726,,bullet,弾丸,
727,,boundary,境界,
728,,strongly,強く,
729,,depth,深さ,
730,,assistance,支援,
731,,maximum,最大,
732,,illness,病気,
733,,negotiation,交渉,
734,,advertising,広告,
735,,mess,混乱,
736,,preparation,準備,
737,,trading,取引,
738,,agenda,議題,
739,,exclude,除く,
740,,therapy,治療,
741,,transition,遷移,
742,,retirement,退職,
743,,poverty,貧困,
744,,recommendation,推薦,
745,,craft,工芸,
746,,delivery,郵送,
747,,establishment,設立,
748,,extension,拡張,
749,,maintenance,持続,
750,,salary,給与,
751,,approval,承認,
752,,expansion,拡張,
753,,essay,論文,
754,,ceiling,天井,
755,,lecture,講義,
756,,restriction,制限,
757,,satisfaction,満足,
758,,sculpture,彫刻,
759,,promotion,昇進,
760,,permission,許可,
761,,flavor,風味,
762,,personnel,人事,
763,,battery,電池,
764,,horror,恐怖,
765,,storage,保存,
766,,satellite,衛星,
767,,agent,代理人,
768,,alternative,代替物,
769,,automobile,自動車,
770,,crop,収穫物,
771,,curiosity,好奇心,
772,,discipline,しつけ,
773,,employee,従業員,
774,,excuse,言い訳,
775,,expert,専門家,
776,,grant,給付金,
777,,guide,案内人,
778,,laboratory,実験室,
779,,manner,やり方,
780,,philosopher,哲学者,
781,,physics,物理学,
782,,politician,政治家,
783,,remark,ことば,
784,,significance,重要性,
785,,solution,解決策,
786,,vehicle,乗り物,
787,,victim,犠牲者,
788,,vision,未来像,
789,,witness,目撃者,
790,,admit,認める,
791,,alter,変える,
792,,appeal,訴える,
793,,arise,起こる,
794,,block,妨げる,
795,,borrow,借りる,
796,,collect,集める,
797,,convey,伝える,
798,,defeat,負かす,
799,,dislike,嫌がる,
800,,emerge,現れる,
801,,extend,延びる,
802,,hang,つるす,
803,,notice,気づく,
804,,occupy,占める,
805,,praise,ほめる,
806,,punish,罰する,
807,,quit,やめる,
808,,recommend,薦める,
809,,roll,転がる,
810,,stretch,広がる,
811,,threaten,脅かす,
812,,transform,変える,
813,,accurate,正確な,
814,,actual,現実の,
815,,appropriate,適当な,
816,,chemical,化学の,
817,,complicated,複雑な,
818,,contemporary,現在の,
819,,contrary,反対の,
820,,current,現在の,
821,,domestic,国内の,
822,,dramatic,劇的な,
823,,educational,教育の,
824,,elderly,年配の,
825,,emotional,感情の,
826,,entire,全体の,
827,,evil,邪悪な,
828,,extra,余分の,
829,,extreme,極端な,
830,,fair,公平な,
831,,false,誤った,
832,,fat,太った,
833,,financial,財政の,
834,,global,地球の,
835,,harmful,有害な,
836,,honest,正直な,
837,,immediate,即座の,
838,,intellectual,知的な,
839,,internal,内部の,
840,,latter,後者の,
841,,literary,文学の,
842,,medium,中間の,
843,,military,軍隊の,
844,,nearby,近くの,
845,,negative,否定の,
846,,opposite,反対の,
847,,pleasant,楽しい,
848,,primary,最初の,
849,,proper,適切な,
850,,rare,まれな,
851,,rural,田舎の,
852,,sensitive,敏感な,
853,,severe,厳しい,
854,,significant,重要な,
855,,silly,馬鹿な,
856,,stupid,馬鹿な,
857,,sudden,突然の,
858,,suitable,適した,
859,,terrible,ひどい,
860,,tough,頑強な,
861,,unknown,未知の,
862,,urban,都会の,
863,,valuable,貴重な,
864,,wealthy,裕福な,
865,,absolutely,絶対に,
866,,apart,離れて,
867,,closely,綿密に,
868,,entirely,完全に,
869,,fairly,かなり,
870,,forever,永遠に,
871,,fully,十分に,
872,,gradually,次第に,
873,,normally,通常は,
874,,properly,適切に,
875,,rapidly,素早く,
876,,surely,確かに,
877,,totally,完全に,
878,,supporter,支援者,
879,,jail,刑務所,
880,,correspondent,特派員,
881,,dust,ほこり,
882,,deserve,値する,
883,,twin,ふたご,
884,,pure,純粋な,
885,,mad,狂った,
886,,creature,生き物,
887,,buyer,買い手,
888,,plot,話の筋,
889,,entitle,題する,
890,,similarly,同様に,
891,,conventional,従来の,
892,,disorder,無秩序,
893,,maker,製造元,
894,,chamber,小部屋,
895,,rub,こする,
896,,portrait,肖像画,
897,,civilian,民間人,
898,,patch,あて布,
899,,inspector,検査官,
900,,historian,歴史家,
901,,pit,くぼみ,
902,,killer,殺人者,
903,,awareness,気づき,
904,,observer,観察者,
905,,suffering,苦しみ,
906,,commander,司令官,
907,,heel,かかと,
908,,flee,逃げる,
909,,lab,研究室,
910,,newly,新たに,
911,,prosecutor,検察官,
912,,investigator,捜査官,
913,,brick,れんが,
914,,viewer,観察者,
915,,seize,つかむ,
916,,rebel,反逆者,
917,,musician,音楽家,
918,,founder,創設者,
919,,girlfriend,女友達,
920,,spill,こぼす,
921,,toe,つま先,
922,,comfort,快適さ,
923,,crucial,重要な,
924,,echo,こだま,
925,,minimum,最小の,
926,,aircraft,航空機,
927,,moreover,さらに,
928,,publication,出版物,
929,,reverse,反対の,
930,,detailed,詳細の,
931,,illegal,違法の,
932,,assist,手伝う,
933,,initially,最初に,
934,,mere,単なる,
935,,briefly,簡単に,
936,,parking,駐車場,
937,,prompt,即座の,
938,,rapid,急速な,
939,,extensive,広範な,
940,,clothing,衣料品,
941,,trigger,引き金,
942,,operator,操作者,
943,,anniversary,～周年,
944,,decade,10年間,
945,,democracy,民主主義,
946,,occasion,特定の時,
947,,plenty,たくさん,
948,,proverb,ことわざ,
949,,psychologist,心理学者,
950,,sight,見ること,
951,,virus,ウイルス,
952,,abandon,捨て去る,
953,,absorb,吸収する,
954,,accompany,付き添う,
955,,admire,賞賛する,
956,,attend,出席する,
957,,behave,振る舞う,
958,,compete,競争する,
959,,compose,構成する,
960,,concentrate,集中する,
961,,connect,つなげる,
962,,considerable,かなりの,
963,,consist,成り立つ,
964,,contribute,寄付する,
965,,cope,対処する,
966,,criticize,批判する,
967,,declare,宣言する,
968,,decrease,減少する,
969,,deny,否定する,
970,,derive,引き出す,
971,,display,展示する,
972,,distinguish,区別する,
973,,divide,分割する,
974,,educate,教育する,
975,,emphasize,強調する,
976,,encounter,遭遇する,
977,,estimate,推定する,
978,,estimate,見積もる,
979,,examine,検査する,
980,,expand,拡大する,
981,,export,輸出する,
982,,fix,固定する,
983,,govern,統治する,
984,,graduate,卒業する,
985,,handle,手で扱う,
986,,hesitate,ためらう,
987,,identify,見分ける,
988,,ignore,無視する,
989,,import,輸入する,
990,,inform,知らせる,
991,,intend,意図する,
992,,interpret,解釈する,
993,,judge,判断する,
994,,oppose,反対する,
995,,organize,組織する,
996,,overcome,克服する,
997,,participate,参加する,
998,,perceive,知覚する,
999,,permit,許可する,
1000,,persuade,説得する,
1001,,possess,所有する,
1002,,predict,予想する,
1003,,promote,促進する,
1004,,propose,提案する,
1005,,purchase,購入する,
1006,,react,反応する,
1007,,recover,回復する,
1008,,reject,拒絶する,
1009,,release,解き放つ,
1010,,remove,取り除く,
1011,,repair,修理する,
1012,,respond,反応する,
1013,,retire,退職する,
1014,,rush,突進する,
1015,,select,選び出す,
1016,,stimulate,刺激する,
1017,,suit,適合する,
1018,,surround,取り囲む,
1019,,tear,引き裂く,
1020,,translate,翻訳する,
1021,,transport,輸送する,
1022,,vote,投票する,
1023,,warn,警告する,
1024,,alike,よく似た,
1025,,anxious,心配して,
1026,,attractive,魅力的な,
1027,,bored,退屈した,
1028,,conscious,意識して,
1029,,creative,創造的な,
1030,,effective,効果的な,
1031,,friendly,友好的な,
1032,,fundamental,基本的な,
1033,,gentle,穏やかな,
1034,,independent,独立した,
1035,,mysterious,不可解な,
1036,,narrow,幅が狭い,
1037,,patient,我慢強い,
1038,,potential,潜在的な,
1039,,primitive,原始的な,
1040,,remarkable,目立った,
1041,,slight,かすかな,
1042,,smart,頭の良い,
1043,,specific,具体的な,
1044,,technical,技術上の,
1045,,typical,典型的な,
1046,,universal,普遍的な,
1047,,largely,主として,
1048,,necessarily,必然的に,
1049,,obviously,明らかに,
1050,,slightly,わずかに,
1051,,somehow,どうにか,
1052,,somewhat,いくぶん,
1053,,virtually,実質的に,
1054,,widely,広範囲に,
1055,,wherever,どこでも,
1056,,gear,伝動装置,
1057,,partly,部分的に,
1058,,dealer,販売業者,
1059,,leap,飛び跳ねる，飛び回る,
1060,,appoint,任命する,
1061,,childhood,子供時代,
1062,,gay,同性愛の,
1063,,elect,選出する,
1064,,ally,同盟する,
1065,,install,導入する,
1066,,armed,武装した,
1067,,negotiate,交渉する,
1068,,nowhere,どこにも,
1069,,pregnant,妊娠した,
1070,,clue,手がかり,
1071,,counter,相対する,
1072,,yield,産出する,
1073,,radical,急進的な,
1074,,implement,実施する,
1075,,stable,安定した,
1076,,advocate,提唱する,
1077,,consistent,一貫した,
1078,,via,～経由で,
1079,,withdraw,撤回する,
1080,,depression,落ち込み,
1081,,attribute,に帰する,
1082,,typically,典型的に,
1083,,enhance,強調する,
1084,,mystery,神秘的な,
1085,,restore,修復する,
1086,,airline,航空会社,
1087,,shortly,まもなく,
1088,,calculate,計算する,
1089,,detect,検出する,
1090,,regarding,に関して,
1091,,comprehensive,包括的な,
1092,,personally,個人的に,
1093,,so-called,いわゆる,
1094,,concrete,具体的な,
1095,,innocent,罪のない,
1096,,proposed,提案した,
1097,,potentially,潜在的な,
1098,,worried,心配した,
1099,,temporary,一時的な,
1100,,compound,調合する,
1101,,submit,提出する,
1102,,wildlife,野生動物,
1103,,sustain,保持する,
1104,,depending,依存する,
1105,,favor,親切な行為,
1106,,thought,考えること,
1107,,accomplish,成し遂げる,
1108,,afford,余裕がある,
1109,,attach,貼り付ける,
1110,,attract,引きつける,
1111,,bind,縛りつける,
1112,,breathe,呼吸をする,
1113,,combine,結合させる,
1114,,complain,不満を言う,
1115,,conclude,締めくくる,
1116,,confuse,混乱させる,
1117,,construct,組み立てる,
1118,,convince,納得させる,
1119,,entertain,楽しませる,
1120,,frighten,怖がらせる,
1121,,hate,ひどく嫌う,
1122,,imply,ほのめかす,
1123,,isolate,孤立させる,
1124,,obtain,手に入れる,
1125,,pretend,ふりをする,
1126,,pursue,追い求める,
1127,,reserve,取っておく,
1128,,settle,決着させる,
1129,,asleep,眠っている,
1130,,biological,生物学上の,
1131,,comfortable,心地の良い,
1132,,constant,絶え間ない,
1133,,convenient,都合がよい,
1134,,distant,遠く離れた,
1135,,extraordinary,普通でない,
1136,,favorite,一番好きな,
1137,,intelligent,知能の高い,
1138,,polite,礼儀正しい,
1139,,positive,自信のある,
1140,,reasonable,理性のある,
1141,,responsible,責任がある,
1142,,superior,より優れた,
1143,,tiny,ごく小さい,
1144,,unusual,めずらしい,
1145,,visible,目に見える,
1146,,welcome,歓迎される,
1147,,willing,いとわない,
1148,,alive,生きている,
1149,,unlike,とは違って,
1150,,tap,軽くたたく,
1151,,protein,タンパク質,
1152,,venture,冒険的事業,
1153,,embrace,抱きしめる,
1154,,drain,排出させる,
1155,,historic,由緒のある,
1156,,desperate,やけくその,
1157,,Mexican,メキシコの,
1158,,dump,投げ捨てる,
1159,,highlight,目立たせる,
1160,,given,与えられた,
1161,,inquiry,問い合わせ,
1162,,testing,試している,
1163,,dismiss,退出させる,
1164,,incorporate,合体させる,
1165,,confident,自信のある,
1166,,controversial,議論のある,
1167,,sophisticated,洗練された,
1168,,annoy,いらだたせる,
1169,,disturb,平穏を妨げる,
1170,,enable,可能にさせる,
1171,,expose,明らかにする,
1172,,frighten,おびえさせる,
1173,,impress,感銘を与える,
1174,,remind,思い出させる,
1175,,replace,取って代わる,
1176,,capable,可能性がある,
1177,,critical,極めて重要な,
1178,,curious,好奇心が強い,
1179,,dependent,依存している,
1180,,dull,面白みのない,
1181,,engaged,従事している,
1182,,enormous,非常に大きい,
1183,,firm,しっかりした,
1184,,historical,歴史（上）の,
1185,,nervous,あがっている,
1186,,proud,自慢に思って,
1187,,rough,ごつごつした,
1188,,unique,他に類のない,
1189,,useless,役に立たない,
1190,,vital,極めて重要な,
1191,,well-known,よく知られた,
1192,,directly,直接（的）に,
1193,,unfortunately,残念なことに,
1194,,despite,もかかわらず,
1195,,sigh,ため息をつく,
1196,,muslim,イスラム教徒,
