No,英単語,日本語訳,記号,数値
78,build,を建てる,＋,0
79,busy,忙しい,＋,0
80,but,しかし、けれども,＋,0
81,buy,を買う,＋,0
82,by,【手段・方法・原因】によって,＋,0
83,by,【場所】のそばに,＋,0
84,cake,ケーキ,＋,0
85,came,来た（過去形）,＋,0
86,can,【能力・可能】することができる,＋,0
87,cannot,できない,＋,0
88,cap,帽子,＋,0
89,car,自動車,＋,0
90,care,世話,＋,0
91,take care of,を大事にする,＋,0
92,careful,注意深い,＋,0
93,cat,猫,＋,0
94,chair,いす,＋,0
95,chicken,鶏肉,＋,0
96,child,子供,＋,0
97,children,子供たち,＋,0
98,choose,を選ぶ,＋,0
99,city,市、都会、都会,＋,0
100,classmate,同級生,＋,0
101,classroom,教室,＋,0
102,clean,きれいな、清潔な,＋,0
103,clean,きれいにする,＋,0
104,climb,を登る,＋,0
105,clothes,服,＋,0
106,cloudy,曇った,＋,0
107,cold,冷たい、寒い,＋,0
108,collect,を集める,＋,0
109,come,来る,＋,0
110,cook,料理する,＋,0
111,cool,かっこいい,＋,0
112,could,できた,＋,0
113,country,国,＋,0
114,of course,もちろん,＋,0
115,cousin,いとこ,＋,0
116,cow,ウシ,＋,0
117,cup,カップ,＋,0
118,cute,かわいい,＋,0
119,date,日、日付,＋,0
120,day,日、１日,＋,0
121,dear,親愛なる,＋,0
122,December,12月,＋,0
123,delicious,おいしい,＋,0
124,desk,机,＋,0
125,dictionary,辞書,＋,0
126,different,色々な、違った,＋,0
127,difficult,難しい,＋,0
128,dinner,夕食,＋,0
129,dish,皿、料理,＋,0
130,do,をする、行う,＋,0
131,doctor,医者,＋,0
132,dog,イヌ,＋,0
133,door,戸,＋,0
134,down,下に,＋,0
135,down,に沿って,＋,0
136,drama,劇,＋,0
137,draw,描く、引く,＋,0
138,dream,夢,＋,0
139,drink,を飲む,＋,0
140,drop,を落とす,＋,0
141,drum,太鼓、ドラム,＋,0
142,during,～の間,＋,0
143,each,それぞれの、各自の,＋,0
144,each other,お互いに,＋,0
145,ear,耳,＋,0
146,early,早く,＋,0
147,early,早い,＋,0
148,easily,簡単に,＋,0
149,eat,を食べる、食事をする,＋,0
150,egg,卵,＋,0
151,eight,8,＋,0
152,eighteen,18,＋,0
153,eighth,8番目,＋,0
154,eighty,80,＋,0
155,elementary school,小学校,＋,0
156,eleven,11,＋,0
157,eleventh,11番目,＋,0
158,end,最後,＋,0
159,English,英語,＋,0
160,enjoy,を楽しむ,＋,0
161,evening,夕方,＋,0
162,event,行事,＋,0
163,every,毎、ごとに,＋,0
164,everyone,みんな,＋,0
165,excited,わくわくした,＋,0
166,exciting,興奮させる,＋,0
167,excuse,を許す,＋,0
168,eye,目、視力,＋,0
169,face,顔,＋,0
170,fall,転ぶ、転倒する,＋,0
171,fall,秋,＋,0
172,fall down,倒れる,＋,0
173,family,家族,＋,0
174,famous,有名な,＋,0
175,farmer,農場主,＋,0
176,fast,速い,＋,0
177,father,父,＋,0
178,favorite,好きな、お気に入りの,＋,0
179,February,2月,＋,0
180,feel,と感じる,＋,0
181,felt,感じた,＋,0
182,festival,祭り,＋,0
183,fever,熱,＋,0
184,fifteen,15,＋,0
185,fifth,5番目,＋,0
186,fifty,50,＋,0
187,fine,元気な,＋,0
188,first,1番め、最初,＋,0
189,fish,魚,＋,0
190,five,5,＋,0
191,flower,花,＋,0
192,food,食べ物,＋,0
193,for,として,＋,0
194,foreign,外国の,＋,0
195,forget,を忘れる,＋,0
196,forty,40,＋,0
197,forward,前方へ,＋,0
198,look forward to ...,を楽しみに待つ,＋,0
199,four,4,＋,0
200,fourteen,14,＋,0
201,fourth,4番目,＋,0
202,free,ひまな,＋,0
203,Friday,金曜日,＋,0
204,friend,友達,＋,0
205,frog,カエル,＋,0
206,from,【時間】から,＋,0
207,from,【場所】から,＋,0
208,front,前、正面,＋,0
209,fruit,果物,＋,0
210,fun,楽しい,＋,0
211,funny,おかしな,＋,0
212,future,未来,＋,0
213,garbage,ゴミ,＋,0
214,gave,与えた,＋,0
215,get,を得る,＋,0
216,get,になる,＋,0
217,get,着く、到着する,＋,0
218,girl,少女,＋,0
219,give,を与える、渡す,＋,0
220,go,行く,＋,0
221,good,良い,＋,0
222,good,元気な,＋,0
223,got,得た,＋,0
224,grandfather,祖父,＋,0
225,grandmother,祖母,＋,0
226,grape,ブドウ,＋,0
227,great,すばらしい,＋,0
228,green,緑,＋,0
229,guess,を推測する,＋,0
230,had,持った,＋,0
231,hair,髪,＋,0
232,half,半分、2分の1,＋,0
233,hall,会館、ホール,＋,0
234,hand,手,＋,0
235,happy,幸せな、うれしい、楽しい,＋,0
236,hard,熱心に、一生懸命に,＋,0
237,hard,かたい,＋,0
238,hat,帽子,＋,0
239,have,を持っている,＋,0
240,have,を食べる、飲む,＋,0
241,have,を開催する,＋,0
242,he,彼は,＋,0
243,head,頭,＋,0
244,headache,頭痛,＋,0
245,heart,心,＋,0
246,help,を手伝う、助ける,＋,0
247,here,ここに,＋,0
248,hers,彼女のもの,＋,0
249,him,彼を,＋,0
250,his,彼の,＋,0
251,his,彼のもの,＋,0
252,history,歴史,＋,0
253,homework,宿題,＋,0
254,hope,を望む,＋,0
255,horse,馬,＋,0
256,hospital,病院,＋,0
257,hot,暑い,＋,0
258,hour,1時間,＋,0
259,house,家、住宅,＋,0
260,how,どんな,＋,0
261,hundred,百,＋,0
262,hungry,空腹の、飢えた,＋,0
263,I,私は[が],＋,0
264,ice,氷,＋,0
265,idea,考え,＋,0
266,important,重要な、大切な,＋,0
267,in,中に,＋,0
268,information,情報,＋,0
269,interested in,興味をもっている,＋,0
270,interesting,興味深い,＋,0
271,is,です、ます,＋,0
272,is,にいる、ある,＋,0
273,island,島,＋,0
274,it,それを,＋,0
275,it,それは,＋,0
276,its,それの、その,＋,0
277,January,1月,＋,0
278,Japan,日本,＋,0
279,Japanese,日本の,＋,0
280,Japanese,日本語、日本人,＋,0
281,job,仕事,＋,0
282,join,に参加する,＋,0
283,July,7月,＋,0
284,jump,跳ぶ,＋,0
285,June,6月,＋,0
286,junior,年下の,＋,0
287,junior high school,中学校,＋,0
288,just,ちょうど、まさに,＋,0
289,kind,親切な,＋,0
290,king,王様,＋,0
291,knee,ひざ,＋,0
292,know,を知っている,＋,0
293,lake,湖,＋,0
294,language,言葉,＋,0
295,large,大きい、広い,＋,0
296,last,この前の,＋,0
297,later,～の後で,＋,0
298,leave,去る,＋,0
299,left,左,＋,0
300,leg,脚,＋,0
301,let's,～しよう,＋,0
302,library,図書館,＋,0
303,life,生活,＋,0
304,life,生命,＋,0
305,light,光,＋,0
306,like,を好む,＋,0
307,like,のような,＋,0
308,line,列、並び,＋,0
309,listen,聞く,＋,0
310,a little,少し,＋,0
311,live,住む,＋,0
312,local,地方の、地元の,＋,0
313,lonely,さびしい,＋,0
314,long,長い,＋,0
315,look,見る,＋,0
316,look,に見える,＋,0
317,lose,負ける,＋,0
318,lost,負けた,＋,0
319,luck,運、幸運,＋,0
320,lunch,昼食,＋,0
321,made,作った（過去形）,＋,0
322,make,を作る,＋,0
323,man,男性、男の人,＋,0
324,many,たくさんの,＋,0
325,map,地図,＋,0
326,March,3月,＋,0
327,market,市場,＋,0
328,math,数学,＋,0
329,May,5月,＋,0
330,maybe,たぶん、もしかすると,＋,0
331,me,私に,＋,0
332,me,私を,＋,0
333,mean,を意味する,＋,0
334,meet,と会う,＋,0
335,memory,記憶,＋,0
336,mine,私のもの,＋,0
337,minute,分,＋,0
338,miss,さびしく思う,＋,0
339,moment,瞬間,＋,0
340,Monday,月曜日,＋,0
341,money,お金,＋,0
342,monkey,サル,＋,0
343,month,月、１か月,＋,0
344,morning,朝,＋,0
345,mother,母,＋,0
346,mountain,山,＋,0
347,mouse,ネズミ、ハツカネズミ,＋,0
348,mouth,口,＋,0
349,movie,映画,＋,0
350,much,[動詞を修飾して]おおいに、たいへん,＋,0
351,museum,博物館,＋,0
352,music,音楽,＋,0
353,musician,音楽家,＋,0
354,my,私の,＋,0
355,name,名前,＋,0
356,national,国の、国家の,＋,0
357,nature,自然,＋,0
358,near,の近くで,＋,0
359,need,を必要とする,＋,0
360,need,困っている状態、貧困,＋,0
361,new,新しい,＋,0
362,newspaper,新聞,＋,0
363,next-door,隣の家、隣の,＋,0
364,nice,良い,＋,0
365,night,夜,＋,0
366,nine,9,＋,0
367,nineteen,19,＋,0
368,ninety,90,＋,0
369,ninth,9番目,＋,0
370,noon,正午,＋,0
371,nose,鼻,＋,0
372,not,でない,＋,0
373,notebook,ノート,＋,0
374,nothing,何もない,＋,0
375,November,11月,＋,0
376,number,数、数字,＋,0
377,nurse,看護婦,＋,0
378,October,10月,＋,0
379,office,事務所,＋,0
380,often,よく,＋,0
381,old,古い,＋,0
382,on,【場所】の上に,＋,0
383,one,1,＋,0
384,only,～だけ,＋,0
385,open,を開ける,＋,0
386,other,他の,＋,0
387,our,私たちの,＋,0
388,ours,私たちのもの,＋,0
389,out,外に,＋,0
390,outside,外で,＋,0
391,over,向こうへ,＋,0
392,pm,午後,＋,0
393,painting,絵をかくこと,＋,0
394,parent,親,＋,0
395,park,公園,＋,0
396,pass,を通り過ぎる,＋,0
397,pencil,鉛筆,＋,0
398,people,人々,＋,0
399,perform,演じる,＋,0
400,period,期間、時間,＋,0
401,pick,を摘む,＋,0
402,picture,絵、写真,＋,0
403,pig,ブタ,＋,0
404,place,場所,＋,0
405,plan,を計画する,＋,0
406,play,を演奏する,＋,0
407,play,を演じる,＋,0
408,player,選手,＋,0
409,pleasure,喜び,＋,0
410,police,警察官,＋,0
411,poor,貧しい,＋,0
412,popular,人気のある,＋,0
413,practice,を練習する,＋,0
414,practice,練習,＋,0
415,problem,問題,＋,0
416,purple,紫色,＋,0
417,put,を置く,＋,0
418,queen,女王,＋,0
419,question,質問,＋,0
420,quickly,すぐに,＋,0
421,quiet,静かな,＋,0
422,rabbit,ウサギ,＋,0
423,rainy,雨降りの,＋,0
424,read,を読む,＋,0
425,reading,読書,＋,0
426,really,本当に、実際に,＋,0
427,red,赤,＋,0
428,rest,休息,＋,0
429,rice,米、ご飯,＋,0
430,rich,金持ちの,＋,0
431,ride,乗る,＋,0
432,right,右,＋,0
433,right,正しい,＋,0
434,river,川,＋,0
435,role,役、役割,＋,0
436,room,部屋,＋,0
437,round,丸い,＋,0
438,ruler,定規,＋,0
439,run,走る,＋,0
440,sad,悲しい,＋,0
441,said,言った（過去形）,＋,0
442,salad,サラダ,＋,0
443,Saturday,土曜日,＋,0
444,saw,見た（過去形）,＋,0
445,say,を言う,＋,0
446,school,学校,＋,0
447,science,科学,＋,0
448,scientist,科学者,＋,0
449,sea,海,＋,0
450,season,季節,＋,0
451,second,2番目,＋,0
452,see,を見る,＋,0
453,see,が分かる,＋,0
454,see,に会う,＋,0
455,sell,を売る,＋,0
456,September,9月,＋,0
457,seven,7,＋,0
458,seventeen,17,＋,0
459,seventy,70,＋,0
460,she,彼女は,＋,0
461,sheep,ヒツジ,＋,0
462,ship,船,＋,0
463,shoe,くつ,＋,0
464,shop,店,＋,0
465,shopping,買物,＋,0
466,short,短い,＋,0
467,shoulder,肩,＋,0
468,show,を見せる,＋,0
469,shy,恥ずかしがりの,＋,0
470,sick,病気の,＋,0
471,sing,を歌う,＋,0
472,singer,歌手,＋,0
473,sister,姉妹,＋,0
474,sit,座る,＋,0
475,six,6,＋,0
476,sixteen,16,＋,0
477,sixth,6番目,＋,0
478,sixty,60,＋,0
479,sleep,眠る,＋,0
480,small,小さい,＋,0
481,smile,ほほえむ,＋,0
482,snake,ヘビ,＋,0
483,snow,雪,＋,0
484,snowy,雪の降る,＋,0
485,some,いくつかの,＋,0
486,something,なにか,＋,0
487,sometimes,ときどき,＋,0
488,song,歌,＋,0
489,soon,すぐに,＋,0
490,sound,に聞こえる,＋,0
491,soup,スープ,＋,0
492,speak,を話す,＋,0
493,special,特別の,＋,0
494,speech,演説,＋,0
495,spell,をつづる,＋,0
496,spend,を過ごす,＋,0
497,spring,春,＋,0
498,stand,立つ,＋,0
499,star,星,＋,0
500,station,駅,＋,0
501,stay,滞在する,＋,0
502,still,まだ,＋,0
503,stop,止める,＋,0
504,straight,真っすぐに,＋,0
505,street,通り,＋,0
506,strong,強い,＋,0
507,student,生徒,＋,0
508,study,を勉強する,＋,0
509,subject,教科、科目,＋,0
510,subway,地下鉄,＋,0
511,summer,夏,＋,0
512,Sunday,日曜日,＋,0
513,sunny,晴れの,＋,0
514,supermarket,スーパーマーケット,＋,0
515,sure,もちろん,＋,0
516,sure,確信して,＋,0
517,surprise,驚くべきこと,＋,0
518,sweet,甘い,＋,0
519,swim,泳ぐ,＋,0
520,swimming,水泳,＋,0
521,table,つくえ,＋,0
522,take,を撮る,＋,0
523,take,に乗る,＋,0
524,talk,話す,＋,0
525,teach,教える,＋,0
526,teacher,先生、教師,＋,0
527,telephone,電話,＋,0
528,tell,に話す,＋,0
529,temple,寺,＋,0
530,ten,10,＋,0
531,tenth,10番目,＋,0
532,textbook,教科書,＋,0
533,thank,に感謝する,＋,0
534,that,あの,＋,0
535,that,あれ,＋,0
536,the,その,＋,0
537,theater,劇場,＋,0
538,their,彼らの,＋,0
539,theirs,彼らのもの,＋,0
540,them,彼らを,＋,0
541,there,そこに,＋,0
542,these,これらの,＋,0
543,they,彼らは,＋,0
544,thing,もの、こと,＋,0
545,think,考える,＋,0
546,third,3番目,＋,0
547,thirteen,13,＋,0
548,thirty,30,＋,0
549,this,これ,＋,0
550,this,この,＋,0
551,those,あれらの,＋,0
552,thousand,千,＋,0
553,three,3,＋,0
554,Thursday,木曜日,＋,0
555,tiger,トラ,＋,0
556,time,時間,＋,0
557,tired,疲れた,＋,0
558,to,【方向・到達】の方へ,＋,0
559,today,今日、現在,＋,0
560,together,一緒に,＋,0
561,told,に伝えた,＋,0
562,tomorrow,明日,＋,0
563,too,もまた,＋,0
564,too,～すぎる,＋,0
565,took,撮った,＋,0
566,tooth,歯,＋,0
567,touch,にさわる,＋,0
568,towel,タオル,＋,0
569,tower,塔,＋,0
570,town,町,＋,0
571,traditional,伝統的な,＋,0
572,train,列車,＋,0
573,trash,ごみ、くず,＋,0
574,travel,旅行,＋,0
575,tree,木,＋,0
576,trip,旅行,＋,0
577,try,を試す,＋,0
578,Tuesday,火曜日,＋,0
579,turn,順番,＋,0
580,turn,向く、曲がる,＋,0
581,twelfth,12番目,＋,0
582,twelve,12,＋,0
583,twentieth,20番目,＋,0
584,twenty,20,＋,0
585,two,2,＋,0
586,umbrella,傘,＋,0
587,under,下の,＋,0
588,understand,を理解する,＋,0
589,up,上へ,＋,0
590,work,仕事,＋,0
591,so,とても,＋,0
592,use,使う,＋,0
593,want,欲しい,＋,0
594,very,非常に,＋,0
595,learn,学ぶ,＋,0
596,letter,手紙,＋,0
597,yesterday,昨日,＋,0
598,usually,普段、ふつう,＋,0
599,where,どこ,＋,0
600,diary,日記,＋,0
601,floor,階,＋,0
602,wait,待つ,＋,0
603,west,西,＋,0
604,arrive,到着する,＋,0
605,already,すでに,＋,0
606,slowly,ゆっくりと,＋,0
607,yet,まだ,＋,0
608,warm,温暖な,＋,0
609,stamp,切手,＋,0
610,plane,飛行機,＋,0
611,doll,人形,＋,0
612,uncle,おじ,＋,0
613,aunt,おば,＋,0
614,clerk,店員,＋,0
615,church,教会,＋,0
616,village,町、村,＋,0
617,honest,正直な,＋,0
618,east,東,＋,0
619,south,南,＋,0
620,north,北,＋,0
621,hat,帽子,＋,0
622,ear,耳,＋,0
623,people,人々,＋,0
624,king,王様,＋,0
625,talk,話す,＋,0
626,art,芸術,＋,0
627,question,質問,＋,0
628,each,各々,＋,0
629,think,考える,＋,0
630,sit,座る,＋,0
631,see,見る,＋,0
632,tea,お茶,＋,0
633,ice,氷,＋,0
634,take,連れて行く,＋,0
635,take,取る,＋,0
636,tell,伝える,＋,0
637,well,健康な,＋,0
638,important,重要な,＋,0
639,teach,教える,＋,0
640,sea,海,＋,0
641,grandfather,祖父,＋,0
642,language,言語,＋,0
643,listen,聴く,＋,0
644,join,参加する,＋,0
645,difficult,難しい,＋,0
646,eye,目,＋,0
647,understand,理解する,＋,0
648,interesting,面白い,＋,0
649,word,言葉,＋,0
650,hope,望む,＋,0
651,mountain,山,＋,0
652,practice,練習する,＋,0
653,mean,意味する,＋,0
654,sure,確信して,＋,0
655,set,置く,＋,0
656,popular,人気の,＋,0
657,market,市場,＋,0
658,foot,足,＋,0
659,animal,動物,＋,0
660,leg,脚,＋,0
661,child,子供,＋,0
662,history,歴史,＋,0
663,spend,費やす,＋,0
664,become,～になる,＋,0
665,useful,役に立つ,＋,0
666,tired,疲れて,＋,0
667,lake,湖,＋,0
668,river,川,＋,0
669,fun,楽しみ,＋,0
670,date,日付,＋,0
671,forget,忘れる,＋,0
672,climb,登る,＋,0
673,feel,感じる,＋,0
674,throw,投げる,＋,0
675,fall,落ちる,＋,0
676,museum,博物館,＋,0
677,dictionary,辞書,＋,0
678,nose,鼻,＋,0
679,dish,皿,＋,0
680,vegetable,野菜,＋,0
681,tooth,歯,＋,0
682,vacation,休暇,＋,0
683,math,数学,＋,0
684,grandmother,祖母,＋,0
685,eraser,消しゴム,＋,0
686,sleep,眠る,＋,0
687,draw,描く,＋,0
688,worry,心配させる,＋,0
689,happen,起こる,＋,0
690,borrow,借りる,＋,0
691,bring,持って来る,＋,0
692,farm,農場,＋,0
693,heart,心,＋,0
694,water,水,＋,0
695,island,島,＋,0
696,hundred,百,＋,0
697,mouth,口,＋,0
698,bath,風呂,＋,0
699,police,警察,＋,0
700,thousand,千,＋,0
701,textbook,教科書,＋,0
702,horse,馬,＋,0
703,roof,屋根,＋,0
704,pond,池,＋,0
705,nature,自然,＋,0
706,beef,牛肉,＋,0
707,rabbit,ウサギ,＋,0
708,shoulder,肩,＋,0
709,pig,ブタ,＋,0
710,bear,クマ,＋,0
711,farmer,農家,＋,0
712,excuse,許す,＋,0
713,pick,選ぶ,＋,0
714,brown,茶色の,＋,0
715,rainy,雨降りの,＋,0
716,quiet,静かな,＋,0
717,cloudy,曇った,＋,0
718,busy,忙しい,＋,0
719,honest,正直な,＋,0
720,poor,貧乏な,＋,0
721,hungry,空腹の,＋,0
722,fine,元気な，晴れた,＋,0
723,south,南,＋,0
724,north,北,＋,0
725,about,およそ、約、ごろ,＋,0
726,be about to,今にもしようとしている,＋,0
727,abroad,外国に、海外に,＋,0
728,from abroad,外国から,＋,0
729,absent,欠席の,＋,0
730,according to,によれば,＋,0
731,across,横断して,＋,0
732,action,行動,＋,0
733,add,加える,＋,0
734,advice,忠告,＋,0
735,advise,助言する,＋,0
736,afraid,こわがって,＋,0
737,be afraid to,するのがこわい,＋,0
738,after,～の後に,＋,0
739,after,にならって、ちなんで,＋,0
740,after all,結局,＋,0
741,age,時代,＋,0
742,ago,～の前に,＋,0
743,air conditioner,冷房,＋,0
744,airplane,飛行機,＋,0
745,airport,空港,＋,0
746,alive,生きて,＋,0
747,all,全ての、全部の,＋,0
748,alone,独りで,＋,0
749,among,の中で,＋,0
750,ancient,古代の,＋,0
751,angle,角度,＋,0
752,angry,怒って,＋,0
753,another,もう1つ、一人の,＋,0
754,answer,に答える,＋,0
755,apologize,謝る,＋,0
756,appear,現れる,＋,0
757,are,ある、いる,＋,0
758,arm,腕,＋,0
759,arrive,到着する,＋,0
760,arrive at,に到着する,＋,0
761,article,記事,＋,0
762,as,のような,＋,0
763,as for,について言えば,＋,0
764,ask,をたのむ,＋,0
765,aunt,おば,＋,0
766,away,なくなって,＋,0
767,baby,赤ん坊,＋,0
768,barrier,障壁,＋,0
769,be,ある、いる,＋,0
770,beauty,美しさ、美,＋,0
771,because,だから、なので,＋,0
772,because of,が理由で,＋,0
773,beer,ビール,＋,0
774,before,する前に,＋,0
775,before,以前に,＋,0
776,began,始めた,＋,0
777,begin,を始める,＋,0
778,begin to,し始める,＋,0
779,believe,信じる,＋,0
780,beside,の側に,＋,0
781,best,最も良い,＋,0
782,better,より良い,＋,0
783,between,と～の間で,＋,0
784,bill,請求書,＋,0
785,bored,退屈した,＋,0
786,both,両方,＋,0
787,bridge,橋,＋,0
788,bright,明るい,＋,0
789,build,を建てる,＋,0
790,building,建物,＋,0
791,built,を建てた,＋,0
792,burn,を燃やす,＋,0
793,business,商売,＋,0
794,by,によって,＋,0
795,by,までに,＋,0
796,by,通り過ぎて,＋,0
797,little by little,少しずつ,＋,0
798,Bye for now,さようなら,＋,0
799,call,に電話をかける,＋,0
800,call,通話,＋,0
801,call back,折り返し電話する,＋,0
802,can,することがあり得る,＋,0
803,candle,ろうそく,＋,0
804,capital,首都,＋,0
805,care,気にする,＋,0
806,career,職業,＋,0
807,carefully,注意深く,＋,0
808,carpet,じゅうたん,＋,0
809,carry,を運ぶ,＋,0
810,case,場合,＋,0
811,catch,を捕まえる,＋,0
812,century,世紀,＋,0
813,certainly,承知しました,＋,0
814,chain,くさり,＋,0
815,change,変わる,＋,0
816,change,を変える,＋,0
817,change trains,電車を乗りかえる,＋,0
818,check,を調べる,＋,0
819,check,検査,＋,0
820,childhood,子供のころ,＋,0
821,Chinese,中国語,＋,0
822,circle,円,＋,0
823,citizen,市民,＋,0
824,clearly,はっきりと,＋,0
825,clerk,店員,＋,0
826,clever,利口な,＋,0
827,close,閉じる,＋,0
828,cloth,布,＋,0
829,cloud,雲,＋,0
830,coin,硬貨,＋,0
831,college,大学,＋,0
832,come,になる,＋,0
833,come from,出身である,＋,0
834,comedy,喜劇,＋,0
835,common,共通の,＋,0
836,communicate,連絡する,＋,0
837,company,会社,＋,0
838,conference,会議,＋,0
839,connect,を結びつける,＋,0
840,contact,接触,＋,0
841,content,中身,＋,0
842,continue,を続ける,＋,0
843,convenience,便利,＋,0
844,corner,かど,＋,0
845,Could you?,してくださいませんか？,＋,0
846,couple,夫婦,＋,0
847,create,を創造する,＋,0
848,cry,泣く,＋,0
849,cultural,文化の,＋,0
850,culture,文化,＋,0
851,customer,顧客,＋,0
852,cut,切る,＋,0
853,damage,に損害を与える,＋,0
854,decide,を決める,＋,0
855,decrease,減少する,＋,0
856,deep,深い,＋,0
857,delivery,配達,＋,0
858,develop,を発達させる,＋,0
859,die,死ぬ,＋,0
860,different,異なる,＋,0
861,dinosaur,恐竜,＋,0
862,directly,直接に,＋,0
863,disabled,体の不自由な,＋,0
864,disappear,姿を消す、消滅する,＋,0
865,discover,発見する,＋,0
866,dislike,嫌う,＋,0
867,do,暮らす,＋,0
868,drive,運転する,＋,0
869,dry,乾く,＋,0
870,early,早く,＋,0
871,earn,をかせぐ,＋,0
872,Earth,地球,＋,0
873,east,東,＋,0
874,easy,簡単な,＋,0
875,effectively,効果的に,＋,0
876,effort,努力,＋,0
877,elderly,年配の,＋,0
878,end,終わる,＋,0
879,enough,十分な、必要なだけの,＋,0
880,enter,入る,＋,0
881,envelope,封筒,＋,0
882,especially,特に、とりわけ,＋,0
883,even,でさえ,＋,0
884,eventually,最後には,＋,0
885,everything,何でも,＋,0
886,everywhere,どこでも,＋,0
887,example,例、実例,＋,0
888,for example,例えば,＋,0
889,exhibition,展示,＋,0
890,experience,を経験する,＋,0
891,experience,経験、体験,＋,0
892,explain,を説明する,＋,0
893,face,に直面する,＋,0
894,facility,施設、設備,＋,0
895,factory,工場,＋,0
896,fail,失敗する,＋,0
897,far,遠くに,＋,0
898,ask a favor,にお願いする,＋,0
899,feature,特色,＋,0
900,feedback,意見,＋,0
901,feel like ~ing,したい気がする,＋,0
902,few,少しの,＋,0
903,a few,少数の,＋,0
904,fiction,小説,＋,0
905,find,を発見する,＋,0
906,finger,手の指,＋,0
907,finish,を終える,＋,0
908,fire,火,＋,0
909,flour,小麦粉,＋,0
910,fly,飛ぶ,＋,0
911,follow,に従う,＋,0
912,fool,馬鹿,＋,0
913,foolish,愚かな,＋,0
914,for,にとって,＋,0
915,forest,森、森林,＋,0
916,fossil,化石,＋,0
917,found,を見つけた,＋,0
918,found,を創立する,＋,0
919,free,自由な,＋,0
920,freedom,自由,＋,0
921,front,前、前方,＋,0
922,in front of,の前に,＋,0
923,full,完全な、完ぺきな、最適な,＋,0
924,in full,全部,＋,0
925,future,未来,＋,0
926,in the future,将来に,＋,0
927,gather,を集める,＋,0
928,general,一般的な,＋,0
929,gift,贈り物,＋,0
930,glacier,氷河,＋,0
931,glad,うれしい,＋,0
932,be going to,するつもりだ,＋,0
933,go out,外出する,＋,0
934,go by,通り過ぎる,＋,0
935,grand,壮大な,＋,0
936,graph,図表,＋,0
937,grass,草,＋,0
938,great,偉大な、すぐれた,＋,0
939,ground,地面,＋,0
940,grow,成長する,＋,0
941,guest,客,＋,0
942,guide,案内人,＋,0
943,gun,鉄砲,＋,0
944,half,半分だけ,＋,0
945,happiness,幸福,＋,0
946,has to,しなければならない,＋,0
947,have to,しなければならない,＋,0
948,don't have to,しなくてよい,＋,0
949,health,健康,＋,0
950,hear,聞く,＋,0
951,hear of,について聞く,＋,0
952,heard,聞いた,＋,0
953,heavy,重い,＋,0
954,held,開催した,＋,0
955,helpful,役に立つ,＋,0
956,heritage,遺産,＋,0
957,herself,彼女自身,＋,0
958,hill,丘,＋,0
959,himself,彼自身を,＋,0
960,hobby,趣味,＋,0
961,hold,をつかむ,＋,0
962,hold,を開く、行う,＋,0
963,hole,穴,＋,0
964,holiday,休日、休暇,＋,0
965,horror,恐怖,＋,0
966,host,主人,＋,0
967,hour,時刻,＋,0
