expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
beach,beach,word,砂浜すなはま,砂浜すなはま,junior_high,1,5,5;4,,5:363;4:561,2
bean,bean,word,豆まめ,豆まめ,junior_high,1,5,5;4,,5:254;4:703,2
bear,bear,word,クマ,クマ / 我慢する，を圧迫する,junior_high,1,5,5;4;pre2;2,動詞,5:208;4:411;pre2:271;2:1738,4
beautiful,beautiful,word,美うつくしい,美うつくしい,junior_high,1,5,5;4,,5:558;4:293,2
beef,beef,word,牛肉ぎゅうにく,牛肉ぎゅうにく,junior_high,1,5,5;4,,5:222;4:633,2
best,best,word,一番いちばん良よい,一番いちばん良よい,junior_high,1,5,5;4,,5:179;4:439,2
bicycle,bicycle,word,自転車じてんしゃ,自転車じてんしゃ,junior_high,1,5,5;4,,5:490;4:650,2
big,big,word,大おおきい,大おおきい,junior_high,1,5,5;4,,5:84;4:450,2
bike,bike,word,自転車じてんしゃ,自転車じてんしゃ,junior_high,1,5,5;4,,5:256;4:579,2
bird,bird,word,鳥とり,鳥とり,junior_high,1,5,5;4,,5:176;4:445,2
birthday,birthday,word,誕生日たんじょうび,誕生日たんじょうび,junior_high,1,5,5;4,,5:536;4:555,2
black,black,word,黒くろい,黒くろい,junior_high,1,5,5;4,,5:307;4:479,2
blue,blue,word,青あおい,青あおい,junior_high,1,5,5;4,,5:168;4:478,2
body,body,word,身体からだ,身体からだ,junior_high,1,5,5;4,,5:204;4:523,2
book,book,word,本ほん,本ほん,junior_high,1,5,5;4,,5:142;4:599,2
bookstore,bookstore,word,本屋ほんや,本屋ほんや,junior_high,1,5,5;4,,5:578;4:420,2
box,box,word,箱はこ,箱はこ,junior_high,1,5,5;4,,5:61;4:507,2
boy,boy,word,少年しょうねん,少年しょうねん,junior_high,1,5,5;4,,5:60;4:534,2
bread,bread,word,パン,パン,junior_high,1,5,5;4;3,名詞,5:299;4:489;3:596,3
breakfast,breakfast,word,朝食ちょうしょく,朝食ちょうしょく,junior_high,1,5,5;4;3,名詞,5:562;4:681;3:477,3
bridge,bridge,word,橋はし,橋はし,junior_high,1,5,5;4;3,名詞,5:437;4:367;3:771,3
brother,brother,word,兄弟きょうだい,兄弟きょうだい,junior_high,1,5,5;4,,5:480;4:437,2
brown,brown,word,茶色ちゃいろの,茶色ちゃいろの,junior_high,1,5,5;4,,5:320;4:690,2
brush,brush,word,をみがく,をみがく / を磨みがく,junior_high,1,5,5;4;3,動詞,5:353;4:576;3:475,3
busy,busy,word,忙いそがしい,忙いそがしい,junior_high,1,5,5;4;3,形容詞,5:169;4:644;3:320,3
buy,buy,word,買かう,買かう,junior_high,1,5,5;4;3,動詞,5:66;4:283;3:343,3
by,by,word,のそばに、によって,のそばに、によって,junior_high,1,5,5;4;3,前置詞,5:23;4:237;3:61,3
cake,cake,word,ケーキ,ケーキ,junior_high,1,5,5;4,,5:153;4:220,2
can,can,word,～できる,～できる,junior_high,1,5,5;4,,5:100;4:407,2
cap,cap,word,帽子ぼうし,帽子ぼうし,junior_high,1,5,5;4,,5:64;4:583,2
car,car,word,自動車じどうしゃ,自動車じどうしゃ,junior_high,1,5,5;4,,5:54;4:399,2
cat,cat,word,猫ねこ,猫ねこ,junior_high,1,5,5;4,,5:74;4:494,2
chair,chair,word,椅子いす,椅子いす,junior_high,1,5,5;4,,5:263;4:492,2
chicken,chicken,word,鶏肉とりにく,鶏肉とりにく,junior_high,1,5,5;4,,5:494;4:622,2
city,city,word,市し,市し,junior_high,1,5,5;4,,5:164;4:713,2
classmate,classmate,word,同級生どうきゅうせい,同級生どうきゅうせい,junior_high,1,5,5;4,,5:579;4:556,2
classroom,classroom,word,教室きょうしつ,教室きょうしつ,junior_high,1,5,5;4,,5:571;4:608,2
clean,clean,word,きれいな,きれいな,junior_high,1,5,5;4;3,形容詞,5:343;4:563;3:265,3
clock,clock,word,置おき時計どけい,置おき時計どけい,junior_high,1,5,5;4;3,名詞,5:335;4:532;3:138,3
clothes,clothes,word,服ふく,服ふく,junior_high,1,5,5;4;3,名詞,5:493;4:400;3:204,3
cloudy,cloudy,word,曇くもった,曇くもった,junior_high,1,5,5;4;3,形容詞,5:430;4:207;3:323,3
cold,cold,word,冷つめたい,冷つめたい,junior_high,1,5,5;4;3,形容詞,5:132;4:456;3:260,3
color,color,word,色いろ,色いろ,junior_high,1,5,5;4;3,名詞,5:267;4:605;3:631,3
cook,cook,word,料理りょうりする,料理りょうりする,junior_high,1,5,5;4;3,動詞,5:155;4:546;3:147,3
cool,cool,word,かっこいい，すずしい,かっこいい，すずしい / かっこいい、すずしい,junior_high,1,5,5;4,,5:159;4:651,2
country,country,word,国くに,国くに,junior_high,1,5,5;4;3,名詞,5:477;4:418;3:392,3
cow,cow,word,ウシ,ウシ,junior_high,1,5,5;4,,5:73;4:419,2
cup,cup,word,カップ,カップ,junior_high,1,5,5;4,,5:51;4:692,2
cute,cute,word,可愛かわいい,可愛かわいい,junior_high,1,5,5;4,,5:246;4:597,2
date,date,word,日付ひづけ,日付ひづけ,junior_high,1,5,5;4;3,名詞,5:211;4:590;3:446,3
day,day,word,日ひ,日ひ,junior_high,1,5,5;4,,5:56;4:577,2
December,december,word,１２月がつ,１２月がつ,junior_high,1,5,5;4,,5:522;4:368,2
delicious,delicious,word,おいしい,おいしい / 美味おいしい,junior_high,1,5,5;4;3,形容詞,5:576;4:276;3:65,3
desk,desk,word,机つくえ,机つくえ,junior_high,1,5,5;4,,5:185;4:296,2
dictionary,dictionary,word,辞書じしょ,辞書じしょ,junior_high,1,5,5;4;3,名詞,5:589;4:673;3:120,3
different,different,word,違ちがった,違ちがった,junior_high,1,5,5;4;3,形容詞,5:574;4:61;3:28,3
difficult,difficult,word,難むずかしい,難むずかしい,junior_high,1,5,5;4;3,形容詞,5:568;4:521;3:125,3
dinner,dinner,word,夕食ゆうしょく,夕食ゆうしょく,junior_high,1,5,5;4;3,名詞,5:398;4:421;3:480,3
dish,dish,word,皿さら,皿さら,junior_high,1,5,5;4,,5:197;4:501,2
do,do,word,する,する,junior_high,1,5,5;4,,5:4;4:252,2
doctor,doctor,word,医者いしゃ,医者いしゃ,junior_high,1,5,5;4;3,名詞,5:411;4:364;3:518,3
dog,dog,word,イヌ,イヌ,junior_high,1,5,5;4,,5:67;4:652,2
down,down,word,下したに,下したに,junior_high,1,5,5;4,,5:247;4:433,2
drama,drama,word,劇げき,劇げき,junior_high,1,5,5;4,,5:376;4:685,2
draw,draw,word,描えがく,描えがく / 描く，引っ張る,junior_high,1,5,5;4;3;pre2;2,動詞,5:202;4:106;3:315;pre2:521;2:897,5
dream,dream,word,夢ゆめ,夢ゆめ,junior_high,1,5,5;4,,5:328;4:424,2
drink,drink,word,飲のむ,飲のむ,junior_high,1,5,5;4,,5:271;4:217,2
drum,drum,word,太鼓たいこ,太鼓たいこ,junior_high,1,5,5;4,,5:251;4:392,2
ear,ear,word,耳みみ,耳みみ,junior_high,1,5,5;4,,5:94;4:515,2
easy,easy,word,簡単かんたんな,簡単かんたんな,junior_high,1,5,5;4,,5:175;4:480,2
eat,eat,word,食たべる,食たべる,junior_high,1,5,5;4,,5:44;4:477,2
egg,egg,word,卵たまご,卵たまご,junior_high,1,5,5;4,,5:80;4:527,2
eight,eight,word,8,8,junior_high,1,5,5;4,,5:315;4:371,2
eighteen,eighteen,word,18,18,junior_high,1,5,5;4,,5:516;4:257,2
eighty,eighty,word,80,80,junior_high,1,5,5;4,,5:410;4:449,2
eleven,eleven,word,11,11,junior_high,1,5,5;4,,5:395;4:655,2
English,english,word,英語えいご,英語えいご,junior_high,1,5,5;4,,5:492;4:569,2
enjoy,enjoy,word,楽たのしむ,楽たのしむ,junior_high,1,5,5;4;3,動詞,5:289;4:369;3:12,3
evening,evening,word,夕方ゆうがた,夕方ゆうがた,junior_high,1,5,5;4,,5:489;4:401,2
event,event,word,出来事できごと,出来事できごと,junior_high,1,5,5;4,,5:351;4:211,2
everyone,everyone,word,みんな,みんな,junior_high,1,5,5;4;3,代名詞,5:525;4:278;3:459,3
exciting,exciting,word,興奮こうふんさせる,興奮こうふんさせる,junior_high,1,5,5;4;3,形容詞,5:539;4:42;3:160,3
excuse,excuse,word,許ゆるす,許ゆるす / 言い訳，弁解/を許す,junior_high,1,5,5;4;3;pre2;2,動詞;名詞,5:445;4:612;3:1209;pre2:340;2:175,5
eye,eye,word,目め,目め,junior_high,1,5,5;4,,5:102;4:706,2
face,face,word,顔かお,顔かお / 直面する/顔,junior_high,1,5,5;4;3;pre2;2,名詞;動詞,5:217;4:55;3:150;pre2:994;2:1172,5
fall,fall,word,落おちる，降おりる,落おちる，降おりる / 落おちる,junior_high,1,5,5;4;3,動詞,5:205;4:83;3:1023,3
family,family,word,家族かぞく,家族かぞく,junior_high,1,5,5;4,,5:402;4:241,2
famous,famous,word,有名ゆうめいな,有名ゆうめいな / 有名な，著名な,junior_high,1,5,5;4;3;pre2;2,形容詞,5:427;4:272;3:1;pre2:811;2:1885,5
farmer,farmer,word,農家のうか,農家のうか,junior_high,1,5,5;4;3,名詞,5:438;4:126;3:605,3
fast,fast,word,速はやい,速はやい,junior_high,1,5,5;4;3,形容詞,5:161;4:263;3:505,3
father,father,word,父親ちちおや,父親ちちおや,junior_high,1,5,5;4,,5:381;4:28,2
favorite,favorite,word,お気きに入いりの,お気きに入いりの / 特に好きな，お気に入りの,junior_high,1,5,5;4;3;pre2;2,形容詞,5:529;4:289;3:13;pre2:205;2:1928,5
February,february,word,2月がつ,2月がつ,junior_high,1,5,5;4;3,名詞,5:517;4:310;3:447,3
festival,festival,word,祭まつり,祭まつり,junior_high,1,5,5;4;3,名詞,5:538;4:247;3:72,3
fifteen,fifteen,word,15,15,junior_high,1,5,5;4,,5:481;4:295,2
fifty,fifty,word,50,50,junior_high,1,5,5;4,,5:280;4:273,2
fine,fine,word,元気げんきな、晴はれた,元気げんきな、晴はれた,junior_high,1,5,5;4,,5:125;4:431,2
first,first,word,1番目ばんめ,1番目ばんめ,junior_high,1,5,5;4,,5:346;4:153,2
fish,fish,word,魚さかな,魚さかな,junior_high,1,5,5;4,,5:138;4:29,2
five,five,word,5,5,junior_high,1,5,5;4,,5:156;4:27,2
flower,flower,word,花はな,花はな,junior_high,1,5,5;4,,5:399;4:306,2
food,food,word,食べ物たべもの,食べ物たべもの / 食たべ物もの,junior_high,1,5,5;4;3,名詞,5:231;4:242;3:261,3
for,for,word,のために,のために,junior_high,1,5,5;4,,5:106;4:298,2
forty,forty,word,40,40,junior_high,1,5,5;4,,5:312;4:250,2
four,four,word,4,4,junior_high,1,5,5;4,,5:149;4:299,2
fourteen,fourteen,word,14,14,junior_high,1,5,5;4,,5:513;4:214,2
Friday,friday,word,金曜日きんようび,金曜日きんようび,junior_high,1,5,5;4;3,名詞,5:401;4:284;3:413,3
friend,friend,word,友達ともだち,友達ともだち,junior_high,1,5,5;4,,5:412;4:224,2
frog,frog,word,カエル,カエル,junior_high,1,5,5;4,,5:237;4:227,2
from,from,word,～から,～から,junior_high,1,5,5;4,,5:250;4:281,2
fruit,fruit,word,果物くだもの,果物くだもの,junior_high,1,5,5;4,,5:257;4:213,2
fun,fun,word,楽たのしみ,楽たのしみ,junior_high,1,5,5;4;3,名詞,5:89;4:300;3:276,3
funny,funny,word,可笑おかしい,可笑おかしい,junior_high,1,5,5;4,,5:361;4:246,2
future,future,word,未来みらい,未来みらい,junior_high,1,5,5;4;3,名詞,5:448;4:35;3:610,3
garbage,garbage,word,ゴミ,ゴミ / 生ゴミ，くず,junior_high,1,5,5;4;pre2;2,名詞,5:473;4:236;pre2:1420;2:392,4
get,get,word,得える,得える,junior_high,1,5,5;4;3,動詞,5:57;4:308;3:151,3
girl,girl,word,少女しょうじょ,少女しょうじょ,junior_high,1,5,5;4,,5:191;4:287,2
go,go,word,行いく,行いく,junior_high,1,5,5;4,,5:15;4:253,2
good,good,word,良よい,良よい,junior_high,1,5,5;4,,5:192;4:239,2
grandfather,grandfather,word,祖父そふ,祖父そふ,junior_high,1,5,5;4;3,名詞,5:599;4:549;3:277,3
grandmother,grandmother,word,祖母そぼ,祖母そぼ,junior_high,1,5,5;4;3,名詞,5:597;4:102;3:516,3
grape,grape,word,ブドウ,ブドウ,junior_high,1,5,5;4,,5:356;4:297,2
great,great,word,素晴すばらしい、広大こうだいな,素晴すばらしい、広大こうだいな,junior_high,1,5,5;4,,5:333;4:244,2
green,green,word,緑みどり,緑みどり,junior_high,1,5,5;4,,5:279;4:234,2
guess,guess,word,推測すいそくする,推測すいそくする / 推測する，予想する,junior_high,1,5,5;4;3;pre2;2,動詞,5:355;4:210;3:166;pre2:721;2:1743,5
hand,hand,word,手て,手て,junior_high,1,5,5;4;3,名詞,5:158;4:304;3:387,3
happy,happy,word,幸福こうふくな,幸福こうふくな,junior_high,1,5,5;4,,5:281;4:282,2
hard,hard,word,一生懸命いっしょうけんめいに,一生懸命いっしょうけんめいに / 固かたい,junior_high,1,5,5;4;3,副詞,5:243;5:244;4:465;3:310,4
hat,hat,word,帽子ぼうし,帽子ぼうし,junior_high,1,5,5;4;3,名詞,5:99;4:405;3:479,3
have,have,word,持もっている,持もっている,junior_high,1,5,5;4,,5:139;4:285,2
he,he,word,彼かれは,彼かれは / 彼は,junior_high,1,5,5;4,,5:7;4:205,2
head,head,word,頭あたま,頭あたま,junior_high,1,5,5;4;3,名詞,5:230;4:256;3:386,3
heart,heart,word,心こころ,心こころ,junior_high,1,5,5;4;3,名詞,5:323;4:91;3:1124,3
help,help,word,助たすける,助たすける,junior_high,1,5,5;4,,5:172;4:233,2
here,here,word,ここに,ここに,junior_high,1,5,5;4;3,副詞,5:129;4:235;3:468,3
homework,homework,word,宿題しゅくだい,宿題しゅくだい,junior_high,1,5,5;4,,5:519;4:260,2
horse,horse,word,馬うま,馬うま,junior_high,1,5,5;4;3,名詞,5:340;4:642;3:637,3
hospital,hospital,word,病院びょういん,病院びょういん,junior_high,1,5,5;4;3,名詞,5:506;4:270;3:546,3
hot,hot,word,暑あつい,暑あつい,junior_high,1,5,5;4,,5:53;4:243,2
house,house,word,家いえ,家いえ,junior_high,1,5,5;4,,5:297;4:301,2
how,how,word,どのぐらい,どのぐらい,junior_high,1,5,5;4;3,副詞,5:31;4:198;3:238,3
hundred,hundred,word,百ひゃく,百ひゃく,junior_high,1,5,5;4;3,名詞,5:496;4:97;3:902,3
hungry,hungry,word,空腹くうふくの,空腹くうふくの,junior_high,1,5,5;4;3,形容詞,5:385;4:670;3:466,3
I,i,word,私わたしは,私わたしは,junior_high,1,5,5;4,,5:1;4:22,2
in,in,word,中なかに,中なかに,junior_high,1,5,5;4,,5:5;4:537,2
interesting,interesting,word,面白おもしろい,面白おもしろい,junior_high,1,5,5;4;3,形容詞,5:598;4:46;3:287,3
is,is,word,ある、いる,ある、いる,junior_high,1,5,5;4,,5:14;4:632,2
island,island,word,島しま,島しま / 島，島々,junior_high,1,5,5;4;3;2,名詞,5:444;4:103;3:666;2:888,4
it,it,word,それは,それは,junior_high,1,5,5;4,,5:8;4:171;4:204,3
January,january,word,1月がつ,1月がつ,junior_high,1,5,5;4,,5:463;4:389,2
Japan,japan,word,日本にほん,日本にほん,junior_high,1,5,5;4,,5:283;4:393,2
Japanese,japanese,word,日本人にほんじん,日本人にほんじん,junior_high,1,5,5;4,,5:546;4:487,2
job,job,word,仕事しごと,仕事しごと,junior_high,1,5,5;4,,5:90;4:414,2
join,join,word,参加さんかする,参加さんかする,junior_high,1,5,5;4;3,動詞,5:207;4:457;3:19,3
July,july,word,7月がつ,7月がつ,junior_high,1,5,5;4;3,名詞,5:130;4:498;3:169,3
jump,jump,word,跳とぶ,跳とぶ,junior_high,1,5,5;4,,5:220;4:658,2
June,june,word,6月がつ,6月がつ,junior_high,1,5,5;4;3,名詞,5:181;4:656;3:106,3
kind,kind,word,種類しゅるい,種類しゅるい,junior_high,1,5,5;4;3,名詞,5:195;4:71;3:593,3
king,king,word,王様おうさま,王様おうさま,junior_high,1,5,5,,5:233,1
knee,knee,word,ひざ,ひざ / 膝,junior_high,1,5,5;4;pre2;2,名詞,5:238;4:565;pre2:681;2:365,4
know,know,word,知しっている,知しっている,junior_high,1,5,5;4;3,動詞,5:140;4:500;3:630,3
lake,lake,word,湖みずうみ,湖みずうみ,junior_high,1,5,5;4;3,名詞,5:210;4:66;3:155,3
large,large,word,大おおきい、広ひろい,大おおきい、広ひろい,junior_high,1,5,5;4;3,形容詞,5:287;4:365;3:193,3
leave,leave,word,去さる，残のこす，置おいて行いく,去さる，残のこす，置おいて行いく / 去さる、残のこす、置おいて行いく,junior_high,1,5,5;4;3,動詞,5:284;4:435;3:23,3
left,left,word,左ひだり,左ひだり,junior_high,1,5,5;4,,5:194;4:701,2
leg,leg,word,脚あし,脚あし,junior_high,1,5,5;4;3,名詞,5:86;4:77;3:1068,3
library,library,word,図書館としょかん,図書館としょかん,junior_high,1,5,5;4;3,名詞,5:474;4:647;3:43,3
life,life,word,生活せいかつ,生活せいかつ,junior_high,1,5,5;4,,5:228;4:679,2
like,like,word,好このむ,好このむ,junior_high,1,5,5;4,,5:115;4:324,2
listen,listen,word,聴きく,聴きく,junior_high,1,5,5;4,,5:441;4:144,2
live,live,word,住すむ,住すむ,junior_high,1,5,5,,5:174,1
long,long,word,長ながい,長ながい,junior_high,1,5,5;4;3,形容詞,5:116;4:684;3:492,3
look,look,word,見みる,見みる,junior_high,1,5,5;4;3,動詞,5:135;4:417;3:83,3
luck,luck,word,運うん,運うん,junior_high,1,5,5;4;3,名詞,5:241;4:586;3:316,3
lunch,lunch,word,昼食ちゅうしょく,昼食ちゅうしょく,junior_high,1,5,5;4,,5:269;4:674,2
make,make,word,作つくる、～を～にするする,作つくる、～を～にするする / 作つくる、～を～にする,junior_high,1,5,5;4;3,動詞,5:184;4:682;3:162,3
many,many,word,多おおくの,多おおくの,junior_high,1,5,5;4;3,形容詞,5:136;4:362;3:689,3
map,map,word,地図ちず,地図ちず,junior_high,1,5,5;4;3,名詞,5:58;4:544;3:226,3
March,march,word,3月がつ,3月がつ,junior_high,1,5,5;4;3,名詞,5:293;4:423;3:180,3
math,math,word,数学すうがく,数学すうがく,junior_high,1,5,5;4;3,名詞,5:199;4:531;3:184,3
May,may,word,５月がつ,５月がつ,junior_high,1,5,5;4;3,名詞,5:46;4:520;3:444,3
me,me,word,私わたしを,私わたしを,junior_high,1,5,5;4,に,5:11;4:517,2
meet,meet,word,会あう,会あう,junior_high,1,5,5;4;3,動詞,5:146;4:394;3:57,3
memory,memory,word,記憶きおく,記憶きおく,junior_high,1,5,5;4;3,名詞,5:454;4:660;3:525,3
Monday,monday,word,月曜日げつようび,月曜日げつようび,junior_high,1,5,5;4,,5:404;4:610,2
monkey,monkey,word,サル,サル,junior_high,1,5,5;4,,5:434;4:529,2
month,month,word,月つき,月つき,junior_high,1,5,5;4,,5:300;4:630,2
morning,morning,word,朝あさ,朝あさ,junior_high,1,5,5;4,,5:467;4:683,2
mother,mother,word,母はは,母はは,junior_high,1,5,5;4,,5:382;4:707,2
mountain,mountain,word,山やま,山やま,junior_high,1,5,5;4;3,名詞,5:527;4:51;3:472,3
mouse,mouse,word,ネズミ,ネズミ,junior_high,1,5,5;4,,5:325;4:709,2
mouth,mouth,word,口くち,口くち,junior_high,1,5,5;4;3,名詞,5:336;4:518;3:1144,3
much,much,word,たくさん,たくさん,junior_high,1,5,5;4,,5:128;4:568,2
museum,museum,word,博物館はくぶつかん,博物館はくぶつかん,junior_high,1,5,5;4;3,名詞,5:443;4:675;3:205,3
musician,musician,word,音楽家おんがくか,音楽家おんがくか,junior_high,1,5,5;4,,5:526;4:526,2
my,my,word,私わたしの,私わたしの,junior_high,1,5,5;4,,5:2;4:320,2
name,name,word,名前なまえ,名前なまえ,junior_high,1,5,5;4,,5:113;4:540,2
nature,nature,word,自然しぜん,自然しぜん / 自然，天然,junior_high,1,5,5;4;3;pre2;2,名詞,5:435;4:133;3:488;pre2:988;2:1433,5
never,never,word,１度どもない,１度どもない,junior_high,1,5,5;4;3,副詞,5:352;4:695;3:612,3
new,new,word,新あたらしい,新あたらしい,junior_high,1,5,5;4,,5:79;4:525,2
newspaper,newspaper,word,新聞しんぶん,新聞しんぶん,junior_high,1,5,5;4,,5:566;4:615,2
nice,nice,word,良よい,良よい,junior_high,1,5,5;4,,5:122;4:691,2
night,night,word,夜よる,夜よる,junior_high,1,5,5;4,,5:290;4:557,2
nine,nine,word,9,9,junior_high,1,5,5;4,,5:189;4:373,2
nineteen,nineteen,word,19,19,junior_high,1,5,5;4,,5:515;4:522,2
ninety,ninety,word,90,90,junior_high,1,5,5;4,,5:422;4:430,2
nose,nose,word,鼻はな,鼻はな,junior_high,1,5,5;4,,5:224;4:578,2
not,not,word,～でない,～でない,junior_high,1,5,5;4,,5:70;4:377,2
November,november,word,11月がつ,11月がつ,junior_high,1,5,5;4;3,名詞,5:520;4:415;3:562,3
number,number,word,数かず,数かず,junior_high,1,5,5;4,,5:425;4:408,2
nurse,nurse,word,看護師かんごし,看護師かんごし,junior_high,1,5,5;4,,5:274;4:506,2
October,october,word,10月がつ,10月がつ,junior_high,1,5,5;4,,5:476;4:669,2
old,old,word,古ふるい,古ふるい,junior_high,1,5,5;4,,5:34;4:582,2
on,on,word,の上うえに,の上うえに,junior_high,1,5,5;4,,5:20;4:381,2
one,one,word,一ひとつの,一ひとつの / 1つの / 1,junior_high,1,5,5;4,,5:25;5:83;4:5;4:581,4
our,our,word,私わたしたちの,私わたしたちの,junior_high,1,5,5;4,,5:35;4:545,2
out,out,word,外そとに,外そとに,junior_high,1,5,5;4,,5:109;4:665,2
park,park,word,公園こうえん,公園こうえん,junior_high,1,5,5;4,,5:151;4:493,2
pencil,pencil,word,鉛筆えんぴつ,鉛筆えんぴつ,junior_high,1,5,5;4,,5:389;4:637,2
picture,picture,word,絵え、写真しゃしん,絵え、写真しゃしん,junior_high,1,5,5;4;3,名詞,5:471;4:495;3:510,3
pig,pig,word,ブタ,ブタ,junior_high,1,5,5;4,,5:96;4:134,2
place,place,word,場所ばしょ,場所ばしょ,junior_high,1,5,5;4;3,名詞,5:277;4:600;3:103,3
play,play,word,劇げき,劇げき,junior_high,1,5,5;4,,5:171;4:455,2
player,player,word,選手せんしゅ,選手せんしゅ,junior_high,1,5,5;4,,5:421;4:486,2
please,please,word,喜よろこばせる,喜よろこばせる,junior_high,1,5,5;4,,5:391;4:199,2
practice,practice,word,練習れんしゅうする,練習れんしゅうする,junior_high,1,5,5;4;3,動詞,5:533;4:482;3:8,3
purple,purple,word,紫色むらさきいろ,紫色むらさきいろ,junior_high,1,5,5;4,,5:453;4:446,2
put,put,word,置く,置く / 置おく,junior_high,1,5,5;4;3,動詞,5:63;4:142;3:122,3
queen,queen,word,女王じょおう,女王じょおう,junior_high,1,5,5;4,,5:349;4:533,2
rabbit,rabbit,word,ウサギ,ウサギ,junior_high,1,5,5;4,,5:431;4:135,2
rainy,rainy,word,雨降あめふりの,雨降あめふりの,junior_high,1,5,5;4;3,形容詞,5:332;4:181;3:359,3
read,read,word,読よむ,読よむ,junior_high,1,5,5;4,,5:112;4:587,2
reading,reading,word,読書どくしょ,読書どくしょ,junior_high,1,5,5;4,,5:499;4:397,2
really,really,word,本当ほんとうに,本当ほんとうに,junior_high,1,5,5;4;3,副詞,5:451;4:618;3:156,3
red,red,word,赤あかい,赤あかい,junior_high,1,5,5;4,,5:37;4:676,2
ride,ride,word,乗のる,乗のる,junior_high,1,5,5;4;3,動詞,5:148;4:698;3:354,3
right,right,word,右みぎに,右みぎに / 正ただしい / 正しい，正確な,junior_high,1,5,5;4;3;pre2;2,副詞;形容詞,5:264;4:33;4:41;3:305;pre2:236;2:1612,6
river,river,word,川かわ,川かわ,junior_high,1,5,5;4;3,名詞,5:345;4:53;3:579,3
room,room,word,部屋へや,部屋へや,junior_high,1,5,5;4,,5:165;4:378,2
ruler,ruler,word,定規じょうぎ,定規じょうぎ,junior_high,1,5,5;4,,5:368;4:616,2
run,run,word,を主催しゅさいする,を主催しゅさいする / 走はしる,junior_high,1,5,5;4;3,動詞,5:43;4:594;3:996,3
sad,sad,word,悲かなしい,悲かなしい,junior_high,1,5,5;4;3,形容詞,5:82;4:383;3:134,3
salad,salad,word,サラダ,サラダ,junior_high,1,5,5;4;3,名詞,5:339;4:631;3:485,3
same,same,word,同おなじ,同おなじ,junior_high,1,5,5;4;3,形容詞,5:201;4:64;3:433,3
Saturday,saturday,word,土曜日どようび,土曜日どようび,junior_high,1,5,5;4;3,名詞,5:510;4:667;3:411,3
school,school,word,学校がっこう,学校がっこう,junior_high,1,5,5;4,,5:384;4:265,2
science,science,word,科学かがく,科学かがく / 科学，自然科学,junior_high,1,5,5;4;3;pre2;2,名詞,5:484;4:216;3:41;pre2:1168;2:1731,5
scientist,scientist,word,科学者かがくしゃ,科学者かがくしゃ / 科学者，研究者,junior_high,1,5,5;4;3;2,名詞,5:575;4:286;3:358;2:48,4
sea,sea,word,海うみ,海うみ,junior_high,1,5,5;4,,5:92;4:38,2
season,season,word,季節きせつ,季節きせつ,junior_high,1,5,5;4;3,名詞,5:386;4:275;3:173,3
second,second,word,秒びょう,秒びょう / 2番目ばんめ,junior_high,1,5,5;4;3,名詞,5:450;4:259;3:869,3
see,see,word,見みる,見みる / 分わかる,junior_high,1,5,5;4;3,動詞,5:30;4:15;4:45;3:512,4
September,september,word,9月がつ,9月がつ,junior_high,1,5,5;4,,5:565;4:291,2
seven,seven,word,7,7,junior_high,1,5,5;4,,5:310;4:240,2
seventeen,seventeen,word,17,17,junior_high,1,5,5;4,,5:556;4:468,2
seventy,seventy,word,70,70,junior_high,1,5,5;4,,5:487;4:219,2
